#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    9.98547        9.99404        10.0698       -44.1561        56.9665        92.5297       0.322280E+12    100.603        10.0603        170.520       0.298508E+12   0.830888E+10   0.154623E+11   0.519192E+10    0.00000        0.00000        0.00000               0           0     4325232
           2    9.44417        9.96885        10.0918        21.1735        62.9116        58.9988       0.818273E+10    27.2351        2.72351        31.6100       0.670376E+10   0.146529E+10   0.136807E+08   0.343513E+07   -371.214       -17.2748        15.1009               0           1      128287
           3    9.89961        9.84897        10.7511       -9.18104       -10.3716        43.3029       0.501889E+10    24.9666        2.49666        31.0800       0.451284E+10   0.499099E+09   0.695075E+07   0.277519E+07   -58.8812       -99.4863        467.223               0           1       46091
           4    10.2514        10.0075        10.0084       -54.0204        64.2573        121.484       0.560358E+10    24.1532        2.41532        29.7300       0.481355E+10   0.778244E+09   0.117805E+08   0.119090E+08    182.370        9.22376       -42.0864               0           1       45886
           5    10.1458        9.97412        10.1653        42.8413       -59.7116        76.9532       0.319680E+10    20.7586        2.07586        32.0800       0.317309E+10   0.864595E+07   0.150651E+08   0.200113E+08    109.931       -13.6608        65.5059               0           1       42424
           6    9.43553        9.97106        10.1428       -15.2801        64.4586        76.1365       0.240947E+11    39.2288        3.92288        43.3000       0.203976E+11   0.361960E+10   0.774734E+08   0.196094E+08   -377.139       -15.7593        50.0689               0           1       41549
           7    9.90728        9.96892        10.1974       -34.4407        12.7436       -77.8928       0.517657E+10    21.7050        2.17050        29.5900       0.466980E+10   0.495773E+09   0.109999E+08   0.117039E+08   -53.6213       -17.2268        87.4920               0           1       36049
           8    9.83031        9.94447        9.81098        19.9015        26.2269        172.924       0.312753E+10    21.9423        2.19423        28.9300       0.308263E+10   0.435410E+08   0.136724E+07   0.112606E+07   -106.406       -33.9942       -177.487               0           1       31992
           9    9.41963        10.0157        10.1582        35.9826        20.8057        87.3315       0.348116E+10    19.1930        1.91930        23.0200       0.282092E+10   0.659361E+09    882655.        846819.       -388.043        14.8815        60.6368               0           1       23626
          10    10.1184        9.84958        9.99076       -111.648        36.3511        117.874       0.191982E+10    17.5780        1.75779        23.7800       0.186696E+10   0.517669E+08   0.108461E+07   0.175918E+07    91.1404       -99.0680       -54.1973               0           1       20326
          11    10.0225        9.90782        9.74703        4.74221        25.3467        168.340       0.182042E+10    18.4818        1.84818        23.7400       0.181741E+10   0.241880E+07    593392.       0.275738E+07    25.4151       -59.1281       -221.343               0           1       19780
          12    9.95191        9.97918        10.1623       -10.1088        44.6164        20.0125       0.372837E+09    8.53318       0.853318        13.3400       0.360903E+09   0.498753E+07   0.694612E+07   0.600913E+07   -23.0148       -10.1907        63.4622               0           0       18819
          13    10.0332        10.1635        9.99620       -67.3348       -100.983        95.1333       0.130868E+10    15.6050        1.56050        23.9300       0.128390E+10   0.229153E+08   0.186334E+07   0.442549E+07    32.7324        116.240       -50.4667               0           1       15681
          14    9.63908        10.0386        10.2491        1.86871       -50.7549        19.4707       0.137396E+10    16.5212        1.65212        21.7800       0.137286E+10    712859.        381902.       0.141332E+07   -237.548        30.5653        122.933               0           1       15572
          15    9.73693        9.96398        10.1986        54.8704       -11.0931        26.4044       0.126072E+10    15.8436        1.58436        22.8300       0.125697E+10   0.341347E+07    341812.        991771.       -170.444       -20.6146        88.3561               0           1       15209
          16    9.60325        10.0923        10.3146        3.73106       -47.0422        13.9643       0.128207E+10    16.1913        1.61913        20.5000       0.128133E+10    652416.        96237.6        151925.       -262.119        67.3575        167.872               0           1       14801
          17    9.81356        10.1206        10.1285        75.8331        60.6648        114.401       0.103285E+10    14.5077        1.45077        20.5000       0.102742E+10   0.499328E+07    435020.       0.175605E+07   -117.893        86.7857        40.2897               0           1       13163
          18    9.92652        9.97334        10.0973        80.8340        212.567        63.4101       0.280284E+10    14.1250        1.41250        19.2900       0.279482E+10   0.538020E+07   0.263844E+07   0.174886E+07   -40.4268       -14.1957        18.8933               0           0       13034
          19    10.0186        10.6044        10.0063       -57.1365       -7.40323        54.6507       0.118752E+10    15.7668        1.57668        20.6700       0.118638E+10    882223.        259523.        623037.        22.6925        418.560       -43.5403               0           1       11900
          20    10.4415        9.70832        9.78273       -44.2794       -36.7139        88.4175       0.132757E+10    16.0007        1.60007        17.6500       0.132582E+10   0.171414E+07    42265.7        83912.3        312.723       -195.942       -196.860               0           1        9290
          21    10.3946        9.82859        9.86130       -63.6947       -44.9858        107.291       0.867237E+09    13.9625        1.39625        17.3400       0.847677E+09   0.195458E+08    14395.0        15225.3        280.601       -113.463       -142.979               0           1        9093
          22    10.2947        9.84723        10.5627       -61.0140        20.5955        57.6789       0.777734E+09    13.7664        1.37664        19.3600       0.777176E+09    405194.        153440.        283690.        212.051       -100.680        338.008               0           1        9007
          23    9.60170        10.0405        10.0630        22.4102        73.2915        167.023       0.832654E+09    13.8459        1.38459        17.6400       0.811262E+09   0.213479E+08    44122.7        85962.9       -263.182        31.8957       -4.63588               0           1        8815
          24    9.57610        10.1341        10.1585        9.73055        65.9642        106.880       0.778207E+09    13.6471        1.36471        16.2300       0.777176E+09    787840.        243768.        317962.       -280.738        96.0712        60.8563               0           1        8359
          25    9.45132        9.96125        10.1464        6.22356        27.8616        97.2112       0.631007E+10    13.6292        1.36292        19.6900       0.521697E+10   0.103348E+10   0.596202E+08   0.115074E+08   -366.310       -22.4868        52.5103               0           1        8345
          26    9.95549        10.0010        10.0763       -196.746       -11.3481       -55.9202       0.374348E+10    9.66335       0.966335        19.6300       0.366370E+10   0.357381E+08   0.440342E+08   0.198248E+08   -20.5597        4.77990        4.45758               0           0        8154
          27    9.82614        10.0091        10.3123       -67.9734       -12.5829       -27.0446       0.579884E+09    12.1390        1.21390        15.8200       0.577727E+09   0.208818E+07    68374.3        75096.3       -109.266        10.3210        166.288               0           1        7005
          28    9.82825        9.91502        10.0496        59.5723        43.3807        183.086       0.544812E+09    11.7625        1.17625        16.0500       0.544306E+09    483952.        21887.3        31144.1       -107.819       -54.1905       -13.8596               0           1        6944
          29    9.67222        9.99713        10.0570        32.0236       -15.0686        155.911       0.549128E+09    12.1034        1.21034        15.6500       0.545303E+09   0.376773E+07    57437.8        81295.7       -214.821        2.11907       -8.79172               0           1        6633
          30    10.1541        10.0977        10.1360        63.9680        46.3716        22.1806       0.337152E+09    9.72507       0.972507        12.4100       0.336959E+09    159006.        33741.3        48997.6        115.630        71.0607        45.3782               0           1        6338
          32    9.79702        10.0076        10.0330        77.5822        51.7669        91.5835       0.524584E+09    11.8901        1.18901        15.2400       0.523687E+09    877521.        18802.2        33157.1       -129.236        9.26491       -25.2368               0           1        6203
          33    9.73047        10.0739        10.1381        51.6381        70.8202        154.469       0.361585E+09    10.4081        1.04081        13.8600       0.354668E+09   0.689436E+07    23448.2        29829.2       -174.874        54.7802        46.8457               0           1        6088
          34    10.4109        9.66263        9.74680       -29.8992       -20.0614        90.8969       0.491403E+09    11.8119        1.18119        16.1000       0.489684E+09   0.164242E+07    76620.9        408995.        291.773       -227.275       -221.501               0           1        5760
          35    10.1112        9.89822        10.0228       -77.0503        69.1335        141.032       0.454337E+09    10.4637        1.04636        13.4500       0.440632E+09   0.136274E+08    77086.8        178323.        86.2370       -65.7116       -32.2523               0           1        5735
          36    9.96124        10.6624        9.78836       -4.15263        12.7406        52.0503       0.505905E+09    11.6507        1.16507        16.4100       0.505813E+09    49480.0        42296.2        61229.9       -16.6165        458.363       -193.000               0           1        5518
          37    9.99786        9.90060        10.5265       -4.33948        6.35579        16.5051       0.458807E+09    11.4779        1.14779        16.1300       0.458424E+09    275861.        106884.        246277.        8.49683       -64.0794        313.183               0           1        5516
          38    9.94952        9.97968        10.1254       -15.2328       -117.248       -70.9453       0.124805E+10    10.2168        1.02168        18.3100       0.119388E+10   0.517018E+08   0.247115E+07   0.305221E+07   -24.6538       -9.84782        38.1226               0           0        5455
          39    10.2460        10.0270        9.51666       -1.40480       -13.2909        132.761       0.542321E+09    12.1562        1.21562        15.6200       0.541978E+09    332603.        10486.8        16175.1        178.639        22.6308       -379.326               0           1        5429
          40    9.72447        10.0372        10.1204        52.3423        16.4749        29.6577       0.423094E+09    11.0184        1.10184        15.6300       0.409372E+09   0.134659E+08    255519.        346207.       -178.989        29.5846        34.7348               0           1        5126
          41    9.54134        10.2447        10.2532       -18.4583       -55.0988        26.6086       0.338576E+09    10.3738        1.03738        13.8000       0.338206E+09    329503.        40596.7        102175.       -304.576        171.932        125.779               0           1        4730
          42    10.2679        10.0189        9.98648       -66.2504        103.053        132.422       0.480497E+09    10.3388        1.03388        15.4600       0.476299E+09   0.407707E+07    121513.        419940.        193.672        17.0142       -57.1325               0           1        4676
          43    10.1677        9.80079        9.91541       -77.6188        18.7379        134.639       0.353301E+09    10.4925        1.04925        14.4000       0.353005E+09    191089.        105627.        161375.        124.984       -132.527       -105.871               0           1        4579
          44    9.43999        9.98094        10.1578        27.5941      -0.564277        101.470       0.146831E+10    9.44595       0.944595        15.5300       0.125440E+10   0.213301E+09    601556.       0.125233E+07   -374.080       -8.98374        60.3899               0           1        4552
          45    10.4399        9.70883        9.75949       -50.5195       -48.0411        115.629       0.408011E+09    10.1057        1.01057        12.6900       0.407211E+09    799925.        0.00000        0.00000        311.633       -195.592       -212.798               1           1        4284
          46    10.1487        10.0471        9.95741       -31.1243       -3.86014        47.9089       0.154769E+09    7.59297       0.759297        12.2000       0.154138E+09    425420.        204803.        485880.        111.926        36.4081       -77.0681               0           1        4177
          47    9.45579        9.96183        10.1494       -24.0693        154.971        52.0176       0.232207E+10    8.81435       0.881435        12.0500       0.183489E+10   0.470084E+09   0.171043E+08   0.166323E+07   -363.245       -22.0890        54.6088               0           1        4114
          48    9.46228        9.95253        10.1347        32.1213        26.4373        121.384       0.138885E+10    10.0453        1.00453        15.7900       0.133771E+10   0.489081E+08   0.223686E+07    493259.       -358.794       -28.4668        44.4867               0           1        4048
          49    9.48341        9.96463        10.1457       -35.9627        146.401        77.7101       0.493047E+09    9.96852       0.996852        11.7100       0.487356E+09   0.569067E+07    0.00000        0.00000       -344.304       -20.1688        52.0851               1           1        4026
