#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    10.2138        9.82146        9.27598       -4.21795        27.4016        33.4313       0.840742E+10    7.78374       0.778374        67.5500       0.773920E+10   0.606132E+09   0.620903E+08   0.407550E+10    0.00000        0.00000        0.00000               0           0       71454
           2    10.3912        10.3380        9.29273       -25.0314       -19.7601        46.0813       0.724409E+10    7.38469       0.738469        61.3500       0.675049E+10   0.448557E+09   0.450441E+08   0.331719E+10    30.4164        88.5739        2.87238               0           1       48102
           3    10.4585        9.95482        9.95041       -46.6309       -14.4353        26.1444       0.425630E+10    6.13833       0.613833        53.7500       0.384214E+10   0.395449E+09   0.187154E+08   0.147619E+10    41.9642        22.8693        115.655               0           1       31242
           4    10.4332        10.4291        9.29713       -22.5941       -34.0530        25.9033       0.294047E+10    5.33544       0.533544        44.0300       0.263003E+10   0.297304E+09   0.131317E+08   0.111715E+10    37.6170        104.207        3.62692               0           1       27136
           5    10.5418        10.2709        9.09014       -34.5057       -19.4506        78.1777       0.204893E+10    4.84619       0.484619        40.6100       0.194503E+10   0.933753E+08   0.105199E+08   0.157232E+10    56.2489        77.0707       -31.8688               0           1       24606
           6    9.92221        9.72071        9.22021        5.09510        25.6119        65.1320       0.155431E+10    4.41233       0.441233        36.4200       0.146407E+10   0.848196E+08   0.542176E+07   0.585588E+09   -50.0068       -17.2771       -9.56374               0           1       17619
           7    10.3617        9.96399        9.30907       -56.7455        16.1330        28.7597       0.410248E+10    6.06596       0.606596        51.2800       0.376607E+10   0.323424E+09   0.129887E+08   0.143150E+10    25.3524        24.4418        5.67445               0           1       16001
           8    10.3798        9.97636        9.30609       -81.6618       -36.0974        38.4403       0.169008E+10    3.58920       0.358920        30.9200       0.157266E+10   0.109206E+09   0.822161E+07   0.105567E+10    28.4649        26.5631        5.16342               0           1       14999
           9    10.3936        10.3214        9.29624        40.5258        35.3935        65.9012       0.220737E+10    3.17643       0.317643        27.2900       0.208614E+10   0.947332E+08   0.264937E+08   0.188200E+10    30.8382        85.7307        3.47429               0           1       12452
          10    10.0230        9.88460        9.31734        16.4583       -14.8038        42.5353       0.214145E+10    4.92370       0.492370        43.8500       0.198087E+10   0.155710E+09   0.486985E+07   0.423171E+09   -32.7280        10.8276        7.09263               0           1       12340
          11    10.0320        9.73901        9.30177        2.84784        45.2623        24.6161       0.802403E+09    3.47670       0.347670        28.8400       0.731948E+09   0.682178E+08   0.223700E+07   0.154456E+09   -31.1829       -14.1390        4.42261               0           1        7958
          12    9.24190        9.71480        9.15108       -21.3055        6.76880        49.4291       0.868090E+09    3.56262       0.356262        29.4600       0.789147E+09   0.777240E+08   0.121863E+07   0.131952E+09   -166.670       -18.2906       -21.4185               0           1        7805
          13    9.98643        9.07368        8.95065        17.3844        49.1994        48.2578       0.579834E+09    3.15911       0.315911        26.0700       0.544971E+09   0.335179E+08   0.134537E+07   0.152022E+09   -38.9941       -128.233       -55.7893               0           1        7642
          14    10.4283        9.89620        10.0865       -32.4181       -4.32675       -2.89460       0.637707E+09    3.24725       0.324725        26.8100       0.590530E+09   0.461214E+08   0.105544E+07   0.824425E+08    36.7853        12.8168        138.991               0           1        6996
          15    10.1089        9.77629        9.27632        29.0975        43.2317        7.85549       0.370096E+09    2.61944       0.261944        21.6500       0.348515E+09   0.202549E+08   0.132572E+07   0.120270E+09   -17.9871       -7.74599       0.583050E-01           0           1        6583
          16    10.3877        10.0166        9.79209       -24.2177       -29.8356        23.9797       0.140139E+10    4.09731       0.409731        34.5500       0.126370E+10   0.133995E+09   0.369546E+07   0.158144E+09    29.8196        33.4619        88.5053               0           1        6333
          17    10.0748        9.98040        9.73207        1.42766       -5.50901        32.5155       0.617331E+09    3.26406       0.326406        27.5900       0.576646E+09   0.396202E+08   0.106402E+07   0.141803E+09   -23.8399        27.2559        78.2128               0           1        6221
          18    10.0289        9.76839        9.93556       -3.28865        34.6315        16.8311       0.615521E+09    3.21810       0.321810        26.8700       0.556859E+09   0.573639E+08   0.129764E+07   0.110955E+09   -31.7076       -9.10073        113.108               0           1        6028
          19    10.3226        10.2851        9.26185        38.8347       -4.32837        70.8800       0.460519E+09    2.87187       0.287187        24.0600       0.407460E+09   0.519275E+08   0.113166E+07   0.190143E+09    18.6593        79.5040       -2.42309               0           1        5955
          20    9.74903        9.68879        9.18524        17.6331        12.5711        67.4343       0.467383E+09    2.94595       0.294595        24.4800       0.434563E+09   0.312642E+08   0.155532E+07   0.128654E+09   -79.7047       -22.7510       -15.5606               0           1        5805
          21    10.3811        9.89020        9.24847       -58.2638        19.7650        67.5585       0.552912E+09    3.13905       0.313905        27.4900       0.528094E+09   0.212626E+08   0.355575E+07   0.112762E+09    28.6775        11.7879       -4.71756               0           1        5425
          22    10.5276        9.75473        10.1007       -39.9771        29.8390        30.9102       0.488591E+09    3.02295       0.302295        26.5900       0.456262E+09   0.316854E+08    643027.       0.102957E+09    53.8172       -11.4432        141.434               0           1        5290
          23    10.5595        10.6285        9.37080       -38.5870       -10.8758        26.4474       0.416510E+09    2.85644       0.285644        23.5700       0.395738E+09   0.198309E+08    941202.       0.138881E+09    59.2825        138.392        16.2602               0           1        5238
          24    10.0669        9.95284        9.77585        8.27363        21.5977        18.1853       0.578173E+09    3.19787       0.319787        26.5300       0.553783E+09   0.239189E+08    471261.       0.143235E+09   -25.1963        22.5297        85.7204               0           1        5235
          25    10.4740        9.96870        9.95621       -27.4190       -14.6354        17.4942       0.130846E+10    2.70639       0.270639        23.9300       0.121516E+10   0.834678E+08   0.983467E+07   0.293343E+09    44.6119        25.2495        116.649               0           1        4969
          26    9.96477        10.0271        9.84396        8.33255       -20.0071        29.9293       0.643712E+09    3.25308       0.325308        26.8600       0.600840E+09   0.422553E+08    617309.       0.798497E+08   -42.7084        35.2608        97.4002               0           1        4606
          27    10.3394        9.99054        9.47827       -41.1505        13.8489        1.38717       0.381333E+09    2.65014       0.265014        21.8700       0.346271E+09   0.339467E+08   0.111595E+07   0.560188E+08    21.5403        28.9947        34.6898               0           1        4422
          28    9.83213        9.06548        9.08010       -8.46132        58.2743        26.8600       0.357328E+09    2.73057       0.273057        22.7800       0.339620E+09   0.171560E+08    552286.       0.619733E+08   -65.4542       -129.639       -33.5906               0           1        4400
          29    10.1355        10.1146        9.33627        27.3314       -28.0576        19.8680       0.331645E+09    2.62836       0.262836        21.7100       0.312766E+09   0.183990E+08    480266.       0.943574E+08   -13.4239        50.2675        10.3389               0           1        4326
          30    9.69741        9.88045        9.49707        17.3255       -14.3981        28.1877       0.338041E+09    2.70313       0.270313        22.3900       0.330557E+09   0.699072E+07    492686.       0.996697E+08   -88.5568        10.1159        37.9137               0           1        4286
          31    10.3413        9.96710        9.38020       -20.5632        10.3281       -3.37827       0.233544E+09    2.33272       0.233272        19.2900       0.222644E+09   0.103337E+08    565659.       0.603490E+08    21.8575        24.9751        17.8722               0           1        4240
          33    10.1897        9.77662        9.22849       -42.3365        57.8649        97.9407       0.417349E+09    2.50386       0.250386        21.2500       0.327731E+09   0.885026E+08   0.111518E+07   0.602873E+08   -4.13794       -7.68940       -8.14384               0           1        3883
