#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    10.0343        9.98337        9.93439       -7.61834       -9.15033        27.0649       0.311018E+12    83.1466        8.31466        167.950       0.281759E+12   0.175604E+11   0.116981E+11   0.379873E+10    0.00000        0.00000        0.00000               0           0     3495665
           3    9.49841        9.86758        9.92671       -13.4377        34.0360        83.0709       0.520424E+10    20.0479        2.00479        33.2500       0.420255E+10   0.987838E+09   0.138548E+08   0.980390E+07   -298.624       -64.5213       -4.27950               0           1       61353
           4    10.0486        9.99651        9.92997       -182.493       -79.2294        115.667       0.766960E+11    16.6901        1.66901        40.1800       0.629540E+11   0.301039E+10   0.107316E+11   0.332242E+10    7.93491        7.32196       -2.46294               0           0       55929
           5    9.90015        9.95063        9.84198        53.7668        113.678        131.808       0.568475E+10    20.5907        2.05907        36.1200       0.542430E+10   0.246759E+09   0.136948E+08   0.211050E+08   -74.7632       -18.2436       -51.4934               0           1       51332
           6    10.2967        9.83973        9.73554        19.2177        75.1659        108.831       0.499863E+10    19.4405        1.94405        28.8800       0.421070E+10   0.779662E+09   0.827180E+07   0.117121E+08    146.183       -80.0401       -110.805               0           1       50903
           7    9.43509        9.87401        10.0386       -1.40536        27.4370        21.3682       0.404341E+10    19.3620        1.93620        29.5200       0.372574E+10   0.314416E+09   0.325829E+07   0.303097E+07   -333.907       -60.9384        58.0463               0           1       39299
           8    9.91639        9.86845        10.6409       -5.86841       -4.95660        41.7992       0.455914E+10    19.8618        1.98618        30.8600       0.422018E+10   0.334503E+09   0.445623E+07   0.249316E+07   -65.7138       -64.0365        393.709               0           1       38186
           9    9.41012        9.86325        9.92172        8.68721        51.4065        90.4411       0.382210E+10    16.6243        1.66243        24.3300       0.282600E+10   0.990493E+09   0.560241E+07   0.236836E+07   -347.821       -66.9341       -7.06007               0           1       32104
          10    9.80243        9.89473        9.44255        6.82104        17.5129        141.826       0.299698E+10    17.5939        1.75939        29.6900       0.291975E+10   0.761352E+08   0.108833E+07   0.106279E+07   -129.215       -49.3926       -274.067               0           1       27165
          11    10.0165        9.93778        10.2871       -45.1933      -0.444099       -14.8253       0.236241E+10    15.6765        1.56765        28.9000       0.210524E+10   0.253625E+09   0.354798E+07   0.777372E+07   -9.93536       -25.4040        196.534               0           1       26588
          12    9.37374        9.92928        9.92624       -3.38520        59.7191        91.9668       0.317010E+10    17.3482        1.73481        25.3900       0.297714E+10   0.192173E+09    787547.        860439.       -368.093       -30.1404       -4.54140               0           1       26023
          13    10.0947        10.0953        9.91191       -61.4618       -51.3772        37.3199       0.180331E+10    12.5320        1.25320        23.0900       0.178408E+10   0.801443E+07   0.112193E+08   0.881954E+07    33.6732        62.3927       -12.5265               0           0       22397
          14    9.43674        10.4825        10.0459       -11.2591       -19.6203        43.3903       0.175958E+10    15.0596        1.50596        25.3500       0.172504E+10   0.339656E+08    569236.       0.238567E+07   -332.988        278.145        62.1085               0           1       20968
          15    10.3508        9.83516        9.74157       -81.1469       -18.2911        103.077       0.181485E+10    14.2416        1.42416        24.0900       0.168164E+10   0.132279E+09    926221.       0.185754E+07    176.335       -82.5866       -107.445               0           1       19441
          16    10.0123        9.86119        9.38717        3.34330        15.4353        135.578       0.169504E+10    14.7114        1.47114        23.7700       0.169419E+10    248469.        595906.       0.305409E+07   -12.2701       -68.0820       -304.926               0           1       17335
          17    10.1696        10.3301        9.80276       -47.5417       -50.4117        74.4087       0.130889E+10    13.0374        1.30374        23.7400       0.120035E+10   0.106985E+09   0.156133E+07   0.482371E+07    75.3928        193.207       -73.3478               0           1       16111
          18    10.0602        9.94346        10.2844       -71.7237        11.8398       -11.1721       0.130058E+10    12.6485        1.26485        23.7300       0.121024E+10   0.879983E+08   0.233312E+07   0.349247E+07    14.4266       -22.2389        195.024               0           1       14269
          19    9.65569        10.1601        10.1992       -14.5063       -50.2491        22.6278       0.120461E+10    13.0419        1.30419        21.5200       0.120417E+10    47822.5        382793.       0.158730E+07   -210.983        98.5010        147.537               0           1       13633
          20    9.60215        10.1966        10.2764       -2.22745       -39.5617        18.0584       0.111424E+10    12.7861        1.27861        20.1800       0.111405E+10    95430.0        87733.3        151281.       -240.817        118.834        190.594               0           1       13469
          21    9.70385        9.91007        9.85540        22.9620        104.315        107.363       0.960167E+09    11.8556        1.18556        20.3500       0.934722E+09   0.250056E+08    439309.       0.190162E+07   -184.147       -40.8447       -44.0154               0           1       12520
          22    9.64021        10.0082        10.1198        31.3149       -21.0279        39.1409       0.104399E+10    12.5632        1.25632        22.3600       0.104313E+10    511721.        343317.       0.111033E+07   -219.609        13.8582        103.332               0           1       12244
