#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    10.3379        9.10177        10.4360       -126.069       0.178837       -15.0490       0.316443E+12    45.4866        4.54866        231.520       0.283693E+12   0.151681E+11   0.175821E+11   0.127025E+11    0.00000        0.00000        0.00000               0           0     3179165
           2    10.2612        8.92026        10.4666        87.1125        188.466       -161.006       0.504848E+11    21.6032        2.16032        97.3200       0.444596E+11   0.447044E+10   0.155474E+10   0.144177E+10   -23.0151       -54.4792        9.18442               0           1      452763
           3    10.6300        9.66303        10.4524       -81.4739        52.9740       -51.0705       0.320906E+11    20.6265        2.06265        83.5900       0.283816E+11   0.285527E+10   0.853738E+09   0.992697E+09    87.6872        168.459        4.91036               0           1      390099
           4    10.3176        9.09427        10.4382        104.952        284.398       -101.124       0.157050E+12    16.7757        1.67757        119.660       0.131161E+12   0.869677E+10   0.171921E+11   0.118100E+11   -6.08092       -2.25108       0.660318               0           0      345155
           5    9.94416        8.76792        10.4122        25.5860        147.730       -64.8880       0.144692E+11    15.8797        1.58797        57.2900       0.132871E+11   0.105843E+10   0.123634E+09   0.200405E+09   -118.167       -100.203       -7.13443               0           1      142397
           6    10.3244        8.77871        10.5010       -101.274        241.535       -51.0656       0.909525E+10    13.3093        1.33093        50.6800       0.821405E+10   0.813447E+09   0.677497E+08   0.115653E+09   -4.02794       -96.9646        19.4974               0           1       80977
           7    9.83557        9.04273        10.9985        3.44774        144.881       -110.557       0.150446E+11    16.4620        1.64620        60.9600       0.137602E+11   0.122187E+10   0.625166E+08   0.126322E+09   -150.759       -17.7205        168.837               0           1       60768
           8    10.7525        9.85758        10.4036       -77.5268        31.5986       -28.1551       0.555888E+10    10.9622        1.09622        39.2800       0.472816E+10   0.811304E+09   0.194143E+08   0.333777E+08    124.461        226.852       -9.71567               0           1       41487
           9    9.86476        9.05356        10.9949        2.23375        51.3792       -58.4378       0.602831E+10    9.37501       0.937501        36.1900       0.567326E+10   0.310489E+09   0.445669E+08   0.663914E+08   -141.998       -14.4700        167.766               0           1       37993
          10    10.2430        8.95677        10.4649        68.1447        202.412        112.122       0.732180E+10    8.79543       0.879543        33.3100       0.654707E+10   0.752142E+09   0.225823E+08   0.610869E+08   -28.4837       -43.5209        8.67117               0           1       33539
          11    10.3800        8.73137        10.4386       -178.670        176.749       -15.8272       0.511169E+10    10.2433        1.02433        36.7100       0.444170E+10   0.635758E+09   0.342312E+08   0.312040E+08    12.6511       -111.173       0.792381               0           1       32625
          12    10.4728        9.48223        10.3052      -0.827565        4.11132       -19.5130       0.249258E+10    8.88277       0.888277        34.1600       0.244412E+10   0.427394E+08   0.571261E+07   0.469277E+08    40.5015        114.193       -39.2649               0           1       29453
          13    10.3317        9.06835        10.3515       -13.0695        176.159       -47.3556       0.339095E+10    7.74372       0.774372        29.6800       0.315649E+10   0.199762E+09   0.346981E+08   0.876497E+08   -1.83388       -10.0308       -25.3592               0           0       27989
          14    10.7518        9.76988        10.5036       -100.122        66.8596       -76.3442       0.362801E+10    9.57760       0.957760        35.2300       0.304805E+10   0.533383E+09   0.465822E+08   0.527395E+08    124.254        200.529        20.2838               0           1       27217
          15    9.81530        9.05448        11.0165        12.4967        35.2897       -141.549       0.695930E+10    9.35310       0.935310        34.0500       0.621185E+10   0.706169E+09   0.412784E+08   0.636757E+08   -156.843       -14.1938        174.228               0           1       26841
          16    10.7431        9.90653        10.4030       -81.2968       -3.65431       0.330370E-01   0.177069E+10    7.82656       0.782656        30.6200       0.162004E+10   0.137979E+09   0.126719E+08   0.237859E+08    121.642        241.544       -9.91077               0           1       25191
          17    10.4482        9.52581        10.2993       -79.0918        22.6749        37.7705       0.241821E+10    8.48898       0.848898        31.8000       0.215937E+10   0.250581E+09   0.826047E+07   0.226395E+08    33.1329        127.273       -41.0297               0           1       24086
          18    9.82461        8.57692        11.1209       -13.4214        139.377       -109.020       0.268574E+10    9.24685       0.924685        34.3700       0.259742E+10   0.784217E+08   0.989819E+07   0.397876E+08   -154.049       -157.531        205.560               0           1       22998
          19    10.3988        9.37840        10.6821       -43.7653        60.0491       -174.452       0.177884E+10    7.97573       0.797573        30.2900       0.164174E+10   0.126671E+09   0.104301E+08   0.191171E+08    18.2938        83.0289        73.8595               0           1       21563
          20    10.4578        9.33846        10.3545        37.1162       -7.88282       -1.79901       0.228638E+10    7.84007       0.784007        30.1000       0.209760E+10   0.182929E+09   0.585035E+07   0.162706E+08    36.0053        71.0412       -24.4468               0           1       19338
          21    10.5699        9.68001        10.3790       -133.939        30.6466       -42.3230       0.137087E+10    7.02128       0.702128        29.6000       0.130552E+10   0.546098E+08   0.107405E+08   0.437105E+08    69.6485        173.555       -17.0992               0           1       16523
          22    10.3192        9.03519        10.5342        13.2047        308.830       -74.3290       0.215058E+10    7.02037       0.702037        27.5400       0.210010E+10   0.442827E+08   0.619702E+07   0.113079E+08   -5.61270       -19.9836        29.4712               0           0       16079
          23    10.4338        9.43258        10.4362        25.7894      -0.633648       -133.398       0.312976E+10    9.15050       0.915050        32.7900       0.284787E+10   0.279978E+09   0.191186E+07   0.563581E+07    28.7988        99.2907       0.600289E-01           0           1       15661
          25    10.3646        8.76255        10.4339       -71.5995        265.576       -33.6436       0.161085E+10    6.46121       0.646121        23.1700       0.125107E+10   0.350593E+09   0.918626E+07   0.212445E+08    8.03486       -101.815      -0.642309               0           1       15418
          26    10.5300        8.57494        10.4209       -154.239        168.090       -27.7662       0.130563E+10    7.15424       0.715424        26.8400       0.125098E+10   0.485131E+08   0.613079E+07   0.118465E+08    57.6817       -158.125       -4.52918               0           1       14991
          27    10.3993        8.70131        10.4515       -167.214        191.584       -20.6262       0.164039E+10    7.07800       0.707800        25.3700       0.145684E+10   0.177006E+09   0.653994E+07   0.200061E+08    18.4499       -120.196        4.66424               0           1       14729
          28    10.3715        9.45442        10.3416       -117.341        38.0705       -98.2071       0.110722E+10    6.74995       0.674994        25.4800       0.107481E+10   0.256758E+08   0.672933E+07   0.312214E+08    10.0999        105.846       -28.3216               0           1       14314
          29    10.3788        8.60627        10.4531       -81.4925        232.938       -66.6944       0.154844E+10    7.43547       0.743547        27.9700       0.137311E+10   0.168545E+09   0.678590E+07   0.204843E+08    12.2909       -148.722        5.12647               0           1       13826
          30    9.67115        9.51226        10.8556        13.9050        52.7679       -91.7000       0.114926E+10    7.06059       0.706059        26.4400       0.111971E+10   0.282106E+08   0.134057E+07   0.696144E+07   -200.109        123.206        125.950               0           1       13531
          31    10.4485        9.67295        10.1203       -45.3546        26.0603       -7.70355       0.116926E+10    6.79437       0.679437        25.6100       0.106217E+10   0.106508E+09    578790.       0.161049E+07    33.1990        171.436       -94.7526               0           1       13231
