#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    10.1571        9.40245        10.2499        4.87479        139.778       -90.0307       0.521730E+12    81.1358        8.11358        298.600       0.462745E+12   0.153816E+11   0.436029E+11   0.186279E+11    0.00000        0.00000        0.00000               0           0     7894623
           2    10.2514        9.82825        10.1972       -103.867        13.2335       -79.3409       0.469124E+11    35.2845        3.52845        85.7100       0.425277E+11   0.282619E+10   0.155848E+10   0.993901E+09    43.1431        194.725       -24.1005               0           1      568522
           3    9.91216        9.45346        10.4660        44.2815        113.772       -172.174       0.174973E+11    25.8369        2.58369        56.0800       0.163543E+11   0.915199E+09   0.227762E+09   0.114257E+09   -112.006        23.3276        98.8486               0           1      184690
           4    10.3089        9.95883        10.1792       -129.193       -13.5222       -51.8913       0.266348E+11    25.3055        2.53055        48.9900       0.206790E+11   0.566446E+10   0.291396E+09   0.102997E+09    69.4478        254.441       -32.3001               0           1       68373
           5    10.3101        9.95835        10.2278       -133.113        16.6443       -121.879       0.122573E+11    18.2665        1.82665        38.0300       0.106479E+11   0.149756E+10   0.111857E+09   0.511473E+08    69.9737        254.221       -10.0792               0           1       64862
           6    10.1895        9.50987        10.3193       -99.8944        76.4263       -150.681       0.203391E+10    9.59857       0.959857        26.3600       0.192725E+10   0.242688E+07   0.104225E+09   0.899685E+08    14.8170        49.1247        31.7697               0           0       54842
           7    10.3431        9.65919        10.1625       -68.9409        114.237       -55.9846       0.505366E+10    15.4366        1.54366        39.2800       0.493477E+10   0.229115E+07   0.116601E+09   0.902324E+08    85.0651        117.411       -39.9419               0           1       54113
           8    10.1590        9.40403        10.2497        78.3417       -20.6938        169.272       0.130898E+12    9.44948       0.944949        45.1900       0.857206E+11   0.424768E+10   0.409299E+11   0.162940E+11   0.882617       0.722557      -0.594509E-01           0           0       47028
           9    9.79463        9.21126        10.6323       -1.55878        180.118       -140.006       0.498665E+10    17.0912        1.70912        37.0800       0.464416E+10   0.330569E+09   0.119282E+08   0.215595E+08   -165.754       -87.4340        174.905               0           1       38249
          10    10.2605        9.70813        10.1789        89.7049        149.226       -87.3941       0.379286E+10    13.8909        1.38909        33.8300       0.338444E+10   0.328837E+09   0.795771E+08   0.431388E+08    47.2863        139.792       -32.4419               0           1       35136
          11    9.76843        9.73523        10.4231        41.0818        51.6400       -124.579       0.215564E+10    13.2424        1.32424        28.1400       0.215421E+10    61591.8       0.136471E+07   0.396216E+07   -177.735        152.185        79.2389               0           1       23891
          12    10.3229        10.0161        10.1803       -138.686       -14.3751       -88.2513       0.235343E+10    11.7621        1.17621        26.6100       0.216460E+10   0.137155E+09   0.516818E+08   0.318495E+08    75.8411        280.617       -31.8062               0           1       23060
          13    10.1556        9.40198        10.2490        15.6538        255.689       -213.527       0.898026E+11    5.53350       0.553350        20.7200       0.489381E+11   0.239989E+10   0.384646E+11   0.149690E+11  -0.658533      -0.214938      -0.402437               0           0       19289
          14    10.1631        9.48072        10.5525       -93.5608        172.946       -192.839       0.219206E+10    13.0604        1.30604        26.6200       0.214764E+10   0.428522E+08   0.157119E+07   0.368695E+07    2.76675        35.7940        138.420               0           1       19262
          15    10.1967        9.28326        10.2142       0.516988        63.7254       -64.6197       0.641734E+09    7.44965       0.744965        15.6000       0.637920E+09    185822.       0.362807E+07   0.163474E+08    18.1142       -54.5073       -16.2941               0           0       18132
          16    10.1546        9.40182        10.2554        37.3737        225.000       -322.282       0.109173E+12    7.60285       0.760285        32.7800       0.655549E+11   0.396380E+10   0.396543E+11   0.156122E+11   -1.13871      -0.288108        2.51523               0           0       17938
          17    10.1111        9.29958        10.1969       -57.6018        56.0788        129.460       0.168175E+10    10.5191        1.05191        26.0400       0.156650E+10   0.105380E+09   0.987001E+07   0.146498E+08   -21.0319       -47.0440       -24.2148               0           0       16783
          18    10.1873        9.35848        10.1294       -10.0268        91.0787       -134.896       0.540477E+09    7.01840       0.701840        13.6200       0.532334E+09    239378.       0.790297E+07   0.102137E+08    13.8429       -20.1081       -55.1064               0           0       15864
          19    10.2302        9.73827        10.2131       -63.2165        4.11563        49.2292       0.197021E+10    10.5292        1.05292        23.9100       0.183862E+10   0.129725E+09   0.187140E+07   0.154562E+07    33.4297        153.575       -16.8155               0           1       15348
          20    10.1224        9.60205        10.2232        110.946        258.470       -76.6806       0.147184E+10    10.1327        1.01327        22.3900       0.134310E+10   0.122972E+09   0.576536E+07   0.697546E+07   -15.8688        91.2800       -12.1737               0           1       14559
          21    10.1275        9.81648        9.96562        43.0473        21.1782       -45.5796       0.116117E+10    10.5287        1.05288        22.7900       0.115404E+10   0.682314E+07    303351.        568127.       -13.5228        189.342       -129.987               0           1       14526
          22    10.3395        9.77182        10.1299        3.48288       -22.6691       -27.8631       0.988028E+09    9.53912       0.953912        21.4100       0.973632E+09   0.135886E+08    808244.       0.145500E+07    83.4188        168.918       -54.8823               0           1       12986
          23    10.2821        9.83898        10.2061       -143.499        85.1128       -135.838       0.303178E+10    9.52860       0.952860        27.6400       0.290722E+10   0.108042E+09   0.165147E+08   0.276184E+08    57.1643        199.632       -20.0029               0           1       12972
          24    9.99152        9.78700        9.76095       -39.6249        98.2670        7.03262       0.134095E+10    10.9879        1.09879        21.9600       0.124433E+10   0.959740E+08    644287.       0.143800E+07   -75.7130        175.860       -223.586               0           1       12823
          25    10.1759        9.59325        10.3729        1.90435        206.450        99.4415       0.105597E+10    9.37266       0.937266        19.0700       0.104447E+10    95035.9       0.114058E+08   0.546022E+07    8.59294        87.2556        56.2543               0           1       12661
          26    10.1839        9.43960        10.3721        44.4593        165.003       -10.4072       0.648008E+09    6.90682       0.690682        13.6200       0.645819E+09    179200.       0.200942E+07   0.295871E+07    12.2789        16.9892        55.9204               0           0       12463
          27    10.1030        9.50540        10.1203       -35.1771        18.9249        54.0749       0.108219E+10    9.51625       0.951625        27.3900       0.106949E+10   0.144076E+07   0.112586E+08   0.239260E+08   -24.7453        47.0805       -59.2588               0           0       11360
          28    10.2316        9.64933        10.0359       -112.105        8.66458       -109.226       0.945308E+09    9.58302       0.958302        22.0700       0.941207E+09   0.308868E+07   0.101224E+07   0.264911E+07    34.0974        112.902       -97.8653               0           1        9813
          29    10.1894        9.43566        10.3488        1.22586        184.389        74.8247       0.912038E+09    6.31002       0.631002        12.6400       0.905381E+09    643768.       0.601342E+07   0.161278E+08    14.7850        15.1874        45.2376               0           0        9637
          30    10.0272        9.78097        10.1267       -25.9474        54.9263        50.4438       0.824404E+09    9.22174       0.922174        18.9500       0.763541E+09   0.605690E+08    294205.        588207.       -59.3869        173.103       -56.3092               0           1        9630
