#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    10.3701        9.09471        10.4459       -56.7869        21.6183       -14.7970       0.256912E+12    40.3310        4.03310        232.620       0.230711E+12   0.115489E+11   0.146525E+11   0.127145E+11    0.00000        0.00000        0.00000               0           0     2503132
           2    10.3270        8.98291        10.4762       -54.2261        230.539       -86.5112       0.816314E+11    21.4464        2.14464        97.4400       0.715767E+11   0.744862E+10   0.260610E+10   0.253864E+10   -12.3096       -31.9604        8.63616               0           0      523241
           3    10.2266        8.84965        10.5349        72.7348        146.033       -156.697       0.390358E+11    20.1465        2.01465        84.9700       0.354326E+11   0.240337E+10   0.119982E+10   0.139126E+10   -41.0139       -70.0555        25.4282               0           1      412681
           4    10.6616        9.63980        10.4735       -64.3659        64.1568       -46.0351       0.321052E+11    19.5479        1.95479        81.9300       0.284816E+11   0.288946E+10   0.734072E+09   0.103241E+10    83.3400        155.825        7.87003               0           1      345553
           5    9.93170        8.71404        10.4394        43.9888        133.600       -59.3762       0.146378E+11    15.1772        1.51772        59.6000       0.133157E+11   0.120603E+10   0.116075E+09   0.212332E+09   -125.317       -108.822       -1.87245               0           1      120499
           6    10.3645        8.68186        10.5207       -91.2296        217.787       -43.2434       0.866644E+10    12.5060        1.25060        49.4000       0.771827E+10   0.887707E+09   0.604648E+08   0.124482E+09   -1.59802       -118.022        21.3660               0           1       80063
           7    9.83475        8.98604        11.0455        2.99874        123.302       -112.872       0.701047E+10    11.8617        1.18617        45.8300       0.640051E+10   0.573694E+09   0.362606E+08   0.565020E+08   -153.032       -31.0656        171.380               0           1       52812
           8    10.4527        8.65961        10.4504       -170.342        155.311       -28.2150       0.447636E+10    9.93203       0.993203        38.2500       0.387706E+10   0.569580E+09   0.297166E+08   0.304740E+08    23.6358       -124.382        1.26355               0           1       37111
           9    9.85797        9.03111        11.0203        26.7623        54.7207       -62.7343       0.340781E+10    8.97322       0.897322        37.3300       0.321750E+10   0.178243E+09   0.120706E+08   0.492070E+08   -146.394       -18.1814        164.196               0           1       36069
          10    10.2262        8.87284        10.4201        20.8175        191.717        91.1586       0.281376E+10    8.57900       0.857900        35.6300       0.261489E+10   0.187783E+09   0.110838E+08   0.492314E+08   -41.1282       -63.4262       -7.39262               0           1       35112
          11    10.7868        9.74849        10.5338       -83.4086        72.9351       -72.5133       0.348330E+10    9.03525       0.903525        37.3600       0.291917E+10   0.523865E+09   0.402665E+08   0.564161E+08    119.142        186.897        25.1023               0           1       33441
          12    10.7839        9.84336        10.4191       -79.0854        36.6006       -34.8356       0.436339E+10    9.92574       0.992574        38.4100       0.367278E+10   0.672688E+09   0.179154E+08   0.357566E+08    118.302        214.017       -7.68421               0           1       33107
          13    10.3366        9.00363        10.3983       -12.1110        132.366       -169.955       0.515914E+10    8.04013       0.804013        35.4000       0.494497E+10   0.177402E+09   0.367684E+08   0.102151E+09   -9.57382       -26.0371       -13.6332               0           0       28495
          14    10.4713        9.48151        10.3147        9.91092        1.64270       -26.6588       0.247660E+10    8.22681       0.822681        35.3700       0.222513E+10   0.245909E+09   0.555915E+07   0.539239E+08    28.9473        110.575       -37.5148               0           1       27964
          15    10.7763        9.90636        10.4034       -77.5850        5.54976       -2.45838       0.160649E+10    7.34947       0.734947        30.0500       0.147413E+10   0.119725E+09   0.126330E+08   0.260095E+08    116.132        232.027       -12.1609               0           1       25872
          16    9.81512        9.03901        11.0723       -10.6913        33.2588       -119.591       0.412188E+10    9.47435       0.947435        36.5300       0.359213E+10   0.521006E+09   0.874476E+07   0.312545E+08   -158.644       -15.9230        179.047               0           1       25697
          17    10.4806        9.51917        10.2876       -73.3042        23.5750        28.2762       0.217088E+10    7.92779       0.792779        31.6800       0.200781E+10   0.155258E+09   0.781092E+07   0.247558E+08    31.6059        121.341       -45.2762               0           1       23667
          18    9.83069        8.51929        11.1665       -14.7817        136.069       -108.053       0.234067E+10    8.46151       0.846151        35.1100       0.226594E+10   0.648408E+08   0.989106E+07   0.449171E+08   -154.193       -164.496        205.979               0           1       21429
          19    10.4175        9.35187        10.7529       -43.5329        66.4194       -164.738       0.187936E+10    7.72825       0.772825        30.1400       0.174708E+10   0.122351E+09   0.993485E+07   0.198576E+08    13.5589        73.5146        87.7395               0           1       20553
          20    10.3094        8.91266        10.5451        35.2470        275.847        15.8633       0.303403E+10    7.15222       0.715222        29.3600       0.224401E+10   0.781482E+09   0.853495E+07   0.118418E+08   -17.3552       -52.0428        28.3470               0           1       19249
          21    10.6299        9.66595        10.4015       -148.490        37.7651       -64.8633       0.206047E+10    7.01128       0.701128        31.1400       0.199533E+10   0.543313E+08   0.108087E+08   0.499649E+08    74.2921        163.301       -12.6984               0           1       17450
          22    10.4380        9.34206        10.3594        64.6020      -0.977658       -19.3858       0.189852E+10    7.34661       0.734661        30.3800       0.165903E+10   0.234673E+09   0.481638E+07   0.178864E+08    19.4106        70.7102       -24.7307               0           1       17209
          23    10.4232        9.43604        10.3838       -128.085        49.7520       -104.132       0.111858E+10    6.45612       0.645612        25.7300       0.103457E+10   0.777497E+08   0.626148E+07   0.349997E+08    15.2026        97.5763       -17.7583               0           1       16160
          24    10.4197        9.42696        10.4920        39.8375        21.6929       -131.840       0.286978E+10    8.14734       0.814734        33.3200       0.269147E+10   0.176581E+09   0.172996E+07   0.643140E+07    14.1792        94.9806        13.1644               0           1       15549
