#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    10.8196        10.5731        10.5118       -59.7158       -90.4189       -21.4537       0.133587E+12    38.6761        3.86761        172.200       0.119273E+12   0.682542E+10   0.748850E+10   0.703109E+10    0.00000        0.00000        0.00000               0           0     1708759
           2    10.7118        10.4156        10.3161       -63.3481       -65.5044       -13.0795       0.899092E+11    33.7332        3.37332        111.430       0.760079E+11   0.106794E+11   0.322194E+10   0.271557E+10   -36.9772       -54.0251       -67.1283               0           1     1004248
           3    10.7354        10.0257        11.0644       -111.030       -13.3770       -133.599       0.675280E+11    30.6546        3.06546        98.6000       0.615452E+11   0.475252E+10   0.123028E+10   0.119264E+10   -28.8717       -187.760        189.547               0           1      608886
           4    10.7352        10.1623        10.4939       -106.853        15.0211       -75.3626       0.516498E+11    27.8549        2.78549        88.9100       0.469405E+11   0.415279E+10   0.556485E+09   0.863606E+09   -28.9609       -140.908       -6.13313               0           1      401875
           5    11.1064        9.69156        10.0832       -138.024       -15.2052       -51.3902       0.284644E+11    23.0901        2.30901        74.3400       0.264635E+11   0.157539E+10   0.425560E+09   0.944228E+09    98.3702       -302.383       -147.027               0           1      305766
           6    10.5595        10.3955        10.1805       -32.1285       -67.4186        23.9896       0.271559E+11    20.8097        2.08097        66.2200       0.231555E+11   0.367941E+10   0.320985E+09   0.483251E+09   -89.2289       -60.9334       -113.628               0           1      223231
           7    10.6064        9.83006        10.9544       -69.7941       -42.3246       -85.2378       0.960074E+10    15.7859        1.57859        46.7300       0.877241E+10   0.781685E+09   0.466478E+08   0.122425E+09   -73.1208       -254.875        151.826               0           1       91112
           8    10.7796        10.2108        10.9326       -117.130       -66.5037       -120.426       0.685182E+10    14.4423        1.44423        46.9700       0.650813E+10   0.272900E+09   0.707894E+08   0.235668E+09   -13.7138       -124.271        144.328               0           1       76821
           9    11.0681        9.62544        9.84452       -135.735       -39.4871       -15.0350       0.484372E+10    12.8871        1.28871        43.7400       0.459197E+10   0.218744E+09   0.330060E+08   0.224677E+09    85.2327       -325.063       -228.888               0           1       59173
          11    10.5160        10.4044        9.85868       -93.5943       -39.2112        22.1677       0.389754E+10    12.0776        1.20776        37.5800       0.379025E+10   0.911781E+08   0.161116E+08   0.624434E+08   -104.153       -57.8531       -224.031               0           1       45651
