#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    10.0339        10.0059        10.0471       -138.127       -207.524       -43.8427       0.884194E+12    132.750        13.2750        208.140       0.810960E+12   0.346629E+11   0.385711E+11   0.125832E+11    0.00000        0.00000        0.00000               0           0     9085299
           2    10.0646        10.1050        10.0318       -105.524       -72.3513        18.3804       0.223169E+12    55.5575        5.55575        119.330       0.203567E+12   0.116227E+11   0.797949E+10   0.182147E+10    19.7416        63.7262       -9.83865               0           0     1201301
           3    10.0672        9.62147        9.75504       -176.391        19.0199       -21.8078       0.506145E+11    52.1667        5.21667        74.7700       0.490927E+11   0.847339E+09   0.674455E+09   0.617271E+09    21.4328       -247.207       -187.809               0           1      516879
           4    9.58541        10.0584        9.76542       -170.821       -149.516       -7.78258       0.720404E+10    26.3959        2.63959        38.1800       0.703199E+10   0.150108E+09   0.219395E+08   0.198391E+08   -288.401        33.7279       -181.134               0           1       84350
           5    9.57226        9.42027        10.1725       -149.370       -7.29952       -136.968       0.146339E+11    33.5324        3.35324        48.4200       0.136332E+11   0.857259E+09   0.143446E+09   0.518265E+08   -296.857       -376.589        80.6448               0           1       83901
           6    10.0672        9.65472        9.77644       -237.580        62.8718       -78.2308       0.206526E+11    23.8430        2.38429        42.2800       0.199287E+11   0.258720E+09   0.465208E+09   0.120567E+09    21.3942       -225.826       -174.048               0           1       77244
           7    10.0494        10.0941        10.0121       -46.8677       -31.5702        158.429       0.587840E+11    21.4257        2.14257        37.9700       0.485835E+11   0.365198E+10   0.654851E+10   0.151724E+10    9.99299        56.7041       -22.5324               0           0       65788
           8    10.0291        10.0100        9.99040       -373.480        101.184       -258.815       0.237593E+11    19.9114        1.99114        32.2000       0.235058E+11   0.156630E+09   0.968354E+08   0.447616E+08   -3.10593        2.64936       -36.4609               0           0       62239
           9    9.88487        10.0289        10.0224       -189.225        140.982        16.8877       0.607545E+10    21.4547        2.14547        29.9500       0.583876E+10   0.210129E+09   0.265538E+08   0.497862E+07   -95.8336        14.8030       -15.8512               0           0       58378
          10    10.0941        9.83976        10.0027       -319.481        52.6906       -85.2663       0.498118E+10    23.1478        2.31478        33.0600       0.474463E+10   0.206874E+09   0.296818E+08   0.102368E+08    38.6987       -106.836       -28.5514               0           0       57151
          11    10.1329        10.0711        10.0251       -166.769        19.7589       -178.656       0.596299E+10    19.3789        1.93789        29.7500       0.588963E+10   0.361799E+08   0.371850E+08   0.279738E+08    63.6362        41.9075       -14.1471               0           0       56931
          12    10.0860        10.1099        10.2954       -179.700       -83.9277       -270.126       0.416730E+10    21.2129        2.12129        30.1700       0.413584E+10   0.237213E+08   0.774244E+07   0.613187E+07    33.5286        66.8514        159.663               0           1       37159
          13    9.74851        9.95632        9.90419       -119.128       -194.555        7.04268       0.340403E+10    20.3525        2.03525        30.1900       0.324834E+10   0.148585E+09   0.710475E+07   0.728334E+07   -183.520       -31.8824       -91.8982               0           1       36365
          14    10.5957        9.76078        9.99864       -233.004       -21.5662       -94.2287       0.423101E+10    22.5344        2.25344        32.6700       0.411339E+10   0.110332E+09   0.728729E+07   0.777907E+07    361.259       -157.624       -31.1622               0           1       34428
          15    9.87670        9.96075        9.76451       -48.8491       -87.0956       -9.11790       0.342008E+10    20.3126        2.03126        28.4400       0.328509E+10   0.131033E+09   0.395533E+07   0.450869E+07   -101.087       -29.0337       -181.719               0           1       33744
          16    9.89200        10.1208        9.81160       -107.890        103.223       -157.123       0.144710E+10    15.5907        1.55907        26.9500       0.142956E+10   0.373935E+07   0.137955E+08   0.183036E+08   -91.2487        73.9057       -151.438               0           1       32472
          17    10.1887        9.38375        9.62048       -152.561       -4.39580       -11.0888       0.539779E+10    24.0725        2.40725        33.7100       0.495716E+10   0.426152E+09   0.144738E+08   0.587645E+07    99.5762       -400.073       -274.338               0           1       30745
          18    9.73249        10.0415        9.99190       -74.2491       -28.5400        34.1730       0.277190E+10    18.4786        1.84786        25.5200       0.236381E+10   0.405272E+09   0.282036E+07   0.116800E+07   -193.821        22.9183       -35.4963               0           1       26091
          19    10.0588        10.0670        9.78220       -137.584        125.212       -201.225       0.178438E+10    16.2524        1.62524        23.0100       0.178008E+10   0.283409E+07   0.146656E+07   0.278447E+07    16.0055        39.3032       -170.344               0           1       25431
          20    9.42805        10.1237        9.74473       -113.188        59.5625       -2.66961       0.205167E+10    17.4375        1.74375        24.0700       0.198286E+10   0.680679E+08    745266.        416636.       -389.591        75.7641       -194.439               0           1       24731
          21    9.96335        10.0906        10.0115       -19.0679        147.900        38.4060       0.268163E+10    15.2403        1.52402        22.5700       0.267842E+10   0.242639E+07    776728.        755477.       -45.3671        54.4341       -22.8990               0           0       22718
          22    10.3334        10.2556        10.3026       -164.084       -168.776       -108.850       0.174216E+10    16.6067        1.66067        23.9500       0.172704E+10   0.139458E+08   0.118271E+07   0.151891E+07    192.587        160.569        164.331               0           1       22529
          23    9.91855        10.0971        9.35797       -128.655       -1.11858        3.06798       0.296787E+10    20.0085        2.00085        27.1500       0.294401E+10   0.228296E+08   0.102797E+07    658009.       -74.1757        58.6718       -443.145               0           1       20607
          24    9.84113        10.0341        10.0573       -46.1068       -75.1444        75.5512       0.167629E+10    16.0216        1.60216        23.5900       0.164315E+10   0.322151E+08    923804.       0.128971E+07   -123.961        18.1404        6.53338               0           0       19776
          25    10.1127        10.0564        10.1879       -62.9899       -87.1248       -84.2106       0.110869E+10    12.8211        1.28211        19.3500       0.110258E+10   0.528285E+07    824100.       0.154999E+07    50.6530        32.4611        90.5542               0           0       19764
          26    10.1236        10.0752        10.2962       -195.925       -71.5118       -264.658       0.306377E+10    17.0987        1.70987        22.6500       0.235067E+10   0.666392E+09   0.467054E+08   0.478084E+07    57.7072        44.5569        160.184               0           1       19138
          27    9.54620        10.0658        9.50244       -199.926       -102.265        10.6202       0.219099E+10    18.3995        1.83996        24.8200       0.218812E+10   0.249358E+07    372376.        628438.       -313.615        38.5508       -350.243               0           1       18062
          28    9.86938        10.0750        9.85645       -43.0350       -219.657       -118.409       0.137462E+10    14.6634        1.46634        20.2300       0.137220E+10   0.214463E+07    270496.        692277.       -105.794        44.4154       -122.597               0           1       18041
          29    10.0120        10.0252        10.0590       -100.339       -116.074       -469.232       0.166248E+11    12.7587        1.27587        20.2900       0.162703E+11   0.161337E+09   0.193184E+09   0.697350E+08   -14.1085        12.3851        7.65872               0           0       17759
          30    10.0944        10.0148        10.0685        35.4765       -49.0285       -322.380       0.427976E+10    13.2841        1.32841        23.5000       0.395257E+10   0.320630E+09   0.656104E+07   0.468544E+07    38.8981        5.74886        13.7548               0           0       17740
          31    10.1081        10.0724        10.1393       -363.696       -129.052       -179.931       0.224647E+10    14.6435        1.46435        20.2700       0.223446E+10   0.117863E+08    228947.        275479.        47.7271        42.7821        59.2699               0           0       17059
          32    10.0811        9.93542        9.91393       -195.822        63.3394        93.7841       0.148491E+10    14.8152        1.48152        20.6600       0.148236E+10   0.229119E+07    256564.        361263.        30.3519       -45.3221       -85.6349               0           0       16523
          33    10.0013        10.1231        9.85303       -85.6049        166.453       -151.062       0.807460E+09    10.9383        1.09383        18.2300       0.788650E+09   0.112613E+08   0.754886E+07   0.638940E+07   -20.9763        75.3525       -124.797               0           1       15686
          34    9.97591        9.94892        10.0185       -210.200       -272.911        93.9514       0.390121E+10    12.5285        1.25285        19.0100       0.383701E+10   0.520810E+08   0.121174E+08   0.565279E+07   -37.2904       -36.6409       -18.3912               0           0       14789
          35    10.2468        10.3647        10.2612       -178.159       -170.533       -112.949       0.116196E+10    13.9548        1.39548        20.4700       0.102360E+10   0.136992E+09   0.137127E+07   0.118549E+07    136.892        230.713        137.651               0           1       14380
          36    10.1464        9.52794        9.57403       -192.536        9.77853       -36.4333       0.120065E+10    14.7072        1.47072        21.3500       0.116310E+10   0.371542E+08    392378.        723730.        72.3688       -307.352       -304.207               0           1       13339
          37    10.0917        10.0957        10.0128       -286.878       -134.586       -78.2961       0.552484E+09    7.01759       0.701759        11.3700       0.537074E+09   0.149344E+08    475209.        989643.        37.1490        57.7330       -22.0373               0           0       13211
          38    10.1439        9.99905        10.1094       -241.067       -214.366       -125.404       0.105382E+10    11.8443        1.18443        18.5300       0.102277E+10   0.186588E+08   0.123906E+08   0.329751E+07    70.7418       -4.40489        40.0620               0           0       12700
          39    10.4938        9.88212        10.1109       -250.043       -57.9318       -92.5337       0.130696E+10    15.4306        1.54306        20.3100       0.130469E+10   0.201843E+07    251878.        631539.        295.764       -79.5966        41.0394               0           1       12674
          40    9.73892        10.2615        9.52151       -145.666       -3.88265        8.21666       0.159818E+10    16.4055        1.64055        20.4800       0.159784E+10    304958.        39655.7        52692.6       -189.687        164.383       -337.980               0           1       12607
          41    9.59501        10.1075        9.49347       -151.787        7.45130        18.5757       0.995831E+09    14.0043        1.40043        21.3700       0.994499E+09    933156.        399285.        544492.       -282.228        65.3338       -356.011               0           1       12384
          42    9.87787        10.0299        9.44753       -161.212       -9.27667        1.47980       0.106186E+10    14.4416        1.44416        19.8000       0.106118E+10    596059.        86184.7        120748.       -100.335        15.4139       -385.553               0           1       12125
          43    10.0868        10.1228        9.92031       -118.377        60.4987       -23.6568       0.646181E+09    9.79684       0.979684        16.2400       0.634845E+09   0.988465E+07   0.145149E+07   0.246464E+07    33.9980        75.1467       -81.5322               0           0       11862
          44    10.0610        10.1311        10.0178        138.829        72.9664       -59.5378       0.549249E+10    11.8340        1.18340        20.0900       0.514963E+10   0.316596E+09   0.262612E+08   0.100752E+08    17.4009        80.5098       -18.8606               0           0       11819
          45    9.37551        10.1356        9.72311       -149.153       -132.358       -155.428       0.980845E+09    13.2352        1.32352        17.6200       0.979035E+09   0.180226E+07    7840.49        32139.1       -423.377        83.3971       -208.342               0           1       11754
          46    10.0742        9.95218        9.89611       -314.738       -81.3658        80.6377       0.123583E+10    12.9594        1.29594        17.5800       0.123336E+10   0.236549E+07    99919.6        107756.        25.9406       -34.5446       -97.0940               0           0       11318
          47    10.0243        9.49688        9.61328       -205.925        34.8745       -62.4048       0.116344E+10    14.6847        1.46847        19.9700       0.116219E+10    910723.        342003.        389298.       -6.19899       -327.325       -278.968               0           1       11309
          48    9.43137        9.88617        9.83533        12.8067       -169.443       -6.68127       0.921236E+09    13.5349        1.35349        21.0400       0.918594E+09   0.196780E+07    675047.       0.142516E+07   -387.456       -76.9923       -136.179               0           1       11145
          49    9.85097        9.95763        9.93166       -58.7832       -38.7142       -24.8138       0.304946E+09    8.64965       0.864965        16.6000       0.279926E+09   0.319083E+07   0.218291E+08   0.193275E+08   -117.633       -31.0400       -74.2336               0           1       11144
          50    9.94125        10.0611        10.1001       -43.9656        57.2837       -21.7238       0.749884E+09    10.2007        1.02007        17.4700       0.744670E+09    388479.       0.482589E+07   0.314240E+07   -59.5785        35.4770        34.0559               0           0        9803
          51    10.6825        10.0526        10.1831       -224.971       -61.0294       -88.3867       0.131303E+10    15.2190        1.52190        21.5600       0.130951E+10   0.309734E+07    427998.       0.137768E+07    417.069        30.0626        87.4547               0           1        9407
          52    10.4073        9.83891        10.0833       -260.800       -36.8791       -98.5225       0.835128E+09    13.0507        1.30507        17.4300       0.834790E+09    245376.        91883.8        218998.        240.115       -107.383        23.2527               0           1        9142
          53    9.93732        9.84651        10.0133       -155.141        164.585       -120.863       0.864224E+09    12.0205        1.20205        17.8100       0.727708E+09   0.136424E+09    91988.4        93537.7       -62.1057       -102.496       -21.7351               0           0        9131
          54    9.88113        9.72721        10.1168       -136.882       -105.139        2.74267       0.494282E+09    10.7736        1.07736        18.9700       0.491097E+09   0.263951E+07    545202.       0.176553E+07   -98.2386       -179.211        44.8205               0           1        8663
          55    10.0588        10.1724        9.84533       -91.5262        137.056       -143.499       0.185915E+09    7.52367       0.752367        13.0800       0.183652E+09    135678.       0.212703E+07   0.230380E+07    15.9862        107.093       -129.748               0           1        8542
          56    10.0259        9.98441        10.1285        21.4508       -54.5915       -146.418       0.936095E+09    9.12614       0.912615        17.5900       0.932817E+09    489721.       0.278771E+07   0.305731E+07   -5.16369       -13.8191        52.3185               0           0        8501
          57    10.0943        10.1785        10.0336       -140.169       -77.8256       -19.5917       0.559963E+09    7.84841       0.784841        11.7800       0.556444E+09   0.159357E+07   0.192526E+07   0.169630E+07    38.8273        110.965       -8.67473               0           0        8363
          58    10.1269        10.1240        10.2766       -127.443       -128.507       -280.588       0.937683E+09    12.7980        1.27980        16.5500       0.930566E+09   0.706968E+07    47141.4        52256.7        59.8100        75.9634        147.606               0           1        8324
          59    9.87007        9.99127        10.0105       -153.163        174.790       -37.1126       0.125782E+10    11.3299        1.13299        14.7700       0.117583E+10   0.818879E+08    100699.        145298.       -105.351       -9.40781       -23.5420               0           0        8010
          60    10.0293        10.0951        10.2794       -41.6322       -63.7422       -106.013       0.553509E+09    10.6958        1.06958        16.4900       0.553285E+09    188544.        36192.3        70717.4       -2.93230        57.3793        149.367               0           1        7973
          61    10.0639        9.38502        9.74164       -100.381        44.3963       -43.8929       0.671579E+09    12.3510        1.23510        16.6500       0.670842E+09    706051.        31599.8        38196.0        19.2658       -399.256       -196.426               0           1        7958
          62    10.0694        10.0730        10.0592       -186.212       -62.6285        137.950       0.263121E+10    9.98654       0.998654        19.9600       0.227578E+10   0.343763E+09   0.116604E+08   0.147381E+08    22.7961        43.1293        7.76804               0           0        7929
          63    9.89712        9.93256        10.0098       -181.345       -9.56731        154.888       0.445735E+09    9.17309       0.917309        13.6900       0.408707E+09   0.369968E+08    31301.0        34502.8       -87.9563       -47.1612       -24.0179               0           0        7814
          64    10.0278        9.96217        9.94155       -313.105       -60.3227        128.028       0.102879E+10    11.3479        1.13479        16.6200       0.102801E+10    706092.        79085.6        78984.3       -3.94832       -28.1205       -67.8739               0           0        7611
          65    9.93280        9.99234        10.0012       -158.087        200.138       -228.327       0.103568E+10    9.26312       0.926311        13.5200       0.860402E+09   0.174307E+09    968253.        428977.       -65.0123       -8.71975       -29.5031               0           0        7383
          66    10.0799        9.89500        10.0219        17.2332       -155.600        72.8912       0.524926E+09    9.49075       0.949075        13.8900       0.524352E+09    554045.        19419.5        0.00000        29.5674       -71.3142       -16.1984               0           0        6850
          67    9.74566        9.96971        10.1604       -66.6941       -21.7174        2.68554       0.515133E+09    11.1942        1.11942        16.4400       0.514293E+09    813501.        26723.4        164545.       -185.353       -23.2720        72.8511               0           1        6662
          68    9.61602        10.1044        9.42097       -153.445        5.14723        23.7525       0.544854E+09    11.3427        1.13427        14.7900       0.544555E+09    249568.        49150.4        169901.       -268.717        63.3275       -402.632               0           1        6604
          69    9.91851        9.87140        10.0375       -198.659        146.599       -205.044       0.473176E+09    9.78077       0.978077        13.2600       0.469564E+09   0.361135E+07    0.00000        0.00000       -74.2015       -86.4901       -6.17970               1           0        6461
          70    10.1178        10.0706        10.1470       -65.2440       -123.250       -145.356       0.397918E+09    6.71150       0.671150        9.63000       0.397235E+09    666048.        17319.8        26528.1        53.9711        41.5731        64.2342               0           0        6393
          71    10.0829        10.0092        10.1852       -184.813       -65.7853       -335.574       0.689722E+09    10.9286        1.09286        15.8800       0.628774E+09   0.605037E+08    444235.        368101.        31.5030        2.12206        88.8051               0           0        6362
          72    9.95845        9.99678        10.2101       -34.7388       -6.02562        48.6838       0.136157E+09    6.71986       0.671986        9.24000       0.136097E+09    59403.7        0.00000        0.00000       -48.5181       -5.86461        104.843               1           0        6187
          73    9.89321        10.0864        10.4101       -86.9082       -120.165       -232.847       0.866478E+09    13.2153        1.32153        19.4500       0.866217E+09    27891.2        233196.        326260.       -90.4706        51.7848        233.401               0           1        6061
          74    10.2390        10.5837        10.3042       -159.862       -174.822       -42.7288       0.866615E+09    13.2179        1.32179        15.9800       0.854328E+09   0.122677E+08    19883.5        25880.2        131.909        371.573        165.309               0           1        5975
          75    9.97292        9.44716        10.0516       -170.780        49.5601       -117.169       0.458491E+09    10.8920        1.08920        15.4700       0.456927E+09   0.152872E+07    34336.6        35524.2       -39.2131       -359.297        2.91301               0           1        5858
          76    9.83721        9.57312        10.0886       -153.566        34.3727       -226.124       0.527571E+09    11.3305        1.13305        15.2000       0.526015E+09   0.151150E+07    43862.8        91821.9       -126.481       -278.299        26.7123               0           1        5605
          77    10.0152        10.0939        9.98479       -144.458        218.780       -172.111       0.906034E+09    8.86571       0.886571        13.7600       0.829972E+09   0.751273E+08    934233.        202192.       -12.0250        56.5690       -40.0684               0           0        5564
          78    10.2181        10.4934        10.2527       -157.387       -157.465       -128.941       0.346146E+09    9.69524       0.969524        12.1800       0.343444E+09   0.264687E+07    54968.7        141003.        118.418        313.487        132.185               0           1        5432
          79    10.0206        10.1721        10.1203       -15.6408        82.6748       -61.7868       0.303299E+09    8.81620       0.881620        13.5700       0.302457E+09    819882.        22219.8        43421.8       -8.57828        106.868        47.0455               0           0        5374
          80    10.0175        10.1400        9.88653       -84.9906        155.090       -209.939       0.644420E+09    9.75055       0.975055        14.8600       0.641828E+09   0.246381E+07    128813.        93552.7       -10.5203        86.2329       -103.254               0           1        5238
          81    10.0534        9.62003        9.40552       -145.822       -19.7733       -6.80647       0.413781E+09    10.3640        1.03640        15.3000       0.402056E+09   0.117252E+08    0.00000        0.00000        12.5202       -248.133       -412.568               1           1        5132
          82    10.1139        10.0382        10.0565       -94.5759       -184.570       -205.937       0.417294E+09    7.18285       0.718285        9.63000       0.415525E+09   0.149370E+07    275412.        145255.        51.4375        20.7705        6.03180               0           0        5048
          83    10.1170        9.92866        10.1677       -144.276        44.6749       -54.3754       0.288631E+09    8.23231       0.823231        12.5100       0.285164E+09   0.331991E+07    146674.        195255.        53.4438       -49.6691        77.5775               0           0        5037
          84    10.1006        10.0352        10.0140       -127.925       -179.855       -203.221       0.255009E+09    6.69028       0.669028        10.6700       0.253156E+09   0.171842E+07    134302.        201539.        42.9235        18.8413       -21.2656               0           0        4874
          85    10.0531        10.0451        10.3155       -85.1235       -121.816       -266.325       0.371393E+09    9.96854       0.996854        13.8200       0.371129E+09    264396.        0.00000        0.00000        12.3658        25.2333        172.594               1           1        4788
          86    9.45638        10.0265        9.96604        58.1849       -184.910       -29.0638       0.265412E+09    8.76732       0.876732        12.1300       0.264130E+09   0.125000E+07    31473.2        34224.8       -371.374        13.2532       -52.1256               0           1        4673
          87    10.1024        9.89702        10.1030       -62.7626       -66.9105        92.2857       0.296206E+09    7.89664       0.789664        10.8100       0.293727E+09   0.247846E+07    0.00000        0.00000        44.0810       -70.0152        35.9272               1           0        4645
