#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    10.9894        10.7294        10.6051       -61.8483       -68.0395       -46.3159       0.116831E+12    30.7878        3.07878        137.610       0.105730E+12   0.652538E+10   0.457584E+10   0.708539E+10    0.00000        0.00000        0.00000               0           0     1199795
           2    10.8015        10.4466        10.3775       -61.5758       -34.2764       -18.4018       0.820218E+11    27.4352        2.74352        114.700       0.740737E+11   0.656287E+10   0.138528E+10   0.287545E+10   -53.6943       -80.8200       -65.0269               0           1      618761
           3    11.3015        9.72532        10.1581       -114.438       -25.6135       -43.1816       0.218868E+11    17.5736        1.75736        73.6500       0.201184E+11   0.145923E+10   0.309170E+09   0.125844E+10    89.1695       -286.911       -127.725               0           1      221571
           4    10.6471        10.4885        10.1478       -74.1062       -60.4398        22.1767       0.196631E+11    16.6237        1.66237        67.0200       0.175080E+11   0.194149E+10   0.213603E+09   0.609765E+09   -97.7961       -68.8388       -130.663               0           1      173344
           5    10.8931        10.0672        11.3000       -67.7182       -35.0501       -140.836       0.444890E+11    22.6327        2.26327        89.5300       0.405222E+11   0.359141E+10   0.375400E+09   0.133341E+10   -27.5058       -189.212        198.561               0           1      167559
           6    10.8966        10.0813        10.6659       -78.9359        36.6759       -82.2800       0.186489E+11    16.5615        1.65614        63.8300       0.173652E+11   0.109330E+10   0.190405E+09   0.783603E+09   -26.5257       -185.185        17.3704               0           1      138828
           7    10.9415        10.1722        10.5774       -144.082       -18.3831       -22.9466       0.153341E+11    15.2076        1.52076        60.9600       0.137061E+11   0.152589E+10   0.102110E+09   0.295691E+09   -13.6757       -159.217       -7.92370               0           1       95819
           8    10.8896        10.0167        11.2944       -54.2213        94.3525       -109.495       0.171118E+11    11.6798        1.16798        45.5500       0.153680E+11   0.160753E+10   0.136247E+09   0.453055E+09   -28.5145       -203.659        196.964               0           1       91321
           9    10.9605        10.3231        11.1185       -106.118       -67.7958       -108.292       0.633582E+10    11.6075        1.16075        47.5800       0.588183E+10   0.391152E+09   0.628363E+08   0.356933E+09   -8.24374       -116.095        146.698               0           1       68316
          10    10.9028        10.0688        11.2602       -187.982       -29.3671       -177.558       0.140193E+11    10.5888        1.05888        44.4000       0.126726E+11   0.123106E+10   0.115577E+09   0.188795E+09   -24.7569       -188.766        187.197               0           1       60232
          11    10.7001        9.90405        11.0990       -48.3529       -49.2803       -88.0723       0.594656E+10    11.4132        1.14132        44.7700       0.554278E+10   0.369765E+09   0.340155E+08   0.161941E+09   -82.6602       -235.839        141.121               0           1       58398
          12    10.9099        10.1106        10.6324       -106.369       -15.2396       -65.6081       0.104667E+11    11.1052        1.11052        46.1600       0.942867E+10   0.973116E+09   0.649224E+08   0.298203E+09   -22.7110       -176.807        7.80655               0           1       56234
