#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    10.1881        10.0984        10.1473       -42.6838        24.8969       -46.7677       0.772721E+12    115.943        11.5943        212.070       0.710760E+12   0.269889E+11   0.349725E+11   0.123780E+11    0.00000        0.00000        0.00000               0           0     8007024
           2    10.1293        10.0227        10.0959       -62.3978        137.555       -173.940       0.419496E+12    59.1270        5.91270        108.560       0.370362E+12   0.228801E+11   0.262540E+11   0.248772E+10   -34.4507       -44.3524       -30.1151               0           0     1427480
           3    10.2510        9.61768        9.79174       -169.606       -4.73236       -43.5642       0.481407E+11    46.6415        4.66415        74.5300       0.467928E+11   0.668513E+09   0.679384E+09   0.653352E+09    36.8763       -281.652       -208.321               0           1      500817
           4    9.72362        9.43334        10.3180       -135.341       -14.9221       -134.924       0.140909E+11    30.5786        3.05786        48.5700       0.128567E+11   0.111220E+10   0.121952E+09   0.542712E+08   -272.137       -389.656        99.9891               0           1       79860
           5    9.76766        10.2267        9.77446       -169.314       -161.481       -8.41398       0.670353E+10    23.9673        2.39673        38.4900       0.649814E+10   0.183736E+09   0.216550E+08   0.214614E+08   -246.334        75.1822       -218.446               0           1       74916
           6    10.2909        9.57454        9.82157       -179.970        61.8585       -14.9253       0.749058E+10    22.5178        2.25178        42.0800       0.732341E+10   0.124901E+09   0.422746E+08   0.862044E+08    60.2243       -306.928       -190.844               0           1       70441
           7    10.1049        10.0505        10.1562        108.670       -86.2865        46.7181       0.191250E+11    22.0303        2.20303        38.4200       0.182396E+11   0.837419E+09   0.479337E+08   0.331468E+08   -48.7583       -28.0586        5.20862               0           0       69892
           8    10.1252        10.0577        10.0331       -90.7203        75.9446       -187.202       0.188647E+11    19.6510        1.96510        41.2000       0.163965E+11   0.207050E+10   0.397713E+09   0.864678E+08   -36.8705       -23.8636       -66.9211               0           0       60869
           9    10.2437        10.0224        10.3430       -120.423       -68.5172       -277.472       0.785041E+10    23.3310        2.33310        34.3000       0.749134E+10   0.351843E+09   0.723187E+07   0.121574E+08    32.5583       -44.5457        114.678               0           1       58995
          10    10.4041        9.82708        10.0989       -263.553       -10.6255       -92.4188       0.520386E+10    21.9665        2.19665        33.4700       0.489536E+10   0.278477E+09   0.300194E+08   0.100816E+08    126.560       -158.965       -28.3574               0           1       58302
          11    10.1746        9.90898        10.0272       -300.161        48.2510       -37.6323       0.620650E+10    21.3753        2.13753        34.6800       0.576425E+10   0.415947E+09   0.263042E+08   0.472608E+07   -7.89789       -110.981       -70.3779               0           1       49679
          12    10.2682        10.1873        10.5560       -161.596       -67.6295       -223.355       0.561273E+10    22.5160        2.25160        32.9800       0.553958E+10   0.657276E+08   0.742463E+07   0.673858E+07    46.9362        52.0979        239.468               0           1       47881
          13    10.0270        9.98753        10.0265       -167.742        131.521       -251.259       0.352818E+10    16.1883        1.61883        27.4300       0.340764E+10   0.105326E+09   0.152122E+08   0.201288E+08   -94.3879       -64.9583       -70.7880               0           1       41653
          14    9.89436        10.1755        9.90325       -151.503       -205.103       -5.06876       0.350483E+10    18.5548        1.85548        29.4700       0.326106E+10   0.238468E+09   0.529551E+07   0.706824E+07   -172.101        45.1550       -142.988               0           1       35445
          15    10.8339        9.78487        10.0978       -212.852       -23.7354       -90.9603       0.407215E+10    20.3330        2.03330        32.1900       0.392699E+10   0.138052E+09   0.710625E+07   0.838066E+07    378.401       -183.696       -29.0195               0           1       33447
          16    9.92670        10.0604        9.80012       -44.8667       -98.8404       -55.0297       0.309768E+10    18.2232        1.82232        28.4000       0.295702E+10   0.136784E+09   0.388453E+07   0.493889E+07   -153.153       -22.2641       -203.412               0           1       32601
          17    10.3143        10.1515        10.5522       -159.811       -62.8060       -222.941       0.491636E+10    18.6807        1.86807        25.5000       0.374376E+10   0.113448E+10   0.381131E+08   0.376827E+07    73.9401        31.1345        237.212               0           1       30622
          18    10.1724        9.93484        10.0686       -63.4902        85.9262       -338.900       0.389236E+10    16.0126        1.60126        25.4200       0.385727E+10   0.332468E+08   0.183557E+07   0.350326E+07   -9.17514       -95.8292       -46.1159               0           0       29496
          19    9.83263        10.0628        9.94506       -109.963       -18.4653        48.6243       0.268075E+10    16.8363        1.68363        26.7200       0.229364E+10   0.385147E+09   0.196503E+07   0.117513E+07   -208.269       -20.8872       -118.492               0           1       24093
          20    10.0881        9.89955        10.0277       -176.892        140.547       -64.6898       0.244109E+10    14.8789        1.48789        22.8200       0.232657E+10   0.114148E+09    373571.        630065.       -58.5897       -116.506       -70.0556               0           1       23976
          21    9.54269        10.0661        9.74381       -99.3937        49.1378       0.723235       0.222022E+10    15.3816        1.53816        23.1400       0.208080E+10   0.138911E+09    511778.        443963.       -378.143       -18.9479       -236.403               0           1       22934
          22    10.1468        10.0958        10.1388       -127.751        59.4608        223.942       0.190185E+11    13.3110        1.33110        26.0700       0.174186E+11   0.119344E+10   0.406428E+09   0.975173E+08   -24.1741       -1.51161       -5.00942               0           0       22783
          23    9.94216        10.1022        9.96069       -131.685       -51.6828        91.8644       0.196267E+10    15.1150        1.51150        24.2600       0.194703E+10   0.147121E+08    926457.       0.143710E+07   -144.095        2.23227       -109.334               0           1       21198
          24    10.4904        10.4300        10.4033       -132.340       -159.948       -83.0919       0.178053E+10    15.4044        1.54044        24.1800       0.173385E+10   0.454723E+08   0.120143E+07   0.164466E+07    177.122        194.277        150.001               0           1       20878
          25    10.0447        10.0952        9.36209       -105.604        3.86751       -8.49622       0.302147E+10    18.4241        1.84241        27.8000       0.295757E+10   0.629226E+08    983565.        723733.       -83.9941       -1.85729       -460.052               0           1       19683
          26    10.1892        10.0895        10.4187       -174.884       -47.3458       -263.137       0.187841E+10    15.5884        1.55884        21.9900       0.180145E+10   0.763436E+08    610400.        761383.       0.644486       -5.18518        159.018               0           1       19637
          27    10.0983        10.0862        10.0257        15.4795        69.7910       -130.533       0.141011E+10    10.6229        1.06229        21.7400       0.139956E+10   0.725043E+07   0.329724E+07   0.927770E+07   -52.6135       -7.15966       -71.2509               0           0       18709
          28    10.2907        10.2149        10.1880       -55.6936       -165.468       -33.4214       0.121907E+10    12.0695        1.20695        19.8600       0.120534E+10   0.105897E+07   0.126658E+08   0.323290E+07    60.1130        68.2511        23.8518               0           0       18705
          29    10.0088        10.0584        10.2016        19.7138       -38.5990       -6.76057       0.174539E+10    14.4640        1.44640        23.9100       0.174417E+10    343032.        876488.       0.265992E+07   -105.040       -23.4534        31.8142               0           0       17198
          30    10.2452        10.2592        10.0842       -224.929       -219.135       -159.355       0.162142E+10    13.7721        1.37721        21.1000       0.160258E+10   0.183735E+08    467336.        753908.        33.4488        94.2356       -36.9701               0           0       16116
          31    10.2551        9.89493        9.85188       -136.995        24.4107        34.3401       0.120787E+10    13.6883        1.36883        20.5800       0.120717E+10    442068.        257216.        401143.        39.2609       -119.212       -173.086               0           1       15769
          32    9.76001        10.1900        9.49848       -198.800       -126.131       -2.86223       0.150801E+10    14.7951        1.47951        23.6800       0.149848E+10   0.915029E+07    373176.        705782.       -250.816        53.6974       -380.141               0           1       15413
          33    10.1089        9.94234        10.1122       -126.654        106.845       -318.123       0.176699E+10    10.4547        1.04547        19.3700       0.173511E+10   0.223106E+08   0.957056E+07   0.878088E+07   -46.4323       -91.4350       -20.5708               0           0       15211
          34    9.92863        10.2932        10.0055       -63.8472       -186.173       -152.744       0.110386E+10    13.2419        1.32419        20.6300       0.109684E+10   0.675157E+07    270971.        777202.       -152.023        114.127       -83.1036               0           1       14273
          35    10.4409        10.1815        10.2775       -272.021       -85.5918       -100.044       0.130042E+10    13.8283        1.38283        20.7300       0.128074E+10   0.196075E+08    63447.1        131358.        148.115        48.6704        76.2954               0           1       13870
          36    10.1306        9.99177        10.0652       -280.316       0.241338       -10.7518       0.205091E+10    10.1934        1.01934        19.4100       0.200316E+10   0.411925E+08   0.655794E+07   0.464230E+07   -33.7066       -62.4741       -48.1197               0           0       13730
          37    10.1811        10.1310        10.1363       -222.737       -58.1079       -121.668       0.356840E+10    7.43679       0.743679        16.5400       0.338890E+10   0.186401E+07   0.177630E+09   0.117240E+09   -4.11885        19.1119       -6.43900               0           0       13296
