#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    10.4748        10.2755        10.2736       -119.944       -92.1204       -45.9806       0.515169E+12    82.1682        8.21682        230.540       0.473649E+12   0.179510E+11   0.235695E+11   0.102432E+11    0.00000        0.00000        0.00000               0           0     5350717
           2    10.4213        9.98667        10.6012       -126.788       -31.1768       -188.306       0.104037E+12    46.7131        4.67131        106.400       0.949255E+11   0.638071E+10   0.273090E+10   0.137221E+10   -24.4513       -132.079        149.813               0           1     1043805
           3    10.6950        9.64439        9.92930       -157.179       -9.96460       -54.8914       0.370543E+11    33.6378        3.36378        75.6100       0.355123E+11   0.942542E+09   0.599437E+09   0.658989E+09    100.677       -288.600       -157.445               0           1      431906
           4    10.5042        10.3372        10.2928       -62.3637       -110.165        13.7446       0.440051E+11    17.5375        1.75375        71.3600       0.398470E+11   0.199974E+10   0.215839E+10   0.105809E+10    13.4443        28.2148        8.77996               0           0      143634
           5    10.5027        10.3544        10.2717       -171.863       -57.9638       -158.865       0.440862E+11    17.8082        1.78082        56.8700       0.407957E+11   0.113703E+10   0.215339E+10   0.103172E+10    12.7447        36.0847      -0.877996               0           0      141356
           6    10.3742        9.82695        10.6236       -76.1265        43.1267       -141.728       0.142313E+11    22.4900        2.24900        51.4000       0.119316E+11   0.220701E+10   0.927690E+08   0.839742E+08   -46.0262       -205.117        160.061               0           1      121615
           7    10.4266        9.96845        10.6319       -55.6065       -15.9645       -98.5596       0.340393E+11    16.6495        1.66495        44.8400       0.297831E+11   0.197175E+10   0.228442E+10   0.780619E+09   -22.0368       -140.411        163.870               0           1       78401
           8    10.2351        10.2491        9.96386       -99.4748       -65.2533        53.2119       0.717777E+10    18.7974        1.87974        39.2900       0.661319E+10   0.545325E+09   0.192552E+08   0.367700E+08   -109.608       -12.0679       -141.641               0           1       67528
           9    10.6858        9.53440        9.81876       -133.761       -19.0688       -1.76269       0.573986E+10    18.0181        1.80181        43.5000       0.550502E+10   0.196648E+09   0.381902E+08   0.118584E+09    96.4973       -338.897       -207.994               0           1       66375
          10    10.0671        9.48766        10.6602       -115.239       -26.5135       -117.038       0.121109E+11    22.5974        2.25974        47.6600       0.111827E+11   0.830383E+09   0.977265E+08   0.638199E+08   -186.446       -360.271        176.811               0           1       64360
