#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    11.2542        8.68360        9.99755       -71.5628        69.5744       -9.87978       0.536471E+10    5.56407       0.556407        61.3100       0.499929E+10   0.313889E+09   0.515291E+08   0.573328E+10    0.00000        0.00000        0.00000               0           0       51660
           2    11.5033        9.56265        10.0176       -84.0178        19.9976        3.23538       0.278423E+10    4.46791       0.446791        52.4300       0.250573E+10   0.261559E+09   0.169449E+08   0.118841E+10    35.6424        125.794        2.87491               0           1       24762
           3    11.3661        9.74198        10.0313       -73.4447       -30.3225       -5.76970       0.193175E+10    3.97064       0.397064        43.2400       0.179422E+10   0.128561E+09   0.897358E+07   0.943822E+09    16.0131        151.456        4.83398               0           1       17051
           4    11.2339        9.04630        9.89768       -56.3896        31.9399        29.3855       0.130261E+10    3.46992       0.346992        37.9500       0.118805E+10   0.109960E+09   0.460853E+07   0.422617E+09   -2.91355        51.9030       -14.2916               0           1       12335
           5    11.2274        9.05606        10.1945       -62.2449        44.1504       -34.7591       0.146388E+10    3.63306       0.363306        39.3800       0.137428E+10   0.856867E+08   0.391258E+07   0.714981E+09   -3.83370        53.2997        28.1810               0           1       11452
           6    11.8345        9.61949        9.96857       -82.2328        15.2715       -3.90368       0.102734E+10    3.20175       0.320175        34.6500       0.970724E+09   0.509131E+08   0.570665E+07   0.556204E+09    83.0405        133.928       -4.14709               0           1       11117
           7    10.5205        8.37459        10.5950       -25.0427        103.567       -31.2996       0.132176E+10    3.49454       0.349454        37.8300       0.123535E+10   0.822424E+08   0.416519E+07   0.568830E+09   -104.997       -44.2199        85.4990               0           1       10183
           8    10.9328        8.55488        10.3258       -35.9693        71.8253       -38.2930       0.673357E+09    2.77803       0.277803        30.0600       0.633347E+09   0.359679E+08   0.404235E+07   0.394613E+09   -46.0044       -18.4201        46.9775               0           1        9656
           9    10.9972        9.92907        9.67534       -80.7561       0.963133       -7.75564       0.889188E+09    3.08083       0.308083        33.3700       0.852748E+09   0.338378E+08   0.260233E+07   0.603761E+09   -36.7757        178.229       -46.1088               0           1        8944
          10    10.4855        8.34039        10.5768        2.52083        113.466       -6.97700       0.939492E+09    3.13492       0.313492        34.4600       0.877606E+09   0.590987E+08   0.278733E+07   0.266086E+09   -110.015       -49.1140        82.8846               0           1        7655
