#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    9.98329        9.98707        9.94444       -223.203        135.140        26.4623       0.310893E+12    95.1255        9.51255        150.390       0.289626E+12   0.802210E+10   0.132449E+11   0.153140E+11    0.00000        0.00000        0.00000               0           0     3293687
           2    9.88043        10.1255        9.94253       -99.1106        44.1476       -53.7517       0.148607E+12    67.8500        6.78500        107.320       0.133137E+12   0.102482E+11   0.522141E+10   0.377601E+10   -67.6135        90.9949       -1.25551               0           1     1688697
           3    9.95725        9.98992        9.95484       -7.86838        181.949       -70.2810       0.193523E+12    44.6310        4.46310        106.920       0.175155E+12   0.518888E+10   0.131782E+11   0.152184E+11   -17.1170        1.87340        6.83628               0           0      728505
           4    9.59188        10.1841        9.65183       -124.724        74.5913        29.6444       0.149151E+11    34.6895        3.46895        46.5400       0.141160E+11   0.732315E+09   0.668171E+08   0.177363E+09   -257.287        129.488       -192.343               0           1      127076
           5    9.51716        10.1410        10.1106       -82.6738        88.1516        6.54071       0.125928E+11    29.3362        2.93362        41.8700       0.121870E+11   0.361678E+09   0.441585E+08   0.727280E+08   -306.403        101.151        109.210               0           1      111166
           6    10.1625        9.93069        9.83995       -182.661        192.963        41.7609       0.664331E+10    25.1174        2.51174        37.5900       0.605163E+10   0.495855E+09   0.958246E+08   0.954023E+08    117.781       -37.0605       -68.6849               0           1       52611
           7    9.83934        9.79394        9.96708       -156.076        146.654        21.7445       0.341919E+10    21.5178        2.15178        35.8800       0.340497E+10   0.369262E+07   0.105296E+08   0.699285E+08   -94.6233       -126.951        14.8821               0           1       48645
           8    9.67034        10.4140        10.0775       -101.084        186.483       -132.727       0.707272E+10    26.4886        2.64886        33.3000       0.669917E+10   0.340741E+09   0.328103E+08   0.751110E+07   -205.713        280.629        87.4321               0           1       39510
           9    9.51683        10.1686        10.0951       -186.965        63.5016       -115.154       0.469816E+10    19.4091        1.94091        25.0800       0.455076E+10   0.141664E+09   0.573332E+07   0.155562E+08   -306.620        119.300        99.0012               0           1       35400
          10    9.74579        10.2675        10.1320       -114.443        250.704       -153.284       0.446249E+10    22.6669        2.26669        27.1900       0.411782E+10   0.342027E+09   0.264056E+07   0.258338E+07   -156.117        184.336        123.303               0           1       33586
          11    9.55807        10.3592        10.2508       -92.2063        159.496       -80.8200       0.304356E+10    19.6293        1.96293        30.1300       0.259701E+10   0.441056E+09   0.549699E+07   0.415848E+08   -279.512        244.601        201.394               0           1       33129
          12    9.93871        10.2013        9.79507       -174.769        84.4511        36.0826       0.261327E+10    18.1707        1.81707        25.0000       0.257632E+10   0.304205E+08   0.652741E+07   0.252572E+08   -29.3040        140.808       -98.1861               0           1       26533
          13    9.43712        10.4690        10.1188       -77.4969        136.488        25.7621       0.249907E+10    19.1297        1.91297        26.2100       0.246390E+10   0.291277E+08   0.604832E+07   0.107217E+08   -359.017        316.796        114.600               0           1       24648
          14    9.76406        10.3743        9.86211       -62.6603        175.136       -112.847       0.192951E+10    17.3471        1.73470        22.3900       0.191202E+10   0.169607E+08    529213.       0.337956E+07   -144.108        254.527       -54.1184               0           1       23092
          15    9.79510        10.2152        10.0682       -38.8107        109.188       -43.1050       0.171413E+10    15.6702        1.56702        22.3100       0.169678E+10   0.167874E+08    566922.       0.385365E+07   -123.704        149.958        81.3320               0           1       19217
          16    9.86670        10.2055        9.87151       -169.534        227.808       -80.5019       0.197194E+10    15.5473        1.55473        20.2000       0.192159E+10   0.503411E+08    0.00000        0.00000       -76.6387        143.582       -47.9394               1           1       19131
          17    9.36297        10.3824        10.0832       -101.035        59.0722        28.5818       0.157191E+10    16.3144        1.63144        20.9800       0.153440E+10   0.373253E+08    176594.        624720.       -407.758        259.864        91.2118               0           1       18856
          18    9.93328        10.2401        9.75146       -95.2537        48.9426       -87.5937       0.130436E+10    15.0253        1.50253        21.8800       0.126769E+10   0.317397E+08   0.492658E+07   0.497817E+07   -32.8733        166.299       -126.852               0           1       18151
