#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    11.3431        8.60232        10.0174       -70.4748        58.7909       -23.8018       0.294246E+10    3.62288       0.362288        57.3100       0.263011E+10   0.288672E+09   0.236764E+08   0.439930E+10    0.00000        0.00000        0.00000               0           0       21355
           2    11.2985        9.00224        10.2298       -58.5596        41.6680       -5.64462       0.609579E+09    2.14845       0.214845        33.1100       0.556028E+09   0.518981E+08   0.165312E+07   0.717162E+09   -5.10037        45.7341        24.2977               0           1        6534
           3    11.6084        9.54083        9.99564       -71.3762        12.8723        18.3379       0.647333E+09    2.21250       0.221250        33.7900       0.598761E+09   0.471753E+08   0.139654E+07   0.934621E+09    30.3323        107.326       -2.48500               0           1        6503
           4    11.0915        9.93443        9.68141       -67.4128       -6.22205       -6.77034       0.449591E+09    1.92946       0.192946        29.2500       0.410287E+09   0.378865E+08   0.141740E+07   0.671092E+09   -28.7714        152.338       -38.4198               0           1        5429
           5    11.4512        9.77602        10.0374       -69.0542       -23.0466       -20.7876       0.693313E+09    2.22004       0.222004        34.3600       0.617883E+09   0.727854E+08   0.264473E+07   0.445000E+09    12.3621        134.222        2.28945               0           1        5179
           6    11.3253        8.62746        10.0332       -20.4813        39.3457       -33.9903       0.377156E+09    1.64836       0.164836        24.9800       0.339869E+09   0.364555E+08    831198.       0.326632E+09   -2.04129        2.87496        1.80571               0           1        3812
           7    11.3502        8.58006        10.0053       -71.2040        106.598        33.9011       0.445964E+09    1.48174       0.148174        22.5600       0.411285E+09   0.321618E+08   0.251742E+07   0.745179E+09   0.805081       -2.54561       -1.38030               0           0        3582
           8    10.6775        9.04931        10.7526       -54.5708        42.5737       -14.2289       0.338707E+09    1.80446       0.180446        28.1100       0.322327E+09   0.157303E+08    650301.       0.496874E+09   -76.1259        51.1169        84.0829               0           1        3559
           9    10.9790        8.46754        10.3708       -31.8940        56.7630       -28.9376       0.400076E+09    1.89412       0.189412        29.0700       0.375535E+09   0.229692E+08   0.157130E+07   0.252623E+09   -41.6435       -15.4132        40.4199               0           1        3505
          10    11.4458        9.78367        10.0135       -56.0374       -11.8033        21.0281       0.364153E+09    1.76295       0.176295        28.4300       0.333384E+09   0.301111E+08    658160.       0.156137E+09    11.7389        135.097      -0.445997               0           1        3123
