#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    8.82225        8.65262        9.33574        107.643        142.273        100.559       0.124886E+12    27.0568        2.70568        155.360       0.108864E+12   0.114464E+11   0.457511E+10   0.800627E+10    0.00000        0.00000        0.00000               0           0     1195611
           2    8.88061        8.70152        9.53297        165.513        110.773       -5.31733       0.403499E+11    17.9381        1.79381        88.0100       0.366752E+11   0.294796E+10   0.726790E+09   0.231037E+10    14.1772        11.8791        47.9124               0           1      322772
           3    8.99779        8.76369        9.57288        7.94674        69.7208       -82.0436       0.344829E+11    16.7852        1.67852        84.3700       0.296486E+11   0.444212E+10   0.392095E+09   0.823314E+09    42.6433        26.9818        57.6075               0           1      217835
           4    9.50817        8.89434        9.73874        2.75797        132.260        15.3529       0.201498E+11    14.7276        1.47276        72.2600       0.182811E+11   0.171749E+10   0.151168E+09   0.623396E+09    166.628        58.7201        97.8993               0           1      123811
           5    8.71912        8.67076        9.06012        110.802        120.376        155.348       0.221767E+11    14.2053        1.42053        69.8300       0.197494E+11   0.218364E+10   0.243674E+09   0.977905E+09   -25.0530        4.40668       -66.9553               0           1      121010
           6    9.54147        8.70293        9.76919        16.5275        203.009        27.5938       0.124190E+11    12.2607        1.22607        62.7500       0.110975E+11   0.120618E+10   0.115361E+09   0.433359E+09    174.717        12.2216        105.296               0           1      102894
           7    9.33483        8.83996        9.99279        99.9677        107.512       -46.5688       0.102509E+11    11.4326        1.14326        56.6700       0.914482E+10   0.104468E+10   0.613813E+08   0.266510E+09    124.519        45.5098        159.615               0           1       83547
           8    8.40453        9.37511        9.68704        107.646        19.0986        24.8386       0.150043E+11    12.8945        1.28945        63.2600       0.132512E+11   0.167040E+10   0.826990E+08   0.234124E+09   -101.475        175.512        85.3400               0           1       81113
           9    9.52266        9.04830        9.57393        30.6422        65.4105        68.6053       0.898138E+10    11.1357        1.11357        56.3800       0.824824E+10   0.663554E+09   0.695826E+08   0.278708E+09    170.148        96.1211        57.8626               0           1       80605
          10    9.19385        8.84619        9.64864        48.9667        113.893       -17.1956       0.613721E+10    9.75760       0.975760        52.3700       0.565394E+10   0.406752E+09   0.765275E+08   0.516197E+09    90.2714        47.0232        76.0116               0           1       77999
          11    9.20687        8.88671        9.47949        10.3108        130.642        120.421       0.617894E+10    9.82853       0.982853        51.8500       0.573325E+10   0.396850E+09   0.488393E+08   0.519907E+09    93.4343        56.8666        34.9207               0           1       71214
          12    9.32871        8.91186        9.52850        53.7020        72.9472        86.7386       0.123406E+11    12.1135        1.21135        59.4300       0.108805E+11   0.137640E+10   0.837209E+08   0.217391E+09    123.032        62.9762        46.8265               0           1       66097
          13    8.70970        8.70078        9.03015        132.166        12.7828        172.543       0.136571E+11    10.7363        1.07363        54.6600       0.126594E+11   0.838426E+09   0.159268E+09   0.571132E+09   -27.3414        11.6993       -74.2358               0           1       63461
          14    8.12457        9.50563        9.70318        124.103        45.5338       -5.89930       0.806573E+10    10.4682        1.04682        51.4200       0.711888E+10   0.906383E+09   0.404618E+08   0.129346E+09   -169.485        207.219        89.2608               0           1       51116
          15    8.93628        8.72155        9.56756        90.9311        113.334       -19.3117       0.755131E+10    8.44507       0.844507        43.3500       0.664137E+10   0.804069E+09   0.105868E+09   0.340390E+09    27.7009        16.7449        56.3152               0           1       47909
          16    8.38171        9.42118        9.64868        75.0351       -29.0894        49.7753       0.545432E+10    9.00161       0.900161        45.5300       0.499172E+10   0.437958E+09   0.246378E+08   0.166624E+09   -107.019        186.703        76.0214               0           1       47746
          17    8.56643        8.76149        9.74989        155.078        91.0030        2.84947       0.503114E+10    8.90201       0.890201        44.0800       0.446012E+10   0.546263E+09   0.247529E+08   0.180166E+09   -62.1454        26.4474        100.608               0           1       45273
          18    8.83128        8.66606        9.35009       -141.375        26.8776        18.5319       0.395649E+11    7.37960       0.737960        47.3500       0.320856E+11   0.327763E+10   0.420169E+10   0.663082E+10    2.19362        3.26493        3.48599               0           0       42833
          19    8.83739        8.64052        9.32073        154.613        267.584        306.640       0.325249E+11    7.05578       0.705578        42.0600       0.249758E+11   0.365189E+10   0.389721E+10   0.591596E+10    3.67790       -2.93941       -3.64632               0           0       40830
          20    9.36213        9.02264        9.40794        82.9857        33.6991        133.482       0.325910E+10    7.98958       0.798958        40.9100       0.308372E+10   0.154716E+09   0.206596E+08   0.146635E+09    131.151        89.8876        17.5393               0           1       38626
          21    8.23097        9.61806        9.54295        122.018        22.9116        56.4299       0.389829E+10    8.39284       0.839284        42.1700       0.354990E+10   0.328246E+09   0.201511E+08   0.669636E+08   -143.637        234.531        50.3368               0           1       37328
          22    9.44626        8.92303        10.1027        80.0567        94.3502       -44.8653       0.228845E+10    6.98776       0.698776        36.0400       0.205952E+10   0.213669E+09   0.152679E+08   0.511109E+08    151.588        65.6897        186.320               0           1       31218
          23    8.35565        9.26995        9.74207        138.272        59.2042       -32.8077       0.352618E+10    7.82488       0.782488        38.3900       0.315240E+10   0.358113E+09   0.156613E+08   0.513436E+08   -113.349        149.966        98.7082               0           1       29759
          24    8.65333        8.64428        9.67762        117.701        176.965       -53.6679       0.354661E+10    7.76026       0.776026        38.0800       0.317569E+10   0.353551E+09   0.173759E+08   0.313352E+08   -41.0351       -2.02601        83.0516               0           1       28083
          25    8.97591        8.76058        9.60728        58.3657        106.148        78.2601       0.954513E+10    7.26178       0.726178        39.1000       0.813471E+10   0.123979E+10   0.170634E+09   0.254552E+09    37.3281        26.2263        65.9642               0           1       27937
          26    8.70691        8.70096        9.65812        162.324        63.6576       -1.95612       0.189178E+10    5.94415       0.594415        29.6000       0.158903E+10   0.292074E+09   0.106720E+08   0.399843E+08   -28.0191        11.7431        78.3146               0           1       27282
          27    9.19890        8.79247        9.58796        64.6900        36.1361        10.5260       0.220881E+10    6.81407       0.681407        34.6900       0.211032E+10   0.898250E+08   0.866785E+07   0.426890E+08    91.4982        33.9732        61.2709               0           1       26027
          28    8.39585        9.33693        9.67540        103.853        97.4429        22.5364       0.474216E+10    7.06744       0.706744        35.4100       0.407103E+10   0.649438E+09   0.216926E+08   0.542816E+08   -103.584        166.237        82.5123               0           1       25176
          29    8.83592        9.60998        8.71930        94.4770        83.2651        71.8772       0.279516E+10    7.53240       0.753240        37.3300       0.261854E+10   0.163213E+09   0.134075E+08   0.705740E+08    3.32080        232.568       -149.749               0           1       24573
          30    9.50795        8.94310        9.72961        48.1770        59.9991        50.5944       0.306631E+10    6.41154       0.641154        34.2100       0.248337E+10   0.570935E+09   0.120015E+08   0.483988E+08    166.575        70.5652        95.6814               0           1       23209
          31    8.87322        8.73598        9.57444        125.275        84.3281       -145.277       0.252627E+10    6.01897       0.601897        31.5800       0.204830E+10   0.470668E+09   0.730167E+07   0.570333E+08    12.3820        20.2503        57.9865               0           1       22035
          32    9.35559        8.95083        9.48111       -11.9220        143.890        132.465       0.206578E+10    6.36806       0.636805        31.3800       0.181467E+10   0.242997E+09   0.811320E+07   0.293440E+08    129.562        72.4431        35.3142               0           1       21922
          33    9.31829        8.86145        9.88487        60.7438        147.708       -30.3776       0.160317E+10    6.20724       0.620724        32.8800       0.146032E+10   0.132055E+09   0.107921E+08   0.493886E+08    120.501        50.7303        133.398               0           1       21613
          34    9.39225        9.13078        9.54161        99.4143       -6.89992        26.9705       0.238302E+10    7.28267       0.728267        36.9700       0.230420E+10   0.720342E+08   0.678174E+07   0.459086E+08    138.468        116.158        50.0112               0           1       20838
          35    8.06094        9.75703        9.90678        96.9630       -22.4745       -23.9281       0.302343E+10    7.74350       0.774350        38.4600       0.276246E+10   0.253647E+09   0.732136E+07   0.195898E+08   -184.942        268.290        138.721               0           1       20320
          36    9.00091        8.75087        9.60887        126.620        89.2796      -0.291375       0.754701E+10    6.49268       0.649268        35.2800       0.646771E+10   0.920805E+09   0.158499E+09   0.169448E+09    43.4012        23.8675        66.3505               0           1       20280
          37    8.97494        8.57026        8.73843        36.6840        139.303        124.154       0.182954E+10    6.52766       0.652766        33.1000       0.171299E+10   0.110637E+09   0.590867E+07   0.497989E+08    37.0924       -20.0074       -145.102               0           1       19956
          38    9.54640        8.97580        10.1320        106.451        43.8757       -25.3914       0.192860E+10    6.49972       0.649972        31.9200       0.175673E+10   0.165232E+09   0.664161E+07   0.257974E+08    175.915        78.5089        193.425               0           1       19797
          39    9.07345        8.48463        8.49805        47.7733        133.626        111.018       0.356582E+10    8.03550       0.803550        40.3300       0.311323E+10   0.440252E+09   0.123331E+08   0.245590E+08    61.0231       -40.8092       -203.497               0           1       19357
          40    8.55310        9.32511        9.69923        66.0036        49.6041        30.7425       0.155942E+10    6.19946       0.619946        30.4200       0.149616E+10   0.556298E+08   0.762664E+07   0.407766E+08   -65.3836        163.366        88.3013               0           1       18603
          41    8.90766        8.75025        9.50193      -0.208690        175.984        60.6498       0.166391E+10    5.61644       0.561644        27.5800       0.157299E+10   0.880946E+08   0.282762E+07   0.270713E+08    20.7483        23.7169        40.3719               0           1       18320
          42    8.47340        9.17548        9.71281        124.580        79.6896        62.8690       0.147851E+10    5.93006       0.593006        30.9000       0.136887E+10   0.104776E+09   0.485989E+07   0.380497E+08   -84.7448        127.016        91.6002               0           1       17825
          43    8.75144        8.67673        9.14679        118.135        133.790        141.509       0.200994E+10    6.11979       0.611978        31.9300       0.171939E+10   0.262556E+09   0.279887E+08   0.386155E+08   -17.2016        5.85695       -45.9009               0           1       17281
          44    9.41932        8.12340        9.85172        49.5564        174.858        18.2015       0.168963E+10    6.39794       0.639793        33.3400       0.155860E+10   0.127406E+09   0.362932E+07   0.144840E+08    145.044       -128.561        125.345               0           1       17248
          45    7.91705        9.66894        9.72921        132.202       -21.5999        6.12417       0.299681E+10    7.70609       0.770609        38.1400       0.278958E+10   0.199766E+09   0.746591E+07   0.349960E+08   -219.897        246.891        95.5842               0           1       17131
          46    9.27425        9.32342        8.57489        81.9142        85.7167        107.273       0.159156E+10    6.32311       0.632311        31.3700       0.151370E+10   0.745539E+08   0.330079E+07   0.658906E+08    109.803        162.955       -184.830               0           1       16249
          47    9.85495        9.13215        10.2042        60.0748        123.206       -13.4465       0.136953E+10    5.93710       0.593710        29.4400       0.129230E+10   0.725854E+08   0.463918E+07   0.602886E+08    250.870        116.490        210.969               0           1       16010
          48    8.81427        8.76231        9.56426        162.987        112.996       -89.0567       0.138808E+10    5.68592       0.568592        29.6600       0.126279E+10   0.120436E+09   0.485287E+07   0.350766E+08   -1.93855        26.6466        55.5135               0           1       15990
          49    8.13503        9.48689        9.68191        117.424       -4.33322        72.1524       0.267936E+10    5.85985       0.585985        30.3200       0.245644E+10   0.216654E+09   0.626521E+07   0.217485E+08   -166.944        202.666        84.0938               0           1       15731
          50    8.61881        8.75988        9.74494        95.2464        96.9714       -95.6724       0.141847E+10    5.50542       0.550543        27.1300       0.126737E+10   0.148450E+09   0.265690E+07   0.355892E+08   -49.4209        26.0563        99.4054               0           1       15456
          51    8.52287        9.04879        9.69850        101.589        68.9396        16.0765       0.175368E+10    6.20602       0.620602        30.7400       0.159502E+10   0.155477E+09   0.318350E+07   0.231297E+08   -72.7273        96.2401        88.1239               0           1       14942
          52    8.82351        8.65022        9.33156        128.256        26.1811        58.3170       0.166511E+11    3.04872       0.304872        27.5000       0.108215E+11   0.216268E+10   0.366690E+10   0.531200E+10   0.306087      -0.583023       -1.01543               0           0       14890
          53    7.90506        9.47837        9.85358        127.859        41.9962        10.6437       0.257430E+10    7.10242       0.710242        34.8500       0.225415E+10   0.311687E+09   0.846699E+07   0.183464E+08   -222.810        200.596        125.797               0           1       14632
          54    9.31512        8.94150        9.54296        20.3145        107.129        12.1049       0.188827E+10    5.32493       0.532493        29.3900       0.169795E+10   0.183264E+09   0.705250E+07   0.510990E+08    119.731        70.1765        50.3392               0           1       14579
          55    8.01812        9.50514        9.76663        135.741        42.7096        5.44007       0.146410E+10    5.82852       0.582852        29.2500       0.121623E+10   0.242264E+09   0.560591E+07   0.153989E+08   -195.344        207.100        104.675               0           1       14116
          56    9.51375        8.91770        9.68683        8.13066        43.8295        44.9572       0.281759E+10    6.20602       0.620602        31.7700       0.259121E+10   0.214867E+09   0.115034E+08   0.315415E+08    167.984        64.3949        85.2890               0           1       13278
          57    8.44022        9.80754        9.38692        83.8032        7.01434        47.5846       0.119054E+10    5.69296       0.569296        28.6400       0.111497E+10   0.730338E+08   0.253534E+07   0.254022E+08   -92.8051        280.560        12.4330               0           1       13187
          58    8.71636        8.71008        9.03082        118.466       -43.0195        73.1704       0.358016E+10    4.56312       0.456312        24.4600       0.325917E+10   0.255617E+09   0.653719E+08   0.240937E+09   -25.7235        13.9585       -74.0731               0           1       13136
          59    9.51930        8.87876        9.75148        43.8998        201.501       -24.5203       0.296129E+10    4.84977       0.484977        26.2800       0.271476E+10   0.206197E+09   0.403324E+08   0.129290E+09    169.332        54.9354        100.994               0           1       12986
          60    9.25048        8.87337        9.56421        97.2116        11.6023       -1.21136       0.892105E+09    4.97390       0.497390        25.6000       0.864387E+09   0.259193E+08   0.179839E+07   0.200495E+08    104.028        53.6260        55.5014               0           1       12818
          61    8.31815        9.06920        9.84625        121.815        59.8808       -15.3143       0.150143E+10    6.10861       0.610861        31.7100       0.132996E+10   0.166922E+09   0.454617E+07   0.133307E+08   -122.459        101.198        124.016               0           1       12223
          62    9.07779        8.46401        8.46592        24.6428        169.379        133.217       0.110467E+10    5.19327       0.519327        26.8500       0.102792E+10   0.718363E+08   0.491246E+07   0.276957E+08    62.0774       -45.8183       -211.302               0           1       12173
