#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    9.37536        9.38652        9.73612        34.2276        54.8139        24.1855       0.220225E+12    78.9679        7.89679        276.170       0.183221E+12   0.407921E+08   0.369635E+11   0.178338E+11    0.00000        0.00000        0.00000               0           0     5897267
           2    9.67753        9.77737        9.86791        14.2658        28.4929        4.48694       0.600280E+12    93.2203        9.32203        141.260       0.527331E+12   0.558787E+11   0.170711E+11   0.549998E+10    177.023        228.976        77.2079               0           1     3766585
           3    9.76556        9.68518        9.87868        113.350        152.880        58.2283       0.227456E+12    58.0645        5.80645        86.9200       0.205743E+12   0.178504E+11   0.386299E+10   0.119353E+10    228.595        174.967        83.5175               0           1     1135866
           4    9.80380        9.66180        9.85366        277.192        172.049        17.8274       0.911277E+11    32.5224        3.25224        59.2200       0.822024E+11   0.593864E+10   0.298669E+10   0.898085E+09    250.998        161.270        68.8597               0           1      210073
           5    9.69242        9.69610        9.87879        381.627        61.9764        37.7226       0.587353E+11    31.9524        3.19524        50.7400       0.539001E+11   0.428224E+10   0.552881E+09   0.176577E+09    185.747        181.365        83.5819               0           1      183279
           6    9.70672        9.77707        9.85812        383.868        180.474        111.970       0.209710E+12    34.8125        3.48125        66.5400       0.170731E+12   0.256280E+11   0.133509E+11   0.396616E+10    194.124        228.800        71.4726               0           1      141574
           7    9.76857        9.81649        10.0980        161.519        76.4853        162.498       0.179782E+11    27.9376        2.79376        42.0400       0.166979E+11   0.120689E+10   0.734284E+08   0.541142E+08    230.358        251.894        212.004               0           1      123601
           8    9.92192        10.0063        9.82679       -23.5457        120.843        36.5556       0.797010E+10    23.6545        2.36545        38.4100       0.710171E+10   0.807571E+09   0.608168E+08   0.372741E+08    320.197        363.069        53.1182               0           1      108269
           9    9.67549        10.0816        9.76911        156.090        174.875        26.3294       0.330699E+10    18.3433        1.83433        30.0600       0.329839E+10   0.125241E+07   0.734909E+07   0.941345E+07    175.828        407.177        19.3269               0           1       63470
          10    9.74939        9.85679        9.66625        116.749        160.508        292.461       0.596178E+10    22.2725        2.22725        32.3500       0.579967E+10   0.156853E+09   0.525359E+07   0.738691E+07    219.122        275.503       -40.9327               0           1       55284
          11    9.75740        9.70215        10.3221        157.650        153.180        63.9189       0.366124E+10    18.9444        1.89444        33.4100       0.335201E+10   0.266725E+09   0.425041E+08   0.403456E+08    223.815        184.909        343.291               0           1       52034
          12    9.49613        9.97855        9.93032        255.124       -18.4430        104.901       0.455927E+10    19.3498        1.93498        32.1800       0.391295E+10   0.639504E+09   0.681241E+07   0.101158E+08    70.7520        346.835        113.770               0           1       35146
          13    9.71106        9.72185        9.86837        473.964        24.0927       -2.56571       0.177692E+11    17.3046        1.73046        35.6900       0.154449E+11   0.216017E+10   0.164165E+09   0.427695E+08    196.667        196.450        77.4774               0           1       33376
          14    9.63939        9.81246        9.83399      -0.613349       -82.6423        95.0660       0.675064E+10    14.6296        1.46296        35.7800       0.622748E+10   0.381077E+09   0.142079E+09   0.181450E+09    154.680        249.533        57.3362               0           1       31843
          15    9.80621        9.65542        9.84260        341.696        43.4314        67.8908       0.194867E+11    13.0361        1.30361        24.6900       0.168623E+11   0.171417E+10   0.910151E+09   0.238007E+09    252.409        157.533        62.3803               0           1       29679
          16    9.79375        9.94639        10.1891        18.3969        51.3064        99.1783       0.239372E+10    17.3239        1.73239        27.3100       0.237279E+10   0.187940E+08   0.214345E+07   0.476184E+07    245.110        327.995        265.386               0           1       29574
          17    9.90457        9.73580        10.1293        35.6757        296.247       -14.2400       0.268915E+10    17.2683        1.72683        29.5900       0.257730E+10   0.107662E+09   0.419001E+07   0.509406E+07    310.033        204.622        230.358               0           1       29020
          18    9.61370        9.69776        9.87348        154.489        116.435       -60.6482       0.512154E+10    16.4803        1.64803        32.5100       0.503596E+10   0.541482E+08   0.314258E+08   0.316853E+08    139.629        182.337        80.4711               0           1       28681
          19    9.90104        9.65595        9.95811       -8.94484        15.6026        76.2965       0.172392E+10    14.0971        1.40971        22.0400       0.172239E+10   0.126003E+07    273420.        404222.        307.965        157.843        130.051               0           1       27143
          20    9.76778        9.56663        9.92514        296.062        73.3856       -67.6334       0.231119E+10    15.3034        1.53034        27.1800       0.226512E+10   0.371732E+08   0.889642E+07   0.114394E+08    229.896        105.516        110.736               0           1       26151
          21    9.83396        9.65992        9.88441        154.601        143.522        71.0044       0.258519E+10    11.0583        1.10583        15.7300       0.254824E+10   0.618710E+07   0.307664E+08   0.165205E+08    268.667        160.169        86.8743               0           1       25150
          22    9.88258        9.89876        9.91216        120.570       -29.1412        205.971       0.172479E+10    13.6360        1.36360        21.9600       0.160832E+10   0.114991E+09   0.148050E+07   0.486950E+07    297.150        300.091        103.131               0           1       24072
          23    9.58782        10.0889        9.72487        3.65999        117.814       -20.2897       0.136519E+10    14.0479        1.40479        26.6100       0.135815E+10    719582.       0.632297E+07   0.861906E+07    124.468        411.500       -6.59071               0           1       22404
          24    10.0023        9.56463        10.1287        50.7614        290.559       0.118926       0.294160E+10    18.2191        1.82191        29.3400       0.284549E+10   0.929516E+08   0.315900E+07   0.486814E+07    367.275        104.344        230.013               0           1       21768
          25    10.0058        9.74812        9.97120        58.0674       -29.5108        54.2749       0.185081E+10    15.1376        1.51376        21.0100       0.184918E+10    991472.        643932.       0.107249E+07    369.314        211.840        137.719               0           1       21748
          26    9.76482        9.67674        9.89499        47.5415       -168.604       -18.3512       0.270753E+11    14.1088        1.41088        23.8400       0.219698E+11   0.321608E+10   0.188944E+10   0.643660E+09    228.162        170.023        93.0725               0           1       21029
          27    9.67754        9.77739        9.86790        12.0375        27.1662      -0.324740       0.396868E+11    8.14378       0.814378        23.9300       0.294061E+11   0.109492E+10   0.918576E+10   0.290614E+10    177.029        228.988        77.2021               0           1       20165
          28    9.46354        9.85040        10.0024        145.060        183.533        22.8020       0.144880E+10    12.5188        1.25188        30.3000       0.136820E+10   0.131314E+08   0.674626E+08   0.922496E+08    51.6594        271.760        155.992               0           1       19744
          29    10.0321        9.76986        9.83212        77.3709       -14.0062       -12.3886       0.158612E+10    14.5400        1.45400        20.4900       0.158471E+10   0.130484E+07    111361.        109362.        384.763        224.576        56.2407               0           1       19353
          30    9.74588        9.64461        9.91755       -91.0261        85.6954       -30.6619       0.156056E+10    12.4626        1.24626        22.0100       0.155661E+10   0.241706E+07   0.153151E+07   0.183201E+07    217.066        151.200        106.289               0           1       18808
          31    9.76815        10.0189        9.91893       -5.61823        231.214       -95.1197       0.106900E+10    12.6237        1.26237        18.8000       0.105419E+10   0.145084E+08    292098.        235952.        230.112        370.456        107.098               0           1       16668
          32    9.75698        9.61027        9.78308        65.0400        238.285        136.825       0.138657E+10    14.1012        1.41012        25.8200       0.137544E+10   0.371811E+07   0.741342E+07   0.109000E+08    223.569        131.082        27.5111               0           1       16411
