#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    9.13316        8.18244        9.03199        13.4915        73.6443        36.5579       0.489136E+09    1.51376       0.151376        39.8100       0.455597E+09   0.306397E+08   0.289931E+07   0.214365E+10    0.00000        0.00000        0.00000               0           0        4740
           2    8.93645        8.16657        9.61314        35.4518        86.3999        1.51888       0.301050E+09    1.28934       0.128934        32.4700       0.278929E+09   0.208314E+08   0.128992E+07   0.115064E+10   -16.8690       -1.36095        49.8371               0           1        2639
           3    8.24207        8.06505        9.12580        54.6873        59.8744        45.8315       0.136251E+09   0.995024       0.995020E-01    23.3500       0.129363E+09   0.661153E+07    276128.       0.608692E+09   -76.4162       -10.0669        8.04476               0           1        1610
           4    7.99454        9.38938        9.52966        53.4278        13.1873        1.67286       0.135922E+09   0.997082       0.997080E-01    23.3400       0.130610E+09   0.490102E+07    410968.       0.124630E+09   -97.6434        103.502        42.6781               0           1        1564
           5    7.87446        8.29639        9.63378        63.1602        54.7108        21.9846       0.178285E+09    1.07452       0.107452        26.5300       0.159875E+09   0.176950E+08    715169.       0.409506E+09   -107.941        9.77189        51.6071               0           1        1238
           6    8.67547        7.82538        8.91027        27.7946        91.8020        44.7112       0.135216E+09   0.993051       0.993050E-01    25.3700       0.126453E+09   0.822605E+07    536727.       0.284194E+09   -39.2496       -30.6200       -10.4382               0           1         849
           7    8.15414        7.88771        8.94813        54.4105        92.1210        57.0282       0.242907E+09    1.16756       0.116756        31.0300       0.208760E+09   0.329874E+08   0.115926E+07   0.439305E+09   -83.9568       -25.2748       -7.19149               0           1         734
           8    8.71698        7.74891        8.91221        3.52961        98.9530        45.5595       0.138430E+09   0.996310       0.996310E-01    24.2100       0.129862E+09   0.816622E+07    401390.       0.275670E+09   -35.6899       -37.1778       -10.2718               0           1         720
           9    8.19864        8.18015        9.33856        56.9292        49.7859        30.1039       0.151373E+09    1.02281       0.102281        26.2700       0.138841E+09   0.119442E+08    588061.       0.494633E+09   -80.1406      -0.196381        26.2902               0           1         693
          10    8.84945        8.32990        10.0805        50.8216        58.8591       -10.4973       0.158541E+09    1.04742       0.104742        24.6900       0.150647E+09   0.752109E+07    373049.       0.211157E+09   -24.3298        12.6456        89.9159               0           1         680
          11    8.21847        7.91223        8.88947        50.1925        75.3006        63.5765       0.110434E+09   0.934909       0.934910E-01    22.8200       0.106500E+09   0.370444E+07    229251.       0.271409E+09   -78.4401       -23.1721       -12.2219               0           1         461
          12    8.17664        8.18664        9.33049        90.6384        39.5526        40.8952       0.126047E+09   0.940654       0.940650E-01    22.7600       0.111488E+09   0.143314E+08    227656.       0.465055E+08   -82.0273       0.360175        25.5981               0           1         297
