#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    8.58427        8.35806        9.21968        119.037        128.043        78.8775       0.271316E+11    12.2793        1.22793        90.3200       0.239576E+11   0.254035E+10   0.633700E+09   0.437079E+10    0.00000        0.00000        0.00000               0           0      254038
           2    8.60165        8.50487        9.49469        136.634        99.4465        40.8710       0.175660E+11    10.6597        1.06597        78.6800       0.159092E+11   0.141470E+10   0.242099E+09   0.199062E+10    3.22915        27.2768        51.0960               0           1      152268
           3    8.75152        8.35592        9.17423        11.8656        184.901        63.0178       0.101929E+11    8.86475       0.886475        67.3300       0.921307E+10   0.860562E+09   0.119258E+09   0.108773E+10    31.0745      -0.397605       -8.44446               0           1       86997
           4    8.53436        8.48720        8.81209        76.0826        72.3398        115.535       0.975010E+10    8.88761       0.888761        69.1000       0.908032E+10   0.590836E+09   0.789346E+08   0.834515E+09   -9.27311        23.9938       -75.7289               0           1       68238
           5    9.10282        8.61072        9.64235        41.1062        118.785        11.6400       0.484117E+10    6.99266       0.699266        51.4000       0.455133E+10   0.241870E+09   0.479740E+08   0.761212E+09    96.3449        46.9434        78.5307               0           1       58796
           6    9.50633        8.34081        9.71751        20.6702        158.339        30.5357       0.672611E+10    7.75833       0.775833        56.8500       0.618089E+10   0.500127E+09   0.450938E+08   0.469469E+09    171.316       -3.20499        92.4952               0           1       56182
           7    8.89610        8.43802        9.17634       -1.28470        115.360        89.0883       0.507618E+10    6.87672       0.687672        52.2300       0.467487E+10   0.348967E+09   0.523341E+08   0.585296E+09    57.9370        14.8563       -8.05243               0           1       55324
           8    9.18980        8.61981        9.28844        16.0666        123.277        79.0191       0.365398E+10    6.41520       0.641520        49.5500       0.349543E+10   0.118113E+09   0.404355E+08   0.851003E+09    112.505        48.6323        12.7754               0           1       46408
           9    8.53840        8.36844        9.02561        125.524        112.227        102.837       0.451033E+10    6.61698       0.661698        48.5200       0.408491E+10   0.394671E+09   0.307474E+08   0.572822E+09   -8.52249        1.92857       -36.0576               0           1       43239
          10    8.86567        8.56323        9.72332        79.1878        90.6671       -65.9965       0.420093E+10    6.60639       0.660639        48.4400       0.382260E+10   0.344941E+09   0.333864E+08   0.319560E+09    52.2832        38.1199        93.5747               0           1       42273
          11    9.14716        8.65008        10.0378        88.9837        82.4934       -18.6197       0.303040E+10    5.92117       0.592117        43.3500       0.279057E+10   0.216759E+09   0.230717E+08   0.262775E+09    104.583        54.2564        152.011               0           1       36115
          12    9.41970        8.88780        9.48005        40.9597        92.4226        31.4715       0.402961E+10    6.53318       0.653318        48.5400       0.366579E+10   0.338786E+09   0.250344E+08   0.246494E+09    155.220        98.4239        48.3759               0           1       35951
          13    9.48359        8.66954        9.68962        57.8582        77.5117       -11.6087       0.648231E+10    6.36541       0.636541        47.8700       0.594694E+10   0.484882E+09   0.504911E+08   0.487754E+09    167.091        57.8720        87.3133               0           1       34536
