#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    9.91391        10.0367        10.1380       -25.2902        29.3766        66.7647       0.227287E+12    92.0532        5.22795        125.315       0.204193E+12   0.167944E+11   0.629937E+10   0.191297E+11    0.00000        0.00000        0.00000               0           0     2590832
           2    9.89313        10.1647        9.96906       0.897161       -48.4412        120.991       0.593207E+10    26.2747        3.41127        31.1148       0.547590E+10   0.444996E+09   0.111778E+08   0.438554E+08   -14.8602        91.4564       -120.760               0           1       47949
           3    9.87299        10.1456        10.0430       -43.3967        9.67718        31.8602       0.146490E+10    16.7920       0.436787        26.1216       0.144760E+10   0.118847E+08   0.541408E+07   0.673371E+08   -29.2579        77.8544       -67.8866               0           1       28577
           4    9.93573        10.1413        9.91154       -54.2784       -5.52043        152.213       0.115654E+10    15.4926        2.20555        17.8450       0.108512E+10   0.713021E+08    119505.       0.246495E+07    15.5973        74.7530       -161.880               0           1       11176
           5    9.87652        9.83180        10.2300        22.9291        3.54062        94.2290       0.200896E+09    8.73600       0.650498        11.6209       0.200613E+09    283818.        0.00000        0.00000       -26.7334       -146.522        65.8190               1           1        8327
           6    9.91669        9.91315        10.3284        8.31914        52.2676        90.0253       0.596488E+09    12.5989       0.242316        18.3323       0.588535E+09   0.719797E+07    754795.       0.154783E+08    1.98470       -88.3585        136.185               0           1        7791
           7    9.89839        10.0206        10.1165       -140.796       -99.7557        244.258       0.549407E+10    11.0024       0.405530E-01    16.4599       0.519252E+10   0.228223E+09   0.733270E+08   0.147193E+09   -11.0989       -11.5100       -15.3314               0           1        7352
           8    9.74445        10.0776        10.3273       -38.8852        48.1367        72.3498       0.257701E+09    9.61957       0.349586        15.3151       0.257396E+09    81853.4        222967.       0.309138E+07   -121.155        29.2014        135.353               0           1        7091
           9    9.92137        9.99915        10.1268       -41.3897        138.417        147.119       0.210410E+10    9.71726       0.146250        15.6605       0.202237E+10   0.358943E+08   0.458329E+08   0.181284E+09    5.33138       -26.8735       -7.94595               0           1        6686
          10    10.0292        9.99196        10.2579        12.4936        16.0608        100.833       0.117151E+09    7.08499        1.90846        9.06255       0.117142E+09    8829.93        0.00000        0.00000        82.4051       -32.0154        85.7589               1           1        6041
          11    9.89264        10.2285        10.0352       -60.8924        62.5337       -12.8144       0.106323E+09    6.96787       0.395036        10.0066       0.106084E+09    148422.        89723.4        963113.       -15.2034        137.127       -73.5004               0           1        5651
          12    9.85867        10.0625        10.0783       -60.3042       -21.3261        214.218       0.625532E+09    10.8182       0.665500        13.8231       0.624867E+09    585187.        79317.4       0.115479E+07   -39.4917        18.4035       -42.6832               0           1        4685
          13    9.75953        10.0253        10.1528        5.63971        67.4093        70.2189       0.218237E+09    9.18968       0.174098        13.9872       0.217989E+09    30222.8        218267.       0.341819E+07   -110.374       -8.17902        10.5948               0           1        4192
          14    9.89745        10.2217        9.98381        23.3475       -59.1853        87.7776       0.297187E+09    10.0869       0.670068        13.2295       0.294060E+09   0.304532E+07    82027.0        904360.       -11.7709        132.264       -110.213               0           1        3590
          15    9.84914        10.1747        10.0548       -101.504        5.23747        87.3416       0.169666E+09    8.02166       0.141962        11.9745       0.168521E+09   0.108485E+07    60308.8        621508.       -46.3080        98.6409       -59.4659               0           1        3473
          16    10.0037        10.0817        10.2616       -26.2529        66.9744        30.0320       0.251520E+09    9.40841       0.784030E-01    15.2487       0.250745E+09    131858.        643719.       0.114109E+08    64.2261        32.1577        88.4107               0           1        3064
          17    9.74234        10.0737        10.2159       -40.7033        67.5270        57.2662       0.135431E+09    7.69451       0.406629        11.4173       0.135183E+09    14235.0        233768.       0.346748E+07   -122.662        26.4546        55.6996               0           1        3054
          18    9.80871        10.0558        10.2737       -62.0147        62.9769        154.359       0.128771E+09    7.29012        1.11126        9.61440       0.128615E+09    156273.        0.00000        0.00000       -75.2106        13.6091        97.0308               1           1        2984
          19    9.85823        10.0567        10.0653       -37.1236       -17.8900        213.212       0.461776E+09    9.41366       0.593317        10.8435       0.460253E+09   0.149711E+07    25423.6        139812.       -39.8091        14.2933       -51.9711               0           1        2936
          20    9.97955        10.1182        10.1362       -114.056       -6.32212        15.9543       0.270046E+09    9.28451       0.249658        16.0206       0.268536E+09   0.112024E+07    389583.       0.105530E+08    46.9272        58.2298       -1.26689               0           1        2898
          21    9.92725        10.0782        10.0437        8.50968        82.1664        45.8583       0.181977E+09    7.52808       0.121310        11.5067       0.175754E+09   0.584350E+07    379530.       0.138913E+08    9.53457        29.6361       -67.4262               0           1        2886
          22    9.77753        10.1076        10.3706       -30.7674        47.6227        120.675       0.132035E+09    7.79319       0.224275        10.9761       0.131940E+09    13997.7        80522.0       0.131236E+07   -97.5020        50.6721        166.344               0           1        2836
          23    9.99194        9.94834        10.1353       -16.1696       -65.9182        100.526       0.228742E+09    8.71808       0.551087        11.3113       0.223309E+09   0.530748E+07    125109.       0.258462E+07    55.7854       -63.1994       -1.87102               0           1        2808
          24    9.86343        10.0856        10.2363       -63.5787        24.2369        187.731       0.164595E+09    7.57440       0.448001        9.24963       0.164198E+09    243714.        153351.       0.257752E+07   -36.0892        34.9060        70.3410               0           1        2681
          25    9.85641        10.0795        10.3874       -11.6361        35.5652        117.602       0.130568E+09    7.49075       0.430423        10.4205       0.130527E+09    16000.6        24488.5        851548.       -41.1067        30.5755        178.338               0           1        2639
          26    10.0049        9.94513        10.0531       -86.6940        123.773        92.3202       0.187387E+09    8.69192       0.261957        12.2834       0.187227E+09    129937.        30164.6        719036.        65.0747       -65.4951       -60.7007               0           1        2570
          27    9.84638        9.83911        10.1337        34.9341        106.304        99.8694       0.351522E+09    10.6719        4.26944        11.3948       0.351176E+09    346036.        0.00000        0.00000       -48.2770       -141.295       -3.04426               1           1        2415
          28    9.99956        10.1403        10.0556       -59.9631       -46.7162        155.655       0.188441E+09    8.43692       0.420707        10.4487       0.181657E+09   0.677054E+07    13388.0        101787.        61.2319        74.0216       -58.9190               0           1        2341
          29    9.92217        10.0672        10.1605       -96.4863        227.276        4.27946       0.830379E+09    6.26723       0.322034        8.97163       0.652139E+09   0.172958E+09   0.528149E+07   0.125285E+08    5.90262        21.7559        16.1000               0           1        2032
          30    9.92118        10.0276        10.3885       -103.258        23.8549        7.46781       0.120240E+09    7.38349       0.445884        9.39517       0.119220E+09   0.101934E+07    0.00000        0.00000        5.19482       -6.51748        179.153               1           1        2028
          31    9.92247        10.0007        9.95467       -68.7080       -27.9294        56.6929       0.142787E+09    7.99316       0.307097        11.1468       0.142083E+09    703972.        0.00000        0.00000        6.12354       -25.7968       -131.042               1           1        2025
          32    9.91915        10.0448        10.1092        23.6515       -32.4886       -80.2968       0.164288E+10    6.74776       0.327489        12.2156       0.144663E+10   0.162390E+09   0.338660E+08   0.869188E+08    3.74419        5.76249       -20.5512               0           1        1926
          33    9.95760        10.2141        10.0872       -34.9990        78.5375       -13.9887       0.115958E+09    7.26744       0.445556        9.52347       0.115812E+09    146078.        0.00000        0.00000        31.2397        126.823       -36.2866               1           1        1841
          34    9.77547        10.1701        9.88721       -5.15563       -49.5558        104.852       0.128863E+09    7.80940       0.298204        10.2171       0.128698E+09    165273.        0.00000        0.00000       -98.9776        95.3135       -179.274               1           1        1705
          35    9.81375        10.2112        9.98812      -0.980858       -59.4841        126.173       0.162986E+09    8.27928       0.224997        11.3401       0.162452E+09    420007.        114186.       0.104228E+07   -71.6122        124.707       -107.127               0           1        1672
          36    10.1253        10.2647        10.0451       -84.4372       -42.6808        71.1497       0.215421E+09    9.28998        1.14580        10.5118       0.215079E+09    342594.        0.00000        0.00000        151.125        162.977       -66.4195               1           1        1564
          37    10.0028        9.90019        9.90904       -61.8904        58.7411        122.956       0.113184E+09    7.50184       0.891978        8.94478       0.113151E+09    32933.2        0.00000        0.00000        63.5740       -97.6242       -163.668               1           1        1500
          38    9.87799        9.91931        10.2389        37.6094        136.812        66.2785       0.130513E+09    7.65964       0.900791        9.25868       0.130111E+09    401793.        0.00000        0.00000       -25.6810       -83.9608        72.1327               1           1        1263
          39    9.82993        9.76141        9.99883        25.1585        72.9733        106.341       0.106040E+09    7.13899        2.57614        7.99700       0.105918E+09    121431.        0.00000        0.00000       -60.0443       -196.849       -99.4695               1           1        1127
          40    9.88339        9.83116        10.0828        14.9229        106.599        115.963       0.135266E+09    7.76435        2.03737        8.36868       0.135100E+09    166020.        0.00000        0.00000       -21.8224       -146.979       -39.4302               1           1        1008
