#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    10.0048        9.77590        10.0449       -35.3148        73.4397       -31.8142       0.632286E+12    133.249        3.84687        273.565       0.572007E+12   0.893366E+10   0.513446E+11   0.302660E+11    0.00000        0.00000        0.00000               0           0    11530823
           2    10.0072        9.75613        10.0505        111.382       -27.6107        39.8795       0.227258E+12    22.6657       0.215970E-01    57.8250       0.176511E+12   0.228507E+10   0.484620E+11   0.281074E+11    1.68364       -14.1249        4.01159               0           0      192528
           3    10.2315        9.83537        9.89648       -65.9926        84.5583       -15.4143       0.120949E+11    33.1156       0.614212        50.0561       0.118207E+11   0.387023E+08   0.235496E+09   0.142039E+09    161.913        42.4796       -106.009               0           1      119749
           4    10.1153        10.0859        9.76196        89.8417        118.400       -144.666       0.553864E+10    26.7776        1.68507        35.7032       0.552286E+10    306577.       0.154704E+08   0.223546E+08    78.9240        221.413       -202.100               0           1       52244
           5    9.75192        9.90790        9.95051       -12.5422       -14.3924       -43.3869       0.292837E+10    21.2506       0.246620        35.6522       0.279513E+10   0.521851E+07   0.128019E+09   0.102672E+09   -180.667        94.2910       -67.4092               0           1       42519
           6    9.91358        9.86837        9.90197       -61.9742        25.0652       -46.5430       0.341125E+09    9.52845       0.592110E-01    17.7420       0.286494E+09    67550.7       0.545636E+08   0.523207E+08   -65.1905        66.0513       -102.085               0           1       19983
           7    10.2004        9.73829        9.87977        15.9929       -11.3251       -6.08953       0.138062E+10    17.0173       0.581454        25.1579       0.137901E+10    17006.8       0.159264E+07   0.381962E+07    139.680       -26.8654       -117.946               0           1       19856
           8    9.97331        9.70343        10.0242        74.5889       -21.9267       -194.925       0.159924E+10    12.4300       0.678340E-01    18.2727       0.156917E+10   0.272527E+08   0.282464E+07   0.318931E+07   -22.5209       -51.7679       -14.7720               0           1       14297
           9    9.94893        9.80889        10.0948        36.0227        182.854       -76.0072       0.624020E+09    9.05290        1.10913        11.1858       0.623289E+09    16961.1        713767.        737294.       -39.9416        23.5631        35.6465               0           1       11792
          10    9.96747        9.73845        10.0362       -221.743        127.268       -83.1736       0.185531E+10    9.49825       0.326064        15.4049       0.177278E+10   0.686499E+08   0.138734E+08   0.973506E+07   -26.6997       -26.7547       -6.21311               0           1        6930
          11    10.0084        9.84314        10.0281       -249.477        175.300       -60.5303       0.124430E+10    9.42320       0.286986        16.3584       0.118132E+10   0.561835E+08   0.679075E+07   0.320685E+07    2.51368        48.0313       -11.9669               0           1        5944
          12    9.86133        9.92367        9.94905       -65.9359        52.4337        52.4456       0.579262E+09    11.4900       0.299763        20.2877       0.569081E+09   0.445269E+07   0.572848E+07   0.877173E+07   -102.517        105.554       -68.4528               0           1        5743
          13    10.0770        10.0429        10.2218       -61.1414        84.2456        19.3610       0.402749E+09    11.0943       0.986144        14.6663       0.402555E+09    146064.        47487.1        92221.6        51.5707        190.742        126.374               0           1        5572
          14    9.69584        9.95189        10.3153       -46.9167        73.5129       -44.9801       0.409974E+09    11.5552       0.241240        15.8549       0.409954E+09    19254.4        0.00000        0.00000       -220.727        125.712        193.165               1           1        4884
          15    10.2063        9.89197        9.71446        71.0817        32.8276       -107.033       0.381336E+09    11.1006       0.935289        15.8383       0.380939E+09    1124.54        395958.       0.100415E+07    143.876        82.9070       -236.026               0           1        4855
          16    9.84210        9.92964        9.89354       -73.3927       -95.4596       -94.8867       0.765507E+09    13.0763       0.143632        20.3783       0.763375E+09   0.124984E+07    882164.       0.114443E+07   -116.247        109.818       -108.104               0           1        4828
          17    10.1885        9.98131        10.0548       -67.8947        25.4424       -101.309       0.407796E+09    10.5159       0.233280        14.3705       0.407793E+09    3367.68        0.00000        0.00000        131.158        146.725        7.06172               1           1        4670
          18    10.0805        9.84473        10.0316       -180.258       -50.5371        10.5864       0.700747E+09    8.92659       0.437699        11.6061       0.692626E+09    939225.       0.718156E+07   0.189186E+07    54.0115        49.1677       -9.46539               0           1        4491
          19    9.95719        9.75999        10.0304       -232.883        34.6768       -39.2908       0.946760E+09    7.10057       0.803176        11.8893       0.900061E+09   0.353550E+08   0.113443E+08   0.184229E+08   -34.0400       -11.3655       -10.3790               0           1        4268
          20    9.89791        10.0739        9.90931        90.3271        86.3193       -205.122       0.603370E+09    11.2268       0.831691        13.7351       0.591445E+09   0.116263E+08    297959.        227183.       -76.3803        212.841       -96.8397               0           1        4238
          21    9.93777        9.77798        10.1005       -35.7561       -54.8155       -207.939       0.652261E+09    9.66760       0.114712        14.0364       0.651888E+09    40807.5        332462.        280557.       -47.9127        1.48506        39.7066               0           1        4132
          22    10.0439        9.78113        10.0706        82.2000        323.565       -14.7369       0.281596E+10    9.26674       0.232800        18.7620       0.273387E+10   0.541088E+08   0.279746E+08   0.320564E+08    27.8962        3.73873        18.3843               0           1        4099
          23    10.0403        10.1395        10.0756        46.3312        10.9039       -41.4768       0.326391E+09    10.3720       0.284821        13.8673       0.325569E+09    821395.        0.00000        0.00000        25.3018        259.710        21.9438               1           1        3657
          24    10.0278        10.0358        9.83978       -38.7438       0.542070        58.6368       0.275838E+09    9.47123       0.617567        12.0825       0.275769E+09    68885.8        0.00000        0.00000        16.4164        185.635       -146.508               1           1        3476
          25    9.78648        9.82663        9.92162        11.4391       -58.4862       -58.0448       0.289756E+09    9.73467       0.188777        15.6736       0.288656E+09    844244.        256121.        529588.       -155.980        36.2386       -88.0493               0           1        3308
