#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    9.80768        10.1634        9.92412       -110.806        114.745       -11.5386       0.485393E+12    120.217        10.3850        204.025       0.446865E+12   0.101760E+11   0.283527E+11   0.158395E+11    0.00000        0.00000        0.00000               0           0     7285014
           2    9.47662        10.2524        9.68716       -121.472        75.3809        47.5593       0.159218E+11    37.4402        5.56468        46.5613       0.145865E+11   0.126406E+10   0.712408E+08   0.110212E+09   -236.535        63.5870       -169.306               0           1      148500
           3    9.44833        10.2307        10.1089       -73.8904        107.081       -10.8302       0.106704E+11    33.0570        2.97403        41.7564       0.102611E+11   0.360290E+09   0.490161E+08   0.571938E+08   -256.747        48.1020        132.037               0           1      119451
           4    10.0498        10.0760        9.81545       -184.703        187.144        21.9901       0.632962E+10    28.1245        1.59729        38.6548       0.608464E+10   0.135096E+09   0.109885E+09   0.679370E+08    173.018       -62.4388       -77.6459               0           1       63695
           5    9.55784        10.5819        9.95256       -114.301        160.685       -118.118       0.689972E+10    28.8012        8.29680        31.2099       0.676935E+10   0.113121E+09   0.172497E+08   0.791316E+07   -178.506        298.989        20.3192               0           1       44567
           6    9.44275        10.5198        10.1781       -113.796        143.775       -87.0770       0.284653E+10    21.2843        1.31222        28.8122       0.264947E+10   0.190758E+09   0.630080E+07   0.319704E+08   -260.733        254.649        181.494               0           1       37052
           7    9.62077        10.4945        9.97784       -130.848        217.821       -157.996       0.508018E+10    25.7483        18.5902        27.0361       0.492487E+10   0.148457E+09   0.685951E+07   0.342726E+07   -133.541        236.551        38.3814               0           1       35554
           8    9.34782        10.2365        9.97692       -164.124        83.0809       -102.021       0.247917E+10    20.7983        3.05933        24.6496       0.247430E+10   0.205136E+07   0.281407E+07   0.535273E+07   -328.560        52.1953        37.7212               0           1       32145
           9    9.35139        10.6020        10.1457       -85.1477        130.149        20.3420       0.301345E+10    21.8517        1.96516        27.3475       0.294869E+10   0.599668E+08   0.479338E+07   0.553271E+07   -326.013        313.340        158.303               0           1       27485
          10    9.69443        10.5399        9.76061       -76.0302        148.333       -94.7809       0.161245E+10    17.8929        1.97750        22.0287       0.160964E+10   0.244569E+07    361974.       0.129305E+07   -80.9168        268.976       -116.828               0           1       25337
          11    9.26218        10.4445        10.1094       -99.8050        72.8785        25.6458       0.169965E+10    18.2071        2.39200        21.3705       0.165728E+10   0.422039E+08    160611.        372658.       -389.749        200.830        132.378               0           1       20236
          12    9.80372        10.1461        9.99355        1.09167        57.6244        119.527       0.586858E+10    15.7791       0.248817        24.3810       0.569984E+10   0.615681E+08   0.107172E+09   0.586770E+08   -2.82436       -12.3806        49.6038               0           1       19710
          13    9.81628        10.2708        9.90071       -43.0849        227.201       -144.408       0.256094E+10    16.5156       0.829650E-01    31.3893       0.254348E+10   0.274276E+07   0.147189E+08   0.562703E+08    6.14528        76.7685       -16.7268               0           1       18423
          14    9.42877        10.6033        10.1192       -99.9961        121.413        24.3502       0.138073E+10    16.8099        1.46081        21.5951       0.137893E+10   0.130142E+07    499376.       0.210440E+07   -270.722        314.298        139.390               0           1       15891
          15    9.82223        10.2689        9.68079       -120.291        35.4345       -43.0353       0.124503E+10    16.1724       0.753320        21.9980       0.123759E+10   0.440617E+07   0.302749E+07   0.306021E+07    10.4008        75.3681       -173.856               0           1       15177
          16    9.53965        10.3393        9.97501       -123.576        96.4658       -85.2232       0.134138E+10    16.3342       0.250566        25.7014       0.128906E+10   0.460573E+08   0.626978E+07   0.162393E+08   -191.504        125.702        36.3580               0           1       14942
          17    9.75849        10.3050        9.99660       -50.1434        56.2280       -93.3101       0.145411E+10    15.7722       0.655221        21.1422       0.145010E+10   0.338950E+07    621540.       0.225806E+07   -35.1426        101.171        51.7837               0           1       14900
          18    9.33165        10.2954        10.0858       -88.7852        73.9756        34.4843       0.111884E+10    15.6182        2.33044        18.1421       0.110308E+10   0.155623E+08    198701.        296002.       -340.116        94.2934        115.541               0           1       14227
          19    9.77659        10.2907        9.74279       -144.353        128.165       -39.6784       0.747953E+09    13.0719        2.15059        16.0409       0.742590E+09   0.536298E+07    0.00000        0.00000       -22.2083        90.9775       -129.560               1           1       13591
          20    9.45353        10.4991        10.2145       -75.4963        148.310        35.5804       0.103081E+10    15.1576        1.61966        19.4068       0.101345E+10   0.171576E+08    199140.        629036.       -253.034        239.858        207.461               0           1       13565
          21    9.29518        10.1672        10.2627       -177.152        101.747       -92.7976       0.101145E+10    15.5894       0.678081        21.5154       0.101071E+10    399954.        343164.       0.123591E+07   -366.173        2.72933        241.898               0           1       12003
          22    9.72685        10.1229        9.92001       -197.780        104.900        125.748       0.123204E+10    12.6042       0.431423        20.4471       0.122380E+10   0.428296E+07   0.395892E+07   0.738396E+07   -57.7504       -28.9009       -2.93939               0           1       11797
          23    10.1832        10.1471        9.73758       -122.034        139.485        59.6222       0.967530E+09    15.3555       0.774733        21.0606       0.945697E+09   0.207652E+08   0.106885E+07   0.245338E+07    268.328       -11.6311       -133.280               0           1       11359
          24    9.79021        10.4154        9.78652       -134.179        92.1724        3.51984       0.887630E+09    14.6513       0.634979        20.1743       0.885754E+09    685412.       0.119103E+07   0.409382E+07   -12.4828        180.023       -98.3174               0           1       11047
          25    10.0665        9.98171        9.44078       -136.925        95.5929        32.1523       0.119677E+10    16.2433        2.35360        19.1201       0.115870E+10   0.380602E+08    12175.9        21821.7        184.899       -129.813       -345.343               0           1       10837
          26    10.2679        10.0982        9.34363       -117.210        149.364       -18.4396       0.128295E+10    16.8985       0.755442        22.8946       0.128157E+10    69767.4       0.130326E+07   0.206626E+07    328.807       -46.6187       -414.752               0           1       10654
          27    9.27004        10.4719        10.1821       -98.7958        95.0480       -6.65595       0.922977E+09    14.6436        1.36480        17.6925       0.874031E+09   0.487633E+08    182315.        341896.       -384.137        220.392        184.312               0           1       10477
          28    9.77835        10.2408        9.85974       -104.362        219.236       -128.308       0.735369E+09    9.93180       0.137320        14.5119       0.605912E+09   0.123486E+09   0.597103E+07   0.974506E+07   -20.9566        55.3047       -46.0028               0           1       10437
          29    9.81837        10.2516        9.74752       -110.494        1.80700       -25.3687       0.946432E+09    14.2480       0.442382        20.1977       0.929900E+09   0.155226E+08   0.100919E+07   0.447231E+07    7.63856        62.9940       -126.179               0           1       10236
          30    9.17369        10.6925        9.96009       -113.198        177.221        36.2717       0.118625E+10    16.3881       0.792622        22.8148       0.118472E+10    162316.       0.137058E+07   0.639482E+07   -452.973        378.060        25.6943               0           1       10234
          31    9.59727        10.5076        9.96668       -106.901        220.800       -120.882       0.106109E+10    13.3633        1.04991        17.0198       0.105345E+10   0.754693E+07    92087.4        434643.       -150.336        245.943        30.4078               0           1       10107
          32    9.78115        10.3475        9.53671       -96.7316        163.747        58.9514       0.886083E+09    14.7945        2.62029        16.7201       0.885421E+09    586488.        75082.7        139849.       -18.9510        131.571       -276.800               0           1       10064
          33    9.84158        10.5436        9.85438       -100.307        105.077       -52.4878       0.800234E+09    14.3994       0.439589        20.1421       0.799623E+09    363927.        247091.       0.164517E+07    24.2225        271.671       -49.8310               0           1        9614
          34    9.79916        10.3265        9.68873       -174.094        103.323        24.5588       0.807021E+09    14.1072       0.187623        21.3747       0.801119E+09   0.401506E+07   0.188673E+07   0.738608E+07   -6.08241        116.513       -168.188               0           1        9586
          35    9.29218        10.4870        9.87925       -129.996        61.1786        28.2949       0.776627E+09    14.2799        1.11966        18.0769       0.776012E+09    466511.        148629.        385368.       -368.312        231.219       -32.0632               0           1        9469
          36    9.79279        10.5655        9.76383       -87.0001        143.144       -74.4729       0.542587E+09    12.5772       0.873156        16.1992       0.542560E+09    27019.7        0.00000        0.00000       -10.6365        287.276       -114.530               1           1        9177
          37    9.77393        10.1121        9.89214        33.4636        15.4068        5.05160       0.143359E+10    12.3234       0.214000E-01    20.9799       0.142816E+10   0.240918E+07   0.302117E+07   0.865539E+07   -24.1139       -36.6209       -22.8485               0           1        8860
          38    9.86305        9.99182        10.2359       -144.190        243.451       -116.282       0.104818E+10    15.7166        1.30896        18.0884       0.104762E+10    383071.        169224.        688385.        39.5646       -122.588        222.734               0           1        8463
          39    9.70627        10.4834        9.80161       -99.5748        178.209       -142.542       0.613338E+09    12.9717        1.47108        15.6815       0.611731E+09   0.125610E+07    351306.       0.183173E+07   -72.4559        228.640       -87.5308               0           1        8419
          40    9.40748        10.5691        10.3075       -104.857        256.260       -68.3343       0.958246E+09    15.0378        3.08193        16.5465       0.957502E+09    558393.        185090.        649708.       -285.935        289.837        273.946               0           1        8184
          41    9.48350        10.2456        10.2155       -92.4172        77.1782       -20.2770       0.627367E+09    13.1573        1.21034        16.4358       0.625365E+09   0.186592E+07    135704.        370138.       -231.622        58.7385        208.181               0           1        8146
          42    9.72350        10.0092        9.86886       -271.346        171.667        39.8492       0.726349E+09    13.4973       0.863015        17.6680       0.725547E+09    261981.        539979.       0.143895E+07   -60.1439       -110.167       -39.4867               0           1        7839
          43    10.3091        9.76555        9.90439       -136.267        191.745       -100.036       0.139341E+10    17.0539        2.75228        19.3523       0.139281E+10    149364.        451277.       0.162350E+07    358.237       -284.258       -14.1018               0           1        7835
          44    9.80219        10.0954        10.0148       -102.053       -1.50664       -4.16164       0.112800E+10    11.8181       0.565810E-01    20.1691       0.110791E+10   0.154954E+07   0.185459E+08   0.248549E+08   -3.91681       -48.5914        64.7945               0           1        7712
          45    9.61755        10.1847        9.69308       -68.9827        92.1768       -63.1125       0.587806E+09    12.8777       0.361744        17.5127       0.582882E+09   0.465113E+07    272642.        966804.       -135.843        15.2407       -165.080               0           1        7495
          46    10.0353        10.0275        9.86559       -211.532        182.032       -17.1237       0.597225E+09    12.8778       0.546052        17.3713       0.596599E+09    418383.        207038.        676319.        162.625       -97.1013       -41.8216               0           1        7108
          47    9.46233        10.5265        10.3351       -102.458        149.474       -55.1374       0.564687E+09    12.7281       0.497968        18.0814       0.564425E+09    139174.        123204.        245938.       -246.744        259.405        293.670               0           1        7093
          48    9.44105        10.4724        9.87373       -100.666        119.152       -69.4676       0.592196E+09    12.9675       0.513641        17.3433       0.591196E+09    605573.        394806.       0.109839E+07   -261.950        220.759       -36.0072               0           1        7048
          49    9.63575        10.6004        9.93313       -145.135        138.181       -122.898       0.584003E+09    12.9176        1.02137        16.0985       0.583796E+09    193990.        12950.3        21256.7       -122.842        312.196        6.43751               0           1        6940
          50    9.80040        10.3019        9.78180       -90.9577        21.7273       -95.8864       0.239130E+09    8.98667       0.834530E-01    14.0421       0.234200E+09   0.476901E+07    160557.        500684.       -5.20216        98.9869       -101.685               0           1        6911
          51    9.38498        10.6153        9.94115       -97.0504        155.394        47.2614       0.576350E+09    12.8785        1.37041        15.4263       0.575815E+09    489544.        44958.1        85448.9       -302.011        322.894        12.1677               0           1        6822
          52    9.32849        10.2729        10.2654       -142.988        81.9175       -56.3127       0.477285E+09    11.9466       0.633361        15.6124       0.476797E+09    434621.        52968.0        132081.       -342.370        78.2089        243.838               0           1        6582
          53    9.89268        10.3718        9.81047       -126.806        189.435       -27.0329       0.259347E+09    9.55377       0.812083        13.1195       0.257562E+09   0.162876E+07    155892.       0.113511E+07    60.7355        148.900       -81.2055               0           1        6520
          54    9.34734        10.5420        10.2457       -127.059        129.304       -79.7438       0.658539E+09    12.7263        1.21780        16.2167       0.577977E+09   0.802498E+08    312445.        925598.       -328.904        270.532        229.765               0           1        6447
          55    9.38524        10.1995        9.74458       -113.324        105.433        54.9507       0.535109E+09    12.5276       0.357729        17.1089       0.533331E+09   0.174888E+07    28279.9        72334.5       -301.824        25.7707       -128.281               0           1        6410
          56    9.80676        10.2633        9.97677       -186.906        225.417       -71.4594       0.401877E+09    9.72010       0.676780        13.6820       0.399645E+09   0.158491E+07    646670.       0.185407E+07  -0.657326        71.3770        37.6162               0           1        6213
          57    9.58915        10.0216        9.74722       -98.6183        150.739        2.00011       0.511311E+09    12.3672       0.189731        17.5673       0.510635E+09    47414.9        628972.       0.211032E+07   -156.131       -101.302       -126.399               0           1        6164
          58    9.76207        10.1567        9.84203       -290.553        153.921       -103.637       0.713018E+09    10.1318       0.757010E-01    14.0292       0.704598E+09   0.772517E+07    695226.       0.226574E+07   -32.5884       -4.79276       -58.6563               0           1        6036
          59    10.1832        10.0388        9.76718       -162.763        195.975       -7.30403       0.516339E+09    12.3164       0.739809        15.6506       0.508057E+09   0.815212E+07    129347.        327001.        268.293       -88.9898       -112.135               0           1        6024
          60    9.61241        10.1797        9.91541       -65.8118        41.4579        81.0632       0.557833E+09    12.0651       0.307633        16.6786       0.551954E+09   0.552958E+07    349121.       0.177641E+07   -139.516        11.6790       -6.22316               0           1        5988
          61    9.41370        10.3520        9.59193       -118.938        48.0890        28.8191       0.542562E+09    12.2145        2.75847        13.7419       0.527429E+09   0.151331E+08    0.00000        0.00000       -281.489        134.728       -237.347               1           1        5878
          62    9.36985        10.4855        10.1266       -73.1060        129.050       -1.18880       0.466462E+09    11.7697       0.701460        15.2342       0.458091E+09   0.798772E+07    383188.        914055.       -312.820        230.108        144.662               0           1        5876
          63    9.66921        10.5034        9.83230       -100.875        170.105       -139.338       0.441667E+09    11.3692        1.54172        13.6349       0.441048E+09    619310.        0.00000        0.00000       -98.9347        242.898       -65.6068               1           1        5834
          64    9.18508        10.3680        10.4106       -171.609        130.595       -32.3303       0.523990E+09    12.2566       0.572653        15.8927       0.522690E+09   0.106669E+07    233814.        372651.       -444.836        146.161        347.595               0           1        5773
          65    9.40513        10.3711        10.0418       -110.514        54.2599        39.4298       0.423884E+09    11.5367        1.29016        14.3613       0.421427E+09   0.233452E+07    121789.        287604.       -287.615        148.398        84.1063               0           1        5672
          66    9.66569        10.3555        9.90619       -219.620        90.3501        97.8296       0.773721E+09    13.0028       0.226169        18.4623       0.723468E+09   0.497026E+08    549427.       0.119893E+07   -101.446        137.270       -12.8114               0           1        5634
          67    9.84837        10.1914        9.80272       -113.671       -24.8715       -46.0450       0.258467E+09    9.26766       0.113822        14.7574       0.255234E+09   0.277026E+07    462096.       0.256907E+07    29.0767        19.9756       -86.7413               0           1        5555
          68    9.77081        10.2200        10.0361       -141.779        299.118        20.9812       0.372886E+09    9.71520       0.529634        12.6300       0.372043E+09    738970.        104104.        231969.       -26.3409        40.4170        80.0266               0           1        5309
          69    9.15625        10.3991        10.2744       -132.827        88.0368       -6.11070       0.417090E+09    10.7100        1.14838        13.1674       0.416772E+09    215659.        102270.        181591.       -465.437        168.416        250.285               0           1        5201
          70    9.37955        10.3894        9.93473       -139.291        95.1462       -87.7639       0.404997E+09    11.2653       0.749082        14.9695       0.404883E+09    114378.        0.00000        0.00000       -305.887        161.456        7.57640               1           1        5183
          71    9.52855        10.6099        9.95187       -144.660        136.362       -108.918       0.439448E+09    10.7684       0.860013        13.1036       0.434730E+09   0.471645E+07    2307.03        21169.9       -199.433        319.047        19.8234               0           1        4941
          72    9.30333        10.4914        10.0045       -88.3935        137.099        49.5983       0.384407E+09    11.1804        1.19941        14.5581       0.384182E+09    225888.        0.00000        0.00000       -360.350        234.355        57.4624               1           1        4864
          73    10.0588        10.1180        9.27005       -139.127        189.191       -48.9008       0.460095E+09    12.0078       0.711033        16.1762       0.459671E+09    423614.        0.00000        0.00000        179.424       -32.4605       -467.328               1           1        4836
          74    9.68869        10.2471        9.77994       -249.135        114.907       -121.303       0.353818E+09    9.63215        1.17324        12.2057       0.353171E+09    646920.        0.00000        0.00000       -85.0122        59.8038       -103.015               1           1        4812
          75    9.77034        10.3088        9.96585       -220.912        175.556       -79.8843       0.179212E+09    7.50415       0.531171        11.2837       0.178165E+09    729330.        317435.       0.141530E+07   -26.6739        103.887        29.8140               0           1        4703
          76    9.57146        10.1580        9.78077       -68.3154        111.866       -109.353       0.341911E+09    10.6203       0.315170        14.8224       0.339620E+09   0.206325E+07    227705.        928217.       -168.773       -3.86608       -102.425               0           1        4700
          77    9.59957        10.5033        9.99972       -127.073        211.261       -156.208       0.413611E+09    10.0577       0.916957        13.6253       0.394324E+09   0.191844E+08    101792.        320415.       -148.686        242.827        54.0136               0           1        4591
          78    9.48114        10.2234        9.80329       -117.592        111.989        59.4603       0.446323E+09    10.8316       0.991966        14.1857       0.444041E+09   0.221993E+07    62352.7        99494.6       -233.302        42.8519       -86.3362               0           1        4539
          79    9.46827        10.1741        9.91908       -113.970        92.5950       -103.341       0.340378E+09    10.7509       0.368682        15.4569       0.339620E+09    557359.        200719.        822443.       -242.505        7.62570       -3.60672               0           1        4457
          80    9.75232        10.1499        10.0144       -109.136        135.127       -186.433       0.457007E+09    9.71953       0.102675        13.7319       0.456179E+09    733151.        94850.5        137676.       -39.5546       -9.62554        64.4737               0           1        4421
          81    9.66859        10.2022        9.89351        6.54181        168.413       -49.9054       0.419781E+09    9.13717       0.202161        13.6894       0.389419E+09   0.299942E+08    367459.        886231.       -99.3770        27.7049       -21.8711               0           1        4353
          82    9.61680        10.1673        9.87749       -32.3190        160.699       -53.5844       0.277173E+09    9.54435       0.612640        12.5912       0.274689E+09   0.248464E+07    0.00000        0.00000       -136.376        2.78935       -33.3221               1           1        4311
          83    9.93766        9.96983        9.34881       -155.283        67.0527        20.8300       0.361194E+09    11.0712        1.32883        13.7419       0.361069E+09    125365.        0.00000        0.00000        92.8709       -138.299       -411.051               1           1        4274
