#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    9.80821        10.0126        9.98636        61.7901       -12.7959       -35.7482       0.906869E+12    146.902        7.49151        257.781       0.804092E+12   0.314984E+11   0.712794E+11   0.197086E+11    0.00000        0.00000        0.00000               0           0    13186942
           2    9.68610        9.95946        9.95814        142.037        118.812        36.3250       0.469694E+11    45.7424       0.397665        76.5417       0.450908E+11   0.670082E+09   0.120847E+10   0.624755E+09   -87.2431       -37.9836       -20.1642               0           1      423711
           3    10.1083        9.76756        9.84512       -15.5229       -104.042       -47.9310       0.421129E+11    49.2544        5.64689        59.8036       0.394589E+11   0.183891E+10   0.815100E+09   0.159520E+09    214.440       -175.094       -100.916               0           1      362870
           4    10.0693        9.88543        10.2592        74.9319       -36.9510       -1.91339       0.431378E+10    23.9592       0.665544        37.0429       0.414316E+10   0.667706E+08   0.103843E+09   0.457796E+08    186.543       -90.8777        194.906               0           1       50242
           5    10.1951        9.70925        9.87615       -17.6670       -87.5397       -55.4346       0.346536E+10    22.7655       0.925172        32.6203       0.343465E+10   0.202822E+08   0.104216E+08   0.159100E+08    276.424       -216.755       -78.7500               0           1       44802
           6    9.65181        9.58887        9.89943        21.3088       -72.2244       -25.6274       0.173174E+10    18.2281        1.33884        23.7059       0.171988E+10    261299.       0.115895E+08   0.469662E+07   -111.745       -302.769       -62.1139               0           1       38768
           7    9.92099        9.91706        10.0484        116.828        142.588       -226.959       0.634552E+10    22.3655        2.35872        26.2106       0.582747E+10   0.512263E+09   0.579214E+07    650210.        80.5805       -68.2742        44.3361               0           1       35655
           8    9.85399        10.0188        9.95839        187.466       -135.049        30.2180       0.309742E+10    9.88099       0.243085        17.4043       0.297206E+10   0.144904E+08   0.110872E+09   0.691019E+08    32.7135        4.39767       -19.9856               0           1       34862
           9    10.1352        9.77634        9.90791        80.5449       -24.5491       -107.632       0.356867E+10    22.0229       0.218717        36.1339       0.353257E+10   0.204031E+08   0.156941E+08   0.260588E+08    233.616       -168.823       -56.0522               0           1       32966
          10    10.3369        10.0298        9.93624        44.9114        35.3133        148.728       0.200675E+10    19.3611        1.81333        24.6076       0.200389E+10   0.235137E+07    508672.        414035.        377.755        12.2406       -35.8129               0           1       23129
