#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    10.1209        9.89223        9.75944       0.404194E-01    59.5228        38.9693       0.105836E+12    39.8576        3.98576        112.930       0.989607E+11   0.560507E+10   0.127004E+10   0.198222E+11    0.00000        0.00000        0.00000               0           0      909327
           2    10.1711        9.96044        9.68245       -55.9917       -63.6768        110.567       0.400265E+11    25.0011        2.50011        64.4800       0.374124E+11   0.228372E+10   0.330447E+09   0.431512E+10    19.3830        26.3212       -29.7093               0           1      231805
           3    10.3006        10.0632        9.65524       -108.646       -27.1390        43.5551       0.143831E+11    20.0208        2.00208        49.5700       0.129437E+11   0.133293E+10   0.106507E+09   0.897887E+09    69.3435        65.9709       -40.2092               0           1      126015
           4    10.0099        9.85254        9.89565       -2.81537        70.8514       -10.6437       0.200938E+11    20.2192        2.02192        50.0600       0.182032E+11   0.179354E+10   0.970608E+08   0.929160E+09   -42.8371       -15.3158        52.5614               0           1       84215
           5    10.0446        9.89022        9.87872        29.5110       -42.6706        23.0844       0.809883E+10    13.3238        1.33238        34.5800       0.724292E+10   0.827167E+09   0.287491E+08   0.463743E+09   -29.4507      -0.775629        46.0283               0           1       35190
           6    10.1234        9.89186        9.75339       -76.0919       -29.6294        150.632       0.321179E+11    10.0573        1.00573        45.7300       0.285882E+11   0.239645E+10   0.113329E+10   0.178794E+11   0.968571      -0.142777       -2.33460               0           0       34432
           7    9.95473        10.3814        9.43574       -19.7647       -19.8646        52.9438       0.258936E+10    11.5163        1.15163        29.3800       0.240538E+10   0.181567E+09   0.241787E+07   0.705914E+08   -64.1263        188.767       -124.911               0           1       26034
           8    9.95123        9.47910        9.63515        4.67279        58.9729        71.1850       0.238904E+10    11.4507        1.14507        31.9400       0.229729E+10   0.877829E+08   0.396109E+07   0.141212E+09   -65.4769       -159.421       -47.9616               0           1       25604
           9    10.0403        9.86225        9.88616        2.00794        59.4313        23.6622       0.585950E+10    10.3946        1.03946        30.6700       0.533851E+10   0.493908E+09   0.270791E+08   0.235380E+09   -31.0907       -11.5688        48.8993               0           1       22570
          10    10.1338        9.93962        9.67953       -77.9656       -117.210        127.430       0.529750E+10    9.90758       0.990758        29.8100       0.506578E+10   0.211742E+09   0.199794E+08   0.313804E+09    4.98949        18.2871       -30.8361               0           0       19648
          11    10.0143        9.87781        9.93371        45.7499        9.11649       -33.4407       0.289730E+10    10.1746        1.01746        27.7300       0.257698E+10   0.317213E+09   0.310066E+07   0.687532E+08   -41.1508       -5.56446        67.2482               0           1       16509
          12    10.4230        10.0870        9.68909       -129.042        13.0491        34.3293       0.112973E+10    8.48637       0.848637        22.0200       0.103474E+10   0.941874E+08    807376.       0.346556E+08    116.584        75.1434       -27.1470               0           1       14916
          13    10.1362        9.86555        9.68204       -16.9401        26.3223        9.91034       0.169997E+10    8.51878       0.851878        26.1900       0.168573E+10   0.928392E+07   0.496251E+07   0.344163E+09    5.89632       -10.2954       -29.8675               0           0       14637
          14    10.0239        9.82845        9.90074        99.8628        12.5074        49.5201       0.184573E+10    7.61002       0.761002        23.6100       0.174468E+10   0.982568E+08   0.279431E+07   0.318116E+08   -37.4501       -24.6117        54.5255               0           1       11279
          15    10.0501        9.83798        9.86644       -20.6869        95.0653       -23.2509       0.120269E+10    7.55754       0.755754        21.6100       0.118032E+10   0.206266E+08   0.173791E+07   0.103460E+09   -27.3206       -20.9343        41.2897               0           1       10932
          17    10.1162        9.90021        9.75893       -84.4166        169.152       -57.9642       0.222233E+11    6.92585       0.692585        28.4200       0.197170E+11   0.143354E+10   0.107282E+10   0.166957E+11   -1.83295        3.07936      -0.196801               0           0       10126
          18    10.0971        10.1966        9.54848       -11.5989       -51.2752        67.2534       0.527582E+09    6.81240       0.681240        18.0700       0.512048E+09   0.154339E+08    99828.4       0.526964E+07   -9.17634        117.448       -81.4063               0           1        9610
          19    10.1131        10.1465        9.55461       0.181583       -5.79684        119.375       0.606030E+09    6.87723       0.687723        18.2900       0.539899E+09   0.660271E+08    103268.       0.495915E+07   -3.01762        98.1305       -79.0408               0           1        8528
          20    10.3438        10.0625        9.67043       -126.651       -48.8945        55.2380       0.967245E+09    6.70744       0.670744        18.6900       0.804614E+09   0.159247E+09   0.338401E+07   0.615072E+08    86.0137        65.6930       -34.3476               0           1        8461
          21    10.3141        10.0640        9.66181       -133.668       -23.1642        25.4275       0.295371E+10    6.33506       0.633506        16.5500       0.272707E+10   0.167706E+09   0.589303E+08   0.483817E+09    74.5337        66.2989       -37.6739               0           1        7496
          22    10.1148        9.90521        9.74854        128.501        24.1603       -29.3638       0.111235E+11    6.05954       0.605954        21.0000       0.977981E+10   0.940589E+09   0.403131E+09   0.377666E+10   -2.37319        5.00879       -4.20615               0           0        7358
          23    10.1731        9.66788        9.70448       -65.8568        100.552        48.2417       0.527118E+09    6.95170       0.695171        19.9100       0.512547E+09   0.142752E+08    296133.       0.322701E+08    20.1586       -86.5733       -21.2082               0           1        6954
          24    10.2696        10.1195        9.21687       -39.2468        10.4224        75.1394       0.616060E+09    7.22453       0.722453        18.0300       0.604581E+09   0.113718E+08    107793.       0.672111E+07    57.3772        87.6885       -209.370               0           1        6840
          25    10.1221        10.0183        9.60987       -133.460       -39.2971        47.6807       0.562395E+09    6.33622       0.633622        16.6800       0.560518E+09   0.163228E+07    245120.       0.261402E+08   0.459203        48.6639       -57.7168               0           1        6650
          26    10.1786        10.0332        9.64589       -68.9551       -91.9403        144.120       0.493962E+09    6.19383       0.619383        16.7700       0.454516E+09   0.392866E+08    159260.       0.806294E+07    22.2694        54.3866       -43.8172               0           1        6085
          27    10.2998        9.99449        9.70217       -157.360       -37.3052        85.2321       0.319248E+09    5.63044       0.563044        15.4400       0.318586E+09    480945.        181419.       0.125286E+08    69.0271        39.4606       -22.0996               0           1        6007
          28    10.2629        10.0565        9.62892       -102.040       -62.9587        48.4727       0.391046E+09    5.18590       0.518590        15.5700       0.362316E+09   0.284037E+08    325716.       0.318288E+08    54.7802        63.3932       -50.3657               0           1        5919
          29    10.2891        10.1272        9.65946       -149.998       -4.96805        11.7817       0.324686E+09    5.76202       0.576202        16.3900       0.322742E+09   0.149026E+07    452888.       0.270025E+08    64.8981        90.6791       -38.5808               0           1        5613
          31    10.1631        9.92536        9.70239        71.8509        11.3355       -33.6640       0.979484E+09    5.37884       0.537884        15.4700       0.948781E+09   0.302486E+08    454685.       0.252775E+08    16.2882        12.7844       -22.0147               0           0        4544
          32    9.62739        10.3405        9.55812       -13.8399        7.09422        63.7559       0.360197E+09    6.16759       0.616759        17.2300       0.356497E+09   0.348918E+07    211420.       0.576458E+07   -190.442        172.981       -77.6863               0           1        4444
          33    10.5171        10.4111        9.63627       -70.5394       -35.1221        48.5037       0.313844E+09    5.90789       0.590789        15.9100       0.312517E+09   0.127044E+07    56844.5       0.186495E+07    152.880        200.220       -47.5294               0           1        4247
          34    9.96158        10.4269        9.42735      -0.827752       -47.9546        51.6414       0.575679E+09    6.77651       0.677651        18.2700       0.548546E+09   0.270864E+08    46527.8       0.143235E+07   -61.4830        206.336       -128.149               0           1        4190
          35    10.1749        9.92290        9.68841       -91.6479       -25.3254        132.598       0.406476E+09    4.56231       0.456231        13.1800       0.397982E+09   0.817410E+07    319080.       0.129769E+08    20.8494        11.8351       -27.4094               0           0        3965
          36    10.1577        9.95389        9.69259       -63.5790       -54.5334        33.9007       0.209000E+10    5.04389       0.504389        14.5200       0.188885E+10   0.178035E+09   0.231114E+08   0.154895E+09    14.2044        23.7937       -25.7964               0           0        3838
          37    10.4214        9.47494        9.40449       -31.4420        41.7659        60.5429       0.361693E+09    6.18380       0.618380        16.3900       0.360903E+09    671002.        118649.       0.310876E+07    115.958       -161.026       -136.970               0           1        3607
          38    10.0925        9.81641        9.72939       -40.5792        179.369        61.3445       0.318357E+09    5.10564       0.510563        14.8500       0.316590E+09   0.170020E+07    66773.2       0.281052E+07   -10.9437       -29.2578       -11.5958               0           0        3478
          39    10.1878        10.0588        9.65843        24.7351       -83.2910        111.935       0.229384E+09    4.77532       0.477532        12.6700       0.228464E+09    857552.        63075.6       0.206725E+07    25.8003        64.2614       -38.9782               0           1        3402
          40    9.91072        9.85497        9.87794        36.1885       -55.3763        36.2473       0.226316E+09    5.15696       0.515696        13.8600       0.225637E+09    657297.        21319.4        758148.       -81.1091       -14.3781        45.7274               0           1        3394
          41    10.3408        10.0308        9.65533       -75.7897       -3.50766       -8.85104       0.173891E+09    4.18221       0.418221        12.6700       0.172678E+09   0.114310E+07    69969.9       0.277136E+07    84.8561        53.4566       -40.1745               0           1        3335
          42    10.1612        9.96652        9.67142       -66.1178       -32.8415        86.4629       0.202414E+10    4.51176       0.451176        16.1900       0.183780E+10   0.147054E+09   0.392914E+08   0.426583E+09    15.5550        28.6674       -33.9656               0           1        3233
          43    10.4916        10.1328        9.68245       -87.9064       -50.6698        19.2295       0.267694E+09    5.34450       0.534450        13.2400       0.261054E+09   0.655132E+07    88921.2       0.406930E+07    143.040        92.8362       -29.7093               0           1        3204
          44    10.4278        10.1082        9.29994       -72.8251       -13.6329        77.8792       0.224058E+09    5.28623       0.528623        13.8000       0.223060E+09    967891.        30533.8       0.236247E+07    118.440        83.3203       -177.314               0           1        2955
          45    10.3098        10.1190        9.35528       -74.9918       -15.3516        86.1235       0.253813E+09    5.46296       0.546296        13.7200       0.250745E+09   0.306774E+07    0.00000        0.00000        72.8859        87.5110       -155.959               1           1        2944
          46    10.0765        10.1786        9.54084        29.1585       -38.7411        45.8280       0.235902E+09    5.06435       0.506435        13.2500       0.222894E+09   0.129585E+08    49877.6       0.206686E+07   -17.1179        110.490       -84.3544               0           1        2934
          47    9.90170        9.64005        9.90869        16.0285        80.5707        56.5073       0.229505E+09    5.31864       0.531864        13.3900       0.229295E+09    209925.        0.00000        0.00000       -84.5898       -97.3124        57.5933               1           1        2913
