#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    9.93796        10.0262        10.0852       -32.6069        49.3407        63.6259       0.225024E+12    87.3042        8.73042        133.850       0.205469E+12   0.114709E+11   0.808458E+10   0.157930E+11    0.00000        0.00000        0.00000               0           0     2638496
           2    9.88274        10.1942        9.88594       -5.42507       -42.7537        107.803       0.511794E+10    24.3493        2.43493        30.8100       0.480487E+10   0.303389E+09   0.968110E+07   0.344660E+08   -37.0844        112.832       -133.818               0           1       48172
           3    9.92572        10.1281        10.0390       -60.2128        66.6984       -27.2566       0.297666E+10    18.7766        1.87766        25.1400       0.296600E+10   0.565625E+07   0.500740E+07   0.436967E+08   -8.22009        68.4605       -31.0335               0           0       38555
           5    9.94440        9.89584        10.2469        12.6062        37.5363        93.7303       0.573931E+09    11.8567        1.18567        17.6600       0.572822E+09    342397.        766444.       0.112235E+08    4.32495       -87.5467        108.580               0           1       12175
           6    9.98040        10.1466        9.81247       -54.1165       -2.10292        135.047       0.982082E+09    14.2522        1.42522        18.2400       0.915517E+09   0.664588E+08    105595.       0.177727E+07    28.5017        80.8712       -183.159               0           1       11354
           7    9.56969        10.3687        9.99278        3.33635        1.13226        82.2783       0.132054E+10    16.2098        1.62098        21.7300       0.131741E+10   0.292199E+07    206625.       0.153977E+07   -247.321        230.015       -62.0671               0           1       10646
           8    9.77967        10.0608        10.2622       -57.3477        51.5274        76.7327       0.266676E+09    8.91181       0.891181        14.6300       0.266375E+09    211810.        88866.1       0.132006E+07   -106.304        23.2433        118.903               0           1        7978
           9    10.0001        10.0954        10.0174       -131.273       -92.1303        98.6961       0.672525E+09    11.9614        1.19614        16.2900       0.672172E+09    296836.        55657.8        493299.        41.7116        46.4932       -45.5530               0           0        6680
          11    9.88283        9.84268        10.1650        22.5781       -18.0493        96.7951       0.181515E+09    7.95414       0.795414        11.5800       0.180826E+09    689233.        0.00000        0.00000       -37.0240       -123.248        53.5649               1           1        6514
          12    10.1798        9.78311        9.84806       -51.4609        63.3601        88.7325       0.550940E+09    12.0534        1.20534        16.4400       0.550375E+09    448941.        115897.        840584.        162.407       -163.253       -159.258               0           1        5346
