#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    10.1252        9.87857        9.74348       -26.5058        31.4542        61.1360       0.874278E+11    36.5909        3.65909        99.6800       0.819453E+11   0.442860E+10   0.105394E+10   0.198036E+11    0.00000        0.00000        0.00000               0           0      700635
           2    10.1841        9.97935        9.64441       -18.4214       -38.0503        99.6194       0.371760E+11    26.5674        2.65674        74.7400       0.339766E+11   0.289636E+10   0.303059E+09   0.415657E+10    21.8969        37.4664       -36.8307               0           1      242389
           3    10.3383        10.0688        9.64013       -104.784       -11.1757        47.5741       0.161890E+11    20.3537        2.03537        53.2200       0.147430E+11   0.134594E+10   0.100092E+09   0.892231E+09    79.2267        70.7282       -38.4219               0           1      116079
           4    10.1439        9.83101        9.75647       -56.6800        163.120        36.9926       0.176950E+11    16.6699        1.66699        50.2000       0.165342E+11   0.106171E+10   0.991592E+08   0.192052E+10    6.92969       -17.6811        4.82922               0           0      106224
           5    10.0142        9.82760        9.89840       -20.4207        64.9248       -1.26655       0.162781E+11    19.3987        1.93987        50.7200       0.147126E+11   0.148325E+10   0.822730E+08   0.826916E+09   -41.2844       -18.9488        57.5937               0           1      104954
           6    10.1710        9.98498        9.63945       -128.275       -122.773        95.1818       0.143296E+11    10.6551        1.06551        34.9500       0.132579E+11   0.792159E+09   0.279598E+09   0.361645E+10    17.0305        39.5595       -38.6747               0           1       36358
           7    10.0336        9.90263        9.86943        33.4693       -34.9005        25.4976       0.442169E+10    12.8820        1.28820        36.2700       0.400351E+10   0.405675E+09   0.125062E+08   0.289034E+09   -34.0722        8.94465        46.8237               0           1       35930
           8    9.96056        10.3882        9.41827       -18.9319       -20.5174        48.7897       0.241164E+10    10.8462        1.08462        29.3200       0.223378E+10   0.175445E+09   0.242218E+07   0.714023E+08   -61.2184        189.459       -120.902               0           1       24907
           9    9.94929        9.45800        9.61005        4.77510        58.0716        69.5816       0.211493E+10    10.6116        1.06116        29.6300       0.202601E+10   0.849195E+08   0.399609E+07   0.147551E+09   -65.4082       -156.353       -49.6045               0           1       24593
          10    10.1417        9.86182        9.68733       -14.8064       -4.74257       -44.3984       0.321417E+10    9.12458       0.912458        30.9900       0.319007E+10   0.188369E+08   0.526357E+07   0.368236E+09    6.11181       -6.22705       -20.8746               0           0       22986
          11    10.0369        9.84104        9.87620        15.6493        59.5615        22.9783       0.439911E+10    9.75510       0.975509        29.2000       0.389949E+10   0.475053E+09   0.245684E+08   0.223178E+09   -32.8305       -13.9523        49.3406               0           1       20228
          12    9.99905        9.87279        9.94138        41.1468        16.4842       -13.2684       0.197350E+10    9.70082       0.970082        28.0100       0.182481E+10   0.145826E+09   0.286849E+07   0.695453E+08   -46.9092       -2.14880        73.5722               0           1       15687
          13    10.4695        10.0821        9.67602       -126.929        14.9949        37.5251       0.110318E+10    7.99888       0.799888        21.8200       0.969308E+09   0.133289E+09    587370.       0.356947E+08    127.991        75.6615       -25.0792               0           1       15019
          14    10.3856        10.0794        9.64940       -102.716       -45.2558        59.9554       0.109611E+10    7.21483       0.721483        19.0800       0.976546E+09   0.116766E+09   0.279886E+07   0.532045E+08    96.8112        74.6614       -34.9756               0           1       14578
          15    9.98987        9.83231        9.88194        77.4887       -23.5531        47.6098       0.131256E+10    7.32673       0.732673        22.8900       0.121474E+10   0.951037E+08   0.271384E+07   0.317092E+08   -50.3220       -17.1978        51.4745               0           1       11828
          16    10.0559        9.80746        9.87563       -11.5447        73.1370       -25.3941       0.143879E+10    7.82452       0.782452        21.8800       0.141220E+10   0.248576E+08   0.173398E+07   0.107522E+09   -25.7558       -26.4362        49.1287               0           1       11707
          18    10.0895        9.88309        9.76817        21.1577        77.8259       -42.3838       0.159984E+10    7.13416       0.713416        22.4800       0.142583E+10   0.169434E+09   0.457720E+07   0.109088E+09   -13.2646        1.68038        9.17886               0           0        9551
          19    10.1008        10.2141        9.52470       -8.42656       -47.1838        66.1972       0.481970E+09    6.42669       0.642669        17.8200       0.471892E+09   0.997753E+07    100070.       0.556201E+07   -9.10079        124.746       -81.3346               0           1        8643
          20    10.1944        9.97554        9.65686       -77.5009       -50.3653        46.1861       0.662165E+10    7.02635       0.702634        22.0600       0.585738E+10   0.601029E+09   0.163237E+09   0.267058E+10    25.7187        36.0500       -32.2022               0           1        8287
          21    10.1845        9.97131        9.67395       -79.9431       -43.0773        76.8344       0.228148E+10    6.43710       0.643710        19.2000       0.197606E+10   0.290192E+09   0.152303E+08   0.118904E+09    22.0159        34.4774       -25.8488               0           1        7937
          22    10.1113        10.1481        9.51197        11.7356       -2.50960        112.618       0.584171E+09    6.78061       0.678061        18.4600       0.551539E+09   0.325285E+08    103496.       0.524844E+07   -5.17496        100.198       -86.0672               0           1        7910
          23    10.1734        10.0307        9.59700       -147.829       -26.7806        23.6698       0.703381E+09    6.41665       0.641665        19.1000       0.699940E+09   0.325602E+07    184628.       0.260998E+08    17.9153        56.5714       -54.4560               0           1        7631
          24    10.1970        9.63296        9.68765       -65.5690        92.3898        46.4380       0.517595E+09    6.61852       0.661852        19.8400       0.496002E+09   0.212951E+08    297051.       0.341982E+08    26.6964       -91.3091       -20.7556               0           1        6862
          25    10.3012        10.0775        9.61512       -110.312       -53.3402        28.9029       0.488829E+09    5.26418       0.526418        15.2700       0.457343E+09   0.311089E+08    377463.       0.339986E+08    65.4343        73.9477       -47.7197               0           1        6623
          26    10.3435        10.1253        9.65528       -152.135        17.5357        12.4093       0.423236E+09    5.84711       0.584711        16.8900       0.420014E+09   0.276826E+07    453886.       0.285369E+08    81.1562        91.7217       -32.7896               0           1        6358
          27    10.2030        10.0634        9.59580       -67.8470       -77.0968        134.805       0.541496E+09    5.96942       0.596942        16.5600       0.490681E+09   0.506474E+08    167016.       0.892935E+07    28.9196        68.7281       -54.9022               0           1        6312
          28    10.2831        10.1157        9.19027       -35.7022        8.79216        72.2341       0.524803E+09    6.58803       0.658803        17.8400       0.517535E+09   0.715997E+07    108018.       0.710835E+07    58.6793        88.1676       -205.664               0           1        6117
          29    10.3551        10.0101        9.66966       -147.838       -49.6775        93.7922       0.396396E+09    5.65119       0.565119        15.8800       0.386343E+09   0.987062E+07    181764.       0.133335E+08    85.4649        48.8982       -27.4436               0           1        5920
          30    10.1321        9.92043        9.72132        81.7886        37.2613       -64.1424       0.250883E+10    5.19578       0.519578        15.6600       0.230905E+10   0.126747E+09   0.730342E+08   0.682803E+09    2.53915        15.5621       -8.23830               0           0        5186
          32    10.2021        9.93918        9.64532       -58.4473       -63.3840        108.255       0.449655E+09    5.05711       0.505711        14.0200       0.433316E+09   0.160118E+08    327037.       0.136204E+08    28.5664        22.5326       -36.4924               0           1        4952
          33    9.63197        10.3379        9.53574       -13.4940        7.21805        61.9560       0.348586E+09    5.88726       0.588726        17.3800       0.345356E+09   0.301806E+07    211898.       0.608959E+07   -183.377        170.774       -77.2303               0           1        4523
          34    10.1781        10.0849        9.61827        27.5393       -63.3431        113.252       0.184036E+09    4.56006       0.456006        12.6200       0.181990E+09   0.198961E+07    57046.6       0.219316E+07    19.6403        76.7024       -46.5486               0           1        4186
          35    9.96070        10.4428        9.40957        2.78843       -39.7411        51.2761       0.534914E+09    6.45829       0.645829        17.5600       0.514709E+09   0.201592E+08    46628.9       0.151280E+07   -61.1664        209.749       -124.136               0           1        4040
          36    10.5418        10.4236        9.61925       -69.3665       -35.5227        47.4607       0.303503E+09    5.60509       0.560509        15.3200       0.302124E+09   0.132131E+07    56963.2       0.197233E+07    154.855        202.619       -46.1843               0           1        4039
          37    10.4325        9.45989        9.38298       -29.1693        39.5852        59.4942       0.346325E+09    5.86533       0.586533        16.2300       0.345855E+09    350735.        118923.       0.327932E+07    114.225       -155.650       -134.021               0           1        3622
