#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    9.89344        10.0880        9.88287        69.0982       -51.7559        104.862       0.386332E+12    87.9641        8.79641        219.120       0.347010E+12   0.181135E+11   0.212083E+11   0.155822E+11    0.00000        0.00000        0.00000               0           0     4580199
           2    9.89306        10.0335        9.91775        70.1973        30.8292        69.9783       0.286106E+11    22.5224        2.25224        51.6600       0.272475E+11   0.831027E+09   0.531984E+09   0.107704E+10  -0.211755       -30.3701        19.4369               0           0      147002
           3    9.86541        9.94542        9.64243        68.4859       -6.04235        144.669       0.752220E+10    22.1072        2.21072        39.0800       0.701129E+10   0.409074E+09   0.101837E+09   0.110405E+09   -15.6197       -79.4471       -133.985               0           1       51118
           4    9.97639        9.97067        10.1351       -38.0838       -108.565       -7.32149       0.421205E+10    19.3410        1.93410        35.2700       0.404114E+10   0.155146E+09   0.157649E+08   0.513934E+08    46.2239       -65.3766        140.550               0           1       34217
           5    9.97865        9.95687        9.84304       -43.3977       -64.7959        189.034       0.315608E+10    16.1207        1.61207        26.8500       0.298911E+10   0.160173E+09   0.679603E+07   0.897916E+07    47.4833       -73.0666       -22.1953               0           1       25168
           6    9.83709        10.0662        9.80928        141.709        45.5936       -26.0724       0.283003E+10    13.1990        1.31990        25.6300       0.269646E+10   0.120679E+09   0.128921E+08   0.415583E+08   -31.4010       -12.1648       -41.0080               0           0       20788
           7    10.0546        10.1096        9.86820        48.8642       -48.2154       -119.108       0.197053E+10    14.3224        1.43224        24.4400       0.196848E+10    386166.       0.166324E+07   0.913616E+07    89.8231        12.0589       -8.17486               0           1       20757
           8    10.0543        9.98736        9.54878        38.2816       -104.011        131.019       0.185008E+10    14.8234        1.48234        25.0100       0.177883E+10   0.708154E+08    433191.       0.202625E+07    89.6671       -56.0761       -186.172               0           1       19886
           9    9.69396        10.1783        9.96976        142.537       -168.075        44.2057       0.216955E+10    15.5395        1.55395        26.8400       0.216651E+10   0.266262E+07    376662.       0.402250E+07   -111.160        50.3364        48.4195               0           1       17987
          10    9.89316        10.0883        9.88308       -56.0382       -20.6905       -100.012       0.830146E+11    12.9672        1.29672        52.1300       0.602456E+11   0.281467E+10   0.199543E+11   0.132701E+11  -0.156030       0.178320       0.117022               0           0       16141
          11    9.90325        9.92593        9.75529        170.424       -55.0376        138.365       0.140465E+10    12.1960        1.21960        20.8400       0.133944E+10   0.647183E+08    491460.       0.443430E+07    5.46662       -90.3079       -71.0940               0           1       15471
          12    9.85335        10.0754        9.76104        136.049        90.0542        124.435       0.218121E+10    13.4197        1.34197        23.6100       0.203774E+10   0.142952E+09    519725.       0.197648E+07   -22.3402       -7.02135       -67.8898               0           0       14986
          13    9.82035        10.0784        10.0599        19.4043        32.5827        140.737       0.101029E+10    11.5022        1.15022        19.7200       0.100805E+10    764574.       0.147561E+07   0.597136E+07   -40.7294       -5.34403        98.6221               0           1       14704
          14    9.89321        10.0883        9.88320       -75.7199        13.3101       -76.5110       0.710089E+11    10.4830        1.04830        37.7700       0.489278E+11   0.227935E+10   0.198017E+11   0.130567E+11  -0.128168       0.178320       0.183892               0           0       13107
          15    9.74922        10.0559        9.62149        76.5406       -19.7609        136.618       0.783817E+09    11.2230        1.12230        19.4400       0.781582E+09   0.192613E+07    308714.       0.181506E+07   -80.3666       -17.8766       -145.654               0           1       10518
          16    9.89347        10.0882        9.88345       -109.191        80.2891        29.5601       0.563784E+11    7.52956       0.752956        23.3000       0.350364E+11   0.182557E+10   0.195164E+11   0.126588E+11   0.167175E-01   0.111450       0.323205               0           0       10187
          17    9.89401        10.0385        9.81411        145.364        13.0929       -130.168       0.158855E+10    9.87391       0.987391        19.0700       0.155853E+10   0.285467E+08   0.147898E+07   0.470422E+07   0.317632       -27.6006       -38.3165               0           0       10109
          18    10.0273        10.0656        10.1530        122.323       -36.9106       -78.0587       0.100214E+10    11.1177        1.11177        16.9100       0.938882E+09   0.631983E+08    59353.3        274083.        74.5991       -12.4824        150.536               0           1       10013
          19    9.80252        9.95208        9.38841        49.4307        26.2544        67.1883       0.942852E+09    12.0873        1.20873        19.9700       0.941124E+09   0.149173E+07    236695.       0.181838E+07   -50.6652       -75.7358       -275.538               0           1        9877
          20    9.98271        9.94283        9.99106        24.0967       -189.842       -62.3950       0.700178E+09    10.3158        1.03158        17.7400       0.696615E+09   0.325337E+07    309705.       0.191950E+07    49.7457       -80.8904        60.2889               0           1        9426
          21    10.0159        10.0691        10.0319        87.2515        94.1750        132.340       0.113714E+10    10.5103        1.05103        17.5800       0.104763E+10   0.860823E+08   0.343015E+07   0.560515E+07    68.2408       -10.5320        83.0191               0           1        9245
          22    10.0588        9.95138        9.97324        98.4144       -89.1729        29.6631       0.519215E+09    9.29827       0.929827        18.1500       0.518200E+09    731548.        283326.       0.135371E+07    92.1580       -76.1259        50.3587               0           1        9025
          24    9.83151        9.94804        10.0689        38.9915       -60.5833        35.4292       0.431822E+09    8.92102       0.892102        16.3300       0.427330E+09   0.424958E+07    242382.       0.186254E+07   -34.5105       -77.9871        103.688               0           1        8868
          25    9.78268        9.93441        9.90829        204.125        24.4904        21.1095       0.620194E+09    9.94524       0.994524        15.7200       0.619878E+09    293373.        22429.3        82854.3       -61.7210       -85.5825        14.1653               0           1        8750
          26    9.84472        10.1188        10.0661        63.0122        32.9672        106.642       0.521582E+09    9.17011       0.917011        14.2400       0.520528E+09    73904.0        980189.       0.125736E+07   -27.1492        17.1522        102.077               0           1        8199
          28    9.98062        10.0867        9.73286       -37.4113       -75.6101       -27.9979       0.518626E+09    8.48023       0.848023        15.5800       0.517701E+09    680777.        243714.       0.148544E+07    48.5811      -0.735570       -83.5931               0           1        6839
          29    9.98173        9.98856        9.74016       -53.0606       -122.316        158.186       0.725524E+09    10.8151        1.08151        18.1700       0.719727E+09   0.563755E+07    159309.       0.148642E+07    49.1996       -55.4074       -79.5251               0           1        5933
          30    9.81897        10.0158        9.87887        3.24057        91.0996       -56.0755       0.584511E+09    8.56326       0.856326        15.7000       0.583879E+09    612851.        19080.9        219284.       -41.4984       -40.2112       -2.22900               0           0        5928
