#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    8.96408        11.0883        9.52791        41.9398       -92.4985        11.7183       0.375967E+09    1.61167       0.161167        33.8000       0.345356E+09   0.297833E+08    827690.       0.125240E+10    0.00000        0.00000        0.00000               0           0        2243
           2    9.39413        11.0992        9.33481        21.5850       -61.1589        39.2171       0.113662E+09    1.10230       0.110230        20.4000       0.110906E+09   0.225181E+07    504187.       0.112707E+10    43.0362        1.09279       -19.3240               0           1        1799
           3    9.56826        9.96555        9.75662        24.7847        19.6692        22.4271       0.435817E+09    1.68923       0.168923        33.0500       0.399146E+09   0.349895E+08   0.168107E+07   0.800795E+09    60.4619       -112.353        22.8876               0           1        1779
           4    8.79308        10.9164        9.44444        59.9520       -52.7125        24.2574       0.216322E+09    1.34868       0.134868        25.1300       0.204520E+09   0.109270E+08    874984.       0.710108E+09   -17.1124       -17.2005       -8.35306               0           1        1699
           5    8.80620        10.9276        9.44212        61.8866       -55.0854        15.3348       0.162491E+09    1.17065       0.117065        22.7500       0.149981E+09   0.120263E+08    483453.       0.389554E+09   -15.7995       -16.0797       -8.58523               0           1        1550
           6    9.54868        9.99817        9.77902        39.4640       -21.7954       -3.04432       0.220483E+09    1.35499       0.135499        25.0900       0.208677E+09   0.110053E+08    800299.       0.723781E+09    58.5024       -109.088        25.1292               0           1        1510
           7    9.76946        11.0540        8.97025        11.9652       -56.7558        44.7451       0.153084E+09    1.19427       0.119427        23.8200       0.139755E+09   0.129609E+08    368096.       0.481994E+09    80.5965       -3.43049       -55.8065               0           1        1181
           8    9.27594        11.0937        9.87639        45.4231       -79.0565        9.76663       0.303361E+09    1.47267       0.147267        27.3400       0.269368E+09   0.326580E+08   0.133489E+07   0.684112E+09    31.2086       0.541393        34.8733               0           1        1152
           9    9.56629        9.97000        9.76048        11.0117       -15.4740        20.9498       0.301246E+09    1.02805       0.102805        21.0800       0.287991E+09   0.116978E+08   0.155747E+07   0.768142E+09    60.2647       -111.907        23.2739               0           1        1010
          10    9.27366        11.1021        9.87238        55.5220       -51.3049        19.5612       0.202835E+09    1.09410       0.109410        21.4800       0.187144E+09   0.145831E+08   0.110808E+07   0.618919E+09    30.9805        1.38100        34.4720               0           1         965
          11    9.06872        10.8333        9.55251        49.2127       -44.4607        11.2598       0.112727E+09    1.09190       0.109189        20.4600       0.108828E+09   0.372574E+07    173210.       0.360550E+09    10.4716       -25.5135        2.46179               0           1         779
          12    9.00690        10.5989        9.91417        61.4807      -0.443230        1.29050       0.150174E+09    1.18136       0.118136        21.8500       0.138009E+09   0.118219E+08    342213.       0.985214E+08    4.28511       -48.9685        38.6540               0           1         768
