#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    10.2221        9.78290        9.18326       -3.01156        39.4970        59.3172       0.635042E+10    5.94089       0.594089        70.0900       0.591400E+10   0.381909E+09   0.545113E+08   0.602007E+10    0.00000        0.00000        0.00000               0           0       50633
           2    9.56829        10.0316        9.19196        18.4246       -6.44338        87.8014       0.189576E+10    3.95650       0.395650        43.4300       0.176304E+10   0.122049E+09   0.106747E+08   0.132814E+10   -93.4341        35.5368        1.24320               0           1       19864
           3    9.65474        10.3519        9.59337        8.12281        5.90904        25.9230       0.241906E+10    4.30545       0.430545        51.3000       0.225082E+10   0.159036E+09   0.920148E+07   0.112016E+10   -81.0807        81.3093        58.6031               0           1       19599
           4    10.3503        9.75005        9.07152       -28.5278        2.53875        84.7479       0.154690E+10    3.68014       0.368014        42.5900       0.143389E+10   0.105932E+09   0.707915E+07   0.105658E+10    18.3164       -4.69414       -15.9672               0           1       14007
           5    10.5219        9.62194        9.04131       -28.3936        19.1660        54.6535       0.179245E+10    3.87419       0.387419        43.5100       0.164997E+10   0.137231E+09   0.525460E+07   0.115074E+10    42.8288       -23.0006       -20.2841               0           1       13972
           6    10.2214        9.77803        9.18255      -0.632849       -33.0012        58.3190       0.328225E+10    2.70101       0.270101        36.0400       0.305305E+10   0.177746E+09   0.514540E+08   0.549672E+10  -0.105743      -0.695904      -0.101456               0           0       13876
           7    10.1471        10.0029        9.27086        4.78799       -30.3502        55.7632       0.216125E+10    4.03809       0.403809        44.4900       0.198619E+10   0.169806E+09   0.524762E+07   0.882793E+09   -10.7315        31.4429        12.5177               0           1       12482
           8    10.0453        9.94261        9.59445       0.709603        10.9911        9.63773       0.159938E+10    3.67428       0.367428        39.8900       0.144437E+10   0.148708E+09   0.630353E+07   0.618808E+09   -25.2712        22.8219        58.7575               0           1       10678
           9    10.2505        9.89664        9.18004       -40.0948       -14.2157        100.494       0.163863E+10    3.54524       0.354524        38.4500       0.149392E+10   0.139761E+09   0.495088E+07   0.581830E+09    4.05682        16.2530      -0.460126               0           1       10546
          10    10.0504        9.98548        9.49082       -26.8921       -2.18241        30.6460       0.580957E+09    2.67629       0.267629        30.2300       0.552952E+09   0.259176E+08   0.208718E+07   0.367192E+09   -24.5353        28.9479        43.9491               0           1        8516
          11    10.4922        10.0156        9.31691       -55.6629      -0.479224        10.1213       0.591832E+09    2.69601       0.269601        29.6400       0.570245E+09   0.197469E+08   0.184087E+07   0.206987E+09    38.5905        33.2548        19.0981               0           1        6810
          12    10.3159        10.3665        9.09167       -12.7716       -3.87434        49.6187       0.887615E+09    3.04154       0.304154        34.0700       0.816001E+09   0.697703E+08   0.184376E+07   0.271203E+09    13.3951        83.3885       -13.0879               0           1        6258
          13    10.1225        9.80966        9.21735        47.9902        19.2594        58.8051       0.553924E+09    2.57341       0.257341        27.9100       0.516454E+09   0.359038E+08   0.156565E+07   0.162249E+09   -14.2467        3.82390        4.87133               0           1        6152
          14    10.3496        9.39501        9.37636       -13.7877        28.6247        43.4029       0.537049E+09    2.59942       0.259942        28.1900       0.513461E+09   0.220298E+08   0.155804E+07   0.253647E+09    18.2078       -55.4280        27.5932               0           1        5700
          15    9.73640        10.1311        9.36241        19.9776       0.112345        54.2465       0.426733E+09    2.40308       0.240308        26.1200       0.399812E+09   0.255208E+08   0.140110E+07   0.141835E+09   -69.4118        49.7522        25.5998               0           1        4564
          16    10.4474        9.63912        9.05180       -14.9067        23.5374        69.4311       0.357076E+09    2.21617       0.221617        24.0400       0.325902E+09   0.305766E+08    597648.       0.912323E+08    32.1845       -20.5456       -18.7851               0           1        4202
