#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    10.2141        9.83438        9.29134       -10.3835        55.5385        73.6662       0.174868E+11    10.7215        1.07215        82.2100       0.160057E+11   0.130793E+10   0.173184E+09   0.818978E+10    0.00000        0.00000        0.00000               0           0      137219
           2    10.4411        9.65970        9.16168       -68.2725        39.6244        90.0171       0.968394E+10    8.77679       0.877679        71.3400       0.886967E+10   0.738685E+09   0.755866E+08   0.241104E+10    42.1768       -32.4514       -24.0878               0           1       59472
           3    10.1561        9.94694        9.34453        17.6722       -22.7022        39.9000       0.580130E+10    7.12023       0.712023        52.6800       0.516890E+10   0.598367E+09   0.340391E+08   0.123813E+10   -10.7787        20.9110        9.88145               0           1       45424
           4    9.67498        10.3287        9.64368        14.8738       -28.0169        26.1869       0.369444E+10    6.30653       0.630653        48.1100       0.337987E+10   0.295645E+09   0.189208E+08   0.123249E+10   -100.154        91.8311        65.4564               0           1       36330
           5    9.61674        10.0147        9.35984        35.6773       -15.8278        100.983       0.286198E+10    5.81942       0.581942        43.0700       0.264674E+10   0.197343E+09   0.178959E+08   0.150977E+10   -110.974        33.5066        12.7257               0           1       32265
           6    10.0182        9.96214        9.59637       -23.2003        19.5469       -12.9374       0.403728E+10    6.48989       0.648989        47.5200       0.369648E+10   0.324899E+09   0.159037E+08   0.773505E+09   -36.3862        23.7348        56.6674               0           1       28379
           7    10.2997        9.76203        9.23181       -36.4829        17.7437        102.634       0.174776E+10    4.84893       0.484893        37.1600       0.157090E+10   0.160655E+09   0.161987E+08   0.117075E+10    15.9006       -13.4409       -11.0593               0           1       26842
           8    9.80639        10.1763        9.51121        9.98672       -38.2191        68.2505       0.437702E+10    6.76168       0.676168        54.9600       0.400118E+10   0.362240E+09   0.136037E+08   0.462131E+09   -75.7410        63.5244        40.8467               0           1       23485
           9    10.2010        9.84195        9.30494        2.24938       -71.3172        38.5322       0.662476E+10    4.64959       0.464959        37.2900       0.593066E+10   0.548765E+09   0.145337E+09   0.682940E+10   -2.42438        1.40633        2.52656               0           0       19890
          10    10.2713        10.3504        9.17932       -19.4389       -30.0277        55.4284       0.306235E+10    5.98867       0.598867        45.5000       0.289987E+10   0.150292E+09   0.121842E+08   0.457364E+09    10.6301        95.8569       -20.8107               0           1       18399
