#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    9.73501        9.79753        9.91608        143.648        114.206       -45.1494       0.115551E+13    141.787        9.98109        275.836       0.103223E+13   0.355928E+11   0.876887E+11   0.183618E+11    0.00000        0.00000        0.00000               0           0    15683680
           2    9.69137        9.77044        9.94906        27.9397       -103.938       -24.7880       0.131501E+11    16.3197       0.461631        33.2794       0.124726E+11   0.353366E+08   0.642208E+09   0.128021E+09   -27.4483       -17.0442        20.7414               0           1      109145
           3    9.72504        9.79472        9.91405        36.1193        12.7279        327.673       0.228422E+12    14.2015       0.191930E-01    32.3694       0.144789E+12   0.110880E+11   0.725441E+11   0.147093E+11   -6.27036       -1.76682       -1.27621               0           0      103702
           4    9.73438        9.79769        9.90961       -176.130        11.6408        70.4827       0.241580E+12    14.0542       0.514400E-02    30.1361       0.152388E+12   0.145173E+11   0.746749E+11   0.150182E+11  -0.397519       0.962348E-01   -4.07016               0           0       91854
           5    9.73805        9.79883        9.91036       -96.5607        32.4238       -122.299       0.236212E+12    13.6736       0.372907        28.1951       0.149032E+12   0.126401E+11   0.745397E+11   0.149688E+11    1.91337       0.813278       -3.59528               0           0       90876
           6    9.73450        9.79725        9.92098        370.052        162.296        112.352       0.248126E+12    14.2212       0.327661        30.9598       0.157406E+12   0.155226E+11   0.751974E+11   0.150980E+11  -0.322670      -0.178632        3.08517               0           0       87445
           7    9.72914        9.79514        9.91775        185.931        85.8405        337.218       0.233130E+12    13.6782       0.159697        27.7390       0.147434E+12   0.118049E+11   0.738914E+11   0.149096E+11   -3.69403       -1.50894        1.05103               0           0       85846
           8    9.77256        9.70867        10.0947        103.247        66.0730       -43.1926       0.722657E+10    22.6397        1.12329        39.1055       0.672438E+10   0.399183E+09   0.103012E+09   0.293389E+08    23.6165       -55.8910        112.361               0           1       70388
           9    9.74583        9.80015        9.91202       -35.9547        86.9136       -210.371       0.197608E+12    12.3564       0.761010E-01    24.9126       0.121406E+12   0.914306E+10   0.670590E+11   0.138886E+11    6.80436        1.64605       -2.55620               0           0       70006
          10    9.94697        9.74776        9.83698        184.546        113.771        50.8886       0.224700E+10    15.9860       0.916127        27.4131       0.206617E+10   0.329301E+07   0.177540E+09   0.347994E+08    133.315       -31.3046       -49.7540               0           1       63321
