#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    8.53883        10.1238        10.4947        97.3402       -16.5488       -42.2490       0.123781E+11    7.79182       0.779182        73.2100       0.107092E+11   0.155984E+10   0.109044E+09   0.218351E+10    0.00000        0.00000        0.00000               0           0       51309
           2    8.95895        10.0574        10.2440        57.6244        37.0469       -11.8422       0.499548E+10    5.93959       0.593959        57.9400       0.456804E+10   0.400520E+09   0.269189E+08   0.695723E+09    66.0634       -10.4350       -39.4066               0           1       38039
           3    8.56149        10.2312        9.85425        104.861        10.6556        52.4388       0.622697E+10    6.33743       0.633743        60.1300       0.556765E+10   0.615372E+09   0.439486E+08   0.738367E+09    3.56326        16.8854       -100.702               0           1       37795
           4    8.58550        10.1222        10.3827        98.4435        4.91362        16.2446       0.537096E+10    5.78769       0.578769        54.9800       0.433184E+10   0.100290E+10   0.362201E+08   0.752344E+09    7.33881      -0.246881       -17.6087               0           1       37415
           5    8.69603        10.3265        9.77150        25.3022       -79.1060        20.0003       0.338847E+10    5.20178       0.520178        48.8800       0.310560E+10   0.264391E+09   0.184762E+08   0.575653E+09    24.7195        31.8728       -113.715               0           1       29524
           6    8.66525        10.2025        9.96746        25.8715       -21.9500        16.0636       0.752878E+10    6.64312       0.664312        62.8300       0.650448E+10   0.993508E+09   0.307930E+08   0.756013E+09    19.8794        12.3739       -82.9000               0           1       29466
           7    8.79466        10.2200        10.8966        53.3342       -35.9159       -115.851       0.342656E+10    5.28119       0.528119        50.1100       0.322964E+10   0.175497E+09   0.214219E+08   0.877940E+09    40.2290        15.1289        63.2109               0           1       27750
           8    8.72975        10.1817        10.6043        41.6619       -84.8257       -87.0159       0.424497E+10    5.67573       0.567573        54.9200       0.390141E+10   0.312053E+09   0.315011E+08   0.895514E+09    30.0220        9.10628        17.2376               0           1       27662
           9    8.74880        10.1210        10.4728        42.3522        18.1927       -51.3046       0.217610E+10    4.49526       0.449526        42.3100       0.203034E+10   0.136387E+09   0.937562E+07   0.450751E+09    33.0175      -0.443442       -3.42960               0           1       24318
          10    8.51321        10.1012        10.5823        128.824       -10.9148       -100.859       0.496422E+10    5.80483       0.580483        54.5400       0.442779E+10   0.509462E+09   0.269703E+08   0.873875E+09   -4.02872       -3.54753        13.7907               0           1       21621
          11    8.57364        10.1217        10.4579        69.7134       -17.9328        22.7015       0.386405E+10    4.06629       0.406629        38.3500       0.318991E+10   0.632229E+09   0.419154E+08   0.818483E+09    5.47383      -0.331795       -5.77575               0           1       20495
          12    8.57442        10.0685        10.6837        57.9470        47.1109       -111.747       0.240216E+10    4.59370       0.459370        43.1600       0.218498E+10   0.207106E+09   0.100773E+08   0.444513E+09    5.59649       -8.69744        29.7295               0           1       19431
          13    9.25793        9.95860        9.75838        16.7071        16.9205        50.5080       0.194693E+10    4.35343       0.435343        41.5300       0.178998E+10   0.147233E+09   0.971849E+07   0.381559E+09    113.078       -25.9744       -115.778               0           1       18192
          14    8.63001        10.1819        10.1270        79.9990       -6.93710       -25.8571       0.173419E+10    4.09523       0.409522        40.0500       0.149865E+10   0.225591E+09   0.995019E+07   0.239168E+09    14.3380        9.13144       -57.8126               0           1       17744
          15    8.52990        10.0866        10.5706        68.6810       -53.0983       -92.8433       0.311938E+10    4.18753       0.418753        39.3500       0.282899E+10   0.265738E+09   0.246497E+08   0.767275E+09   -1.40423       -5.85123        11.9368               0           1       17690
          16    8.99098        10.1220        10.3709        39.7290       -56.8200       -18.1207       0.106956E+10    3.52551       0.352551        33.9400       0.979702E+09   0.841158E+08   0.574567E+07   0.260444E+09    71.1001      -0.273613       -19.4596               0           1       15082
          17    8.79351        10.2694        10.8245        35.9540       -68.3755       -71.6652       0.182322E+10    4.26380       0.426380        41.6000       0.166859E+10   0.146955E+09   0.767366E+07   0.276277E+09    40.0481        22.8954        51.8638               0           1       12401
          18    8.65117        10.2506        9.85146        40.4934       -50.3417        11.6133       0.742583E+09    3.05534       0.305534        28.8200       0.686057E+09   0.530243E+08   0.350188E+07   0.148898E+09    17.6653        19.9392       -101.141               0           1       12074
          19    8.56437        10.1288        10.3764        67.6161       -66.8172        31.3793       0.186011E+10    3.17611       0.317611        31.9300       0.166129E+10   0.185115E+09   0.137137E+08   0.254714E+09    4.01614       0.783099       -18.5915               0           1       11429
          20    8.93564        11.3457        11.0858        52.2431       -79.2615       -60.6404       0.119827E+10    3.72931       0.372931        36.1100       0.112079E+10   0.749666E+08   0.252262E+07   0.131710E+09    62.3979        192.147        92.9514               0           1       10935
          21    8.49375        9.48713        9.42507        44.3945        49.0256        31.9896       0.122334E+10    3.73701       0.373701        35.1200       0.114797E+10   0.695729E+08   0.579834E+07   0.215092E+09   -7.08878       -100.113       -168.190               0           1       10867
          22    9.13052        10.0121        9.71547        58.7242        21.8061        89.6277       0.158017E+10    4.03217       0.403217        37.9500       0.146199E+10   0.113895E+09   0.428359E+07   0.190455E+09    93.0426       -17.5616       -122.525               0           1       10604
          23    9.02522        11.2865        11.0462        44.7767       -76.1224       -63.2480       0.886820E+09    3.36858       0.336858        31.6700       0.837866E+09   0.458076E+08   0.314563E+07   0.174993E+09    76.4843        182.829        86.7353               0           1       10043
          24    8.97774        11.3741        11.1180        40.7539       -85.5890       -78.8472       0.114012E+10    3.67710       0.367710        35.0000       0.106824E+10   0.638499E+08   0.802945E+07   0.205286E+09    69.0181        196.618        98.0274               0           1        9508
          25    8.84973        9.88215        10.5561        74.0274        91.5147       -55.2677       0.836775E+09    3.28351       0.328351        30.8600       0.797130E+09   0.356919E+08   0.395281E+07   0.174839E+09    48.8887       -37.9960        9.66294               0           1        9268
          26    8.93026        10.0599        10.1463        54.3708        42.1734        22.7467       0.123724E+10    3.53746       0.353746        33.2400       0.104638E+10   0.188551E+09   0.230709E+07   0.102600E+09    61.5519       -10.0451       -54.7729               0           1        9255
          27    8.66978        10.2260        9.97176        99.3795       -18.7821       -46.1349       0.318642E+10    3.70965       0.370965        36.4500       0.286167E+10   0.306555E+09   0.181905E+08   0.256881E+09    20.5917        16.0708       -82.2239               0           1        9241
          28    8.22737        10.0625        10.5974        111.454        13.0461       -13.0469       0.125312E+10    3.62741       0.362741        34.0900       0.112428E+10   0.125432E+09   0.340982E+07   0.115217E+09   -48.9767       -9.64407        16.1652               0           1        8911
          29    9.22311        11.2839        11.0754        37.0125       -65.8795       -52.1449       0.817200E+09    3.27895       0.327895        31.0100       0.785489E+09   0.294085E+08   0.230215E+07   0.120704E+09    107.602        182.429        91.3160               0           1        8569
          30    9.65846        11.2954        11.2041        20.7775       -80.2622       -82.6628       0.848632E+09    3.32015       0.332015        31.3600       0.787235E+09   0.587246E+08   0.267243E+07   0.138962E+09    176.061        184.241        111.567               0           1        8292
