#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    8.89319        10.0918        10.3434        127.817       -8.29895       -64.6640       0.108427E+12    25.3776        2.53776        129.050       0.953777E+11   0.994110E+10   0.310866E+10   0.808181E+10    0.00000        0.00000        0.00000               0           0     1028255
           2    8.83735        10.1595        9.97042        90.5438       -40.6658        48.1412       0.688117E+11    21.6281        2.16281        108.520       0.597968E+11   0.779385E+10   0.122107E+10   0.281767E+10   -13.5647        16.4603       -90.5947               0           1      510097
           3    8.96400        10.0527        10.4459        49.3772       -47.9139       -180.117       0.181749E+11    13.0922        1.30922        65.4800       0.162574E+11   0.166858E+10   0.248869E+09   0.107673E+10    17.2012       -9.48604        24.9188               0           1      152198
           4    9.06620        10.1042        10.2846        7.86535       -21.7304        44.2151       0.239920E+11    14.7139        1.47139        72.1900       0.206847E+11   0.308162E+10   0.225642E+09   0.948541E+09    42.0276        3.01707       -14.2740               0           1      140808
           5    9.32997        10.0562        9.96168        32.2569        41.8009        79.0743       0.172383E+11    13.5950        1.35950        66.8700       0.157195E+11   0.136625E+10   0.152518E+09   0.544712E+09    106.103       -8.65282       -92.7178               0           1      136677
           6    8.68300        10.0802        10.4011        164.171        8.96910       -72.5231       0.875593E+10    10.6433        1.06433        55.5600       0.749332E+10   0.113572E+10   0.126888E+09   0.408715E+09   -51.0594       -2.81059        14.0141               0           1       93858
           7    9.14900        11.0611        10.8559        92.5069       -73.7162       -52.2893       0.135485E+11    12.8519        1.28519        66.4100       0.125972E+11   0.869498E+09   0.818628E+08   0.495668E+09    62.1414        235.470        124.519               0           1       66071
           8    8.90563        10.1227        10.0532        106.848        3.08558       -32.2438       0.724689E+10    9.75397       0.975397        49.5000       0.633322E+10   0.866927E+09   0.467426E+08   0.320925E+09    3.02193        7.50138       -70.4882               0           1       65311
           9    9.06240        11.0911        10.8712        118.566       -114.087       -76.0159       0.620019E+10    9.79235       0.979235        49.2000       0.570956E+10   0.442394E+09   0.482328E+08   0.175064E+09    41.1045        242.750        128.225               0           1       52182
          10    9.72340        9.98331        10.4205        24.1369       -75.8166       -32.7329       0.642891E+10    9.72093       0.972093        47.7200       0.567889E+10   0.716820E+09   0.331980E+08   0.126950E+09    201.675       -26.3471        18.7462               0           1       40633
