#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    10.1259        9.42502        9.43276       -50.2002        191.753        134.201       0.276603E+12    64.7927        6.47927        134.490       0.247832E+12   0.187197E+11   0.100508E+11   0.104450E+11    0.00000        0.00000        0.00000               0           0     2429181
           2    10.1078        9.39657        9.38810        80.2931        98.2063        162.139       0.143183E+12    33.0072        3.30072        84.6600       0.122799E+12   0.107173E+11   0.966666E+10   0.931848E+10   -8.27490       -13.0139       -20.4288               0           0      544691
           3    10.1958        9.18598        9.19151       -23.7531        223.408        202.267       0.236781E+11    27.5716        2.75716        58.6000       0.203677E+11   0.299609E+10   0.314361E+09   0.551070E+09    31.9972       -109.344       -110.355               0           1      231745
           5    9.79453        10.1601        9.33475        16.8627        66.8435        275.126       0.247594E+11    28.9905        2.89905        60.0000       0.231072E+11   0.148835E+10   0.163815E+09   0.301018E+09   -151.574        336.256       -44.8327               0           1      165812
           6    10.1398        9.16732        9.29698       -34.4701        145.650        215.668       0.140148E+11    22.3596        2.23596        45.0300       0.119256E+11   0.191122E+10   0.178028E+09   0.128804E+09    6.34455       -117.880       -62.1098               0           1      134411
           7    9.71940        9.50754        9.78183        60.7126        233.166        146.379       0.157274E+11    25.4674        2.54674        49.8800       0.147092E+11   0.887871E+09   0.130318E+09   0.149827E+09   -185.940        37.7471        159.675               0           1      129086
           8    10.2257        9.40774        9.43396       -209.846        172.045        93.7069       0.141279E+11    20.1169        2.01169        47.6800       0.130130E+11   0.103282E+10   0.820859E+08   0.279533E+09    45.6377       -7.90438       0.548915               0           0       95640
           9    9.87988        9.96377        9.23135       -38.5926        88.3758        247.324       0.153497E+11    24.4574        2.44574        47.7900       0.138919E+11   0.140388E+10   0.539207E+08   0.546585E+08   -112.532        246.440       -92.1308               0           1       78205
          10    10.0968        9.13515        9.30932       -70.0421        191.346        197.346       0.118356E+11    19.8328        1.98328        42.2200       0.111691E+11   0.594776E+09   0.717364E+08   0.152562E+09   -13.3112       -132.595       -56.4651               0           1       67123
          11    10.7994        9.17038        9.41504       -74.6201        108.078        91.4732       0.922154E+10    18.9865        1.89865        40.1000       0.807737E+10   0.108373E+10   0.604425E+08   0.145897E+09    308.074       -116.480       -8.10565               0           1       64636
          12    10.0607        9.52212        9.46929       -108.131        137.232        128.093       0.667968E+10    15.7333        1.57333        41.9300       0.602942E+10   0.484638E+09   0.165624E+09   0.335591E+09   -29.8107        44.4164        16.7099               0           0       63524
          13    10.2528        8.88320        8.97298       -4.03492        203.311        138.306       0.501175E+10    16.2164        1.62163        36.3000       0.418673E+10   0.780139E+09   0.448802E+08   0.845388E+08    58.0707       -247.844       -210.317               0           1       48047
          14    9.92605        9.93333        9.13756       -46.9866        85.3315        270.861       0.450715E+10    16.4871        1.64871        34.8700       0.411010E+10   0.375322E+09   0.217292E+08   0.522856E+08   -91.4127        232.516       -135.033               0           1       46012
          15    10.2423        9.14222        9.23340        84.8251        234.262        243.653       0.497139E+10    15.3312        1.53312        34.7000       0.452422E+10   0.431740E+09   0.154253E+08   0.308501E+08    53.2539       -129.361       -91.1931               0           1       43410
          16    9.97291        9.33300        9.39087        86.1502        276.183        130.828       0.462490E+10    15.6793        1.56793        30.9600       0.445023E+10   0.171657E+09   0.301473E+07   0.155731E+08   -69.9775       -42.0926       -19.1617               0           1       35970
          17    9.62003        9.84446        9.30793        71.9397        138.562        236.162       0.362836E+10    15.1455        1.51455        30.0500       0.338968E+10   0.232730E+09   0.595061E+07   0.237780E+08   -231.395        191.864       -57.1009               0           1       33036
          18    10.4367        10.1026        9.26696       -98.0153        63.2207        201.206       0.304618E+10    14.5797        1.45797        31.8600       0.289491E+10   0.148086E+09   0.319114E+07   0.894714E+07    142.196        309.959       -75.8418               0           1       31857
          19    10.2934        9.97019        9.51228       -135.152        71.6286        210.513       0.328942E+10    15.0517        1.50517        32.7300       0.320668E+10   0.804153E+08   0.231855E+07   0.138375E+08    76.6194        249.377        36.3748               0           1       27148
          20    10.0076        9.42897        9.56300        32.6603        35.2106        202.563       0.188786E+10    11.9760        1.19760        25.3900       0.185084E+10   0.355531E+08   0.146774E+07   0.661181E+07   -54.1185        1.80685        59.5756               0           1       22747
          21    9.64396        8.96388        9.05557        62.6834        181.053        152.717       0.215701E+10    13.2184        1.32184        28.0700       0.214339E+10   0.101895E+08   0.342517E+07   0.130541E+08   -220.449       -210.939       -172.538               0           1       21816
          22    10.2349        9.33046        9.54573       -154.504        185.811        124.205       0.195125E+10    12.2399        1.22399        26.3900       0.191361E+10   0.343818E+08   0.326362E+07   0.243580E+08    49.8598       -43.2545        51.6758               0           1       21214
          23    9.86173        9.87056        9.83930       -87.5336        190.960        129.221       0.148507E+10    11.3004        1.13003        23.5000       0.140404E+10   0.763793E+08   0.464957E+07   0.148337E+08   -120.835        203.803        185.963               0           1       20579
          24    9.91728        9.74601        9.69745        44.5555        210.369        129.121       0.198810E+10    12.5061        1.25061        25.8100       0.187087E+10   0.114427E+09   0.279599E+07   0.134509E+08   -95.4243        146.830        121.077               0           1       20467
          26    9.47232        9.19419        9.65740        69.9769        223.729        144.890       0.186616E+10    12.4435        1.24435        26.8700       0.183944E+10   0.244468E+08   0.227420E+07   0.103011E+08   -298.962       -105.588        102.757               0           1       20344
          27    10.1143        9.43403        9.56131        53.0682        81.4786        50.4789       0.253398E+10    11.3932        1.13932        24.9400       0.220294E+10   0.321503E+09   0.953636E+07   0.177393E+08   -5.31990        4.12144        58.8025               0           0       19196
          28    9.61189        9.40167        8.98941        52.5852        131.033        192.499       0.201928E+10    12.7477        1.27477        26.4000       0.194478E+10   0.726924E+08   0.180997E+07   0.986331E+07   -235.119       -10.6810       -202.801               0           1       18792
          29    9.71830        9.53323        9.87500        50.8553        194.145        126.121       0.256350E+10    13.2037        1.32037        27.1700       0.237377E+10   0.185162E+09   0.456856E+07   0.239838E+08   -186.444        49.4984        202.294               0           1       18652
          30    9.95707        9.90497        9.76814       -15.3168        188.823        168.554       0.122868E+10    10.8379        1.08379        24.1800       0.119902E+10   0.287215E+08    938736.       0.702595E+07   -77.2232        219.543        153.413               0           1       18238
          31    9.81057        9.37170        9.57052        84.7532        235.100        157.389       0.135788E+10    10.9024        1.09024        22.3300       0.122438E+10   0.132073E+09   0.143359E+07    965389.       -144.237       -24.3901        63.0155               0           1       16189
          32    10.2555        8.83292        9.02584       -28.7107        196.389        188.368       0.134421E+10    10.8361        1.08361        23.5000       0.133271E+10   0.961154E+07   0.189013E+07   0.101292E+08    59.3103       -270.844       -186.137               0           1       15470
