#          i      x              y              z              v_x            v_y            v_z            Mvir           Rvir     Rs (Rockstar)       v_max           Mdm           Mgas           Mstars    Avg age of stars     xc             yc             zc      flag DM only  flag outside Rvir  Np bound
# (h^-1 comoving Mpc) (h^-1 comoving Mpc) (h^-1 comoving Mpc) (km/s)         (km/s)         (km/s)         (Msun)         (kpc)         (kpc)           (km/s)         (Msun)         (Msun)         (Msun)         (yrs)          (kpc)          (kpc)          (kpc)
           1    10.1671        9.24441        9.25917       -24.2744        150.066        177.519       0.217718E+12    54.2393        5.42393        127.500       0.197932E+12   0.111764E+11   0.860961E+10   0.956435E+10    0.00000        0.00000        0.00000               0           0     2088003
           2    10.0917        9.31996        9.29928       -51.5254        82.2706        42.4330       0.772991E+11    32.0583        3.20583        83.1700       0.702368E+11   0.586952E+10   0.119273E+10   0.302712E+10   -31.2529        31.3026        16.6187               0           0      550752
           3    10.2176        8.95309        9.00988        3.76740        211.247        159.911       0.192165E+11    22.5134        2.25134        56.2300       0.160289E+11   0.297261E+10   0.215078E+09   0.508660E+09    20.9278       -120.702       -103.288               0           1      216664
           5    9.76836        10.0907        9.06165        31.4473        62.7853        262.663       0.232323E+11    25.7907        2.57907        60.7600       0.217193E+11   0.137248E+10   0.140584E+09   0.333241E+09   -165.205        350.622       -81.8383               0           1      144628
           6    10.1708        9.03161        9.08254       -31.1706        133.996        197.803       0.145419E+11    20.4347        2.04347        47.7500       0.123013E+11   0.214476E+10   0.958917E+08   0.126345E+09    1.52059       -88.1693       -73.1830               0           1      119432
           7    9.65788        9.27604        9.63944        61.9297        219.357        133.802       0.165206E+11    23.0271        2.30271        52.5500       0.153334E+11   0.105518E+10   0.132033E+09   0.147988E+09   -210.981        13.1052        157.557               0           1      115370
           8    10.3917        9.24070        9.34628       -135.862        162.020        82.5561       0.995444E+10    18.9199        1.89199        49.9300       0.836973E+10   0.150621E+10   0.785006E+08   0.289268E+09    93.0542       -1.53716        36.0922               0           1      111254
           9    10.1823        9.32419        9.32377       -100.599        255.088        173.669       0.106924E+11    15.7437        1.57437        41.4100       0.101634E+11   0.360440E+09   0.168628E+09   0.370658E+09    6.32266        33.0552        26.7657               0           0       74430
          10    10.1881        8.97492        9.10455       -101.605        127.899        209.022       0.108613E+11    17.7668        1.77668        40.4900       0.100278E+11   0.770898E+09   0.625572E+08   0.151499E+09    8.71749       -111.658       -64.0636               0           1       73118
          11    9.91721        9.87587        8.99204       -30.5184        74.9698        233.453       0.118546E+11    20.5068        2.05068        49.1300       0.108900E+11   0.925702E+09   0.388742E+08   0.536584E+08   -103.533        261.632       -110.680               0           1       59278
          12    10.8558        9.04879        9.33922       -44.9141        134.173        60.8238       0.971053E+10    17.0107        1.70107        41.1600       0.865277E+10   0.101543E+10   0.423301E+08   0.157241E+09    285.340       -81.0511        33.1671               0           1       53580
          13    10.2547        8.68248        8.84288        2.05978        194.333        117.452       0.502733E+10    14.4675        1.44675        37.0800       0.420045E+10   0.791260E+09   0.356160E+08   0.913755E+08    36.3077       -232.824       -172.481               0           1       45462
          14    9.96849        9.84678        8.88246       -41.9049        86.6846        238.662       0.428625E+10    14.6581        1.46581        34.0300       0.387971E+10   0.389306E+09   0.172314E+08   0.575693E+08   -82.2858        249.579       -156.082               0           1       40391
          15    10.1438        8.94302        8.98983        90.9538        159.908        229.162       0.384942E+10    13.4379        1.34379        31.0700       0.340839E+10   0.431603E+09   0.942435E+07   0.245786E+08   -9.67044       -124.875       -111.595               0           1       36055
          16    9.54733        9.71400        9.08036        68.5431        121.464        216.925       0.284635E+10    12.8313        1.28313        29.3300       0.265563E+10   0.185859E+09   0.485876E+07   0.258183E+08   -256.785        194.565       -74.0862               0           1       30643
