idx n l  sh   Nel
 1  1 0 '1s'   2
 2  2 0 '2s'   2
 3  2 1 '2p'   6
 4  3 0 '3s'   2
 5  3 1 '3p'   6
 6  3 2 '3d'  10
 7  4 0 '4s'   2
