 A Ne Acoef    Bcoef    T0coef   T1coef     species  stg specion
16  7 7.13E-02 1.00E+00 6.66E+05 2.32E+06   sulfer    10 SX
16  6 8.00E-02 5.55E-01 6.00E+05 2.41E+06   sulfer    11 SXI
16  5 7.96E-02 1.63E+00 5.09E+05 6.37E+06   sulfer    12 SXII
16  4 1.34E-02 3.04E-01 2.91E+05 1.04E+06   sulfer    13 SXIII
16  3 4.02E-01 2.98E-01 2.41E+07 4.67E+06   sulfer    14 SXIV
16  2 1.45E-01 2.81E-01 2.54E+07 5.30E+06   sulfer    15 SXV
18 18 1.00E-03 5.00E-03 3.20E+05 3.10E+05   argon      1 ArI
18 17 1.10E-02 4.50E-02 2.90E+05 5.50E+05   argon      2 ArII
18 16 3.40E-02 5.70E-02 2.39E+05 6.00E+05   argon      3 ArIII
18 15 6.85E-02 8.70E-02 2.56E+05 3.81E+05   argon      4 ArIV
18 14 9.00E-02 7.69E-02 2.50E+05 3.30E+05   argon      5 ArV
18 13 6.35E-02 1.40E-01 2.10E+05 2.15E+05   argon      6 ArVI
18 12 2.60E-02 1.20E-01 1.80E+05 2.15E+05   argon      7 ArVII
18 11 1.70E-02 1.00E-01 2.70E+06 3.30E+06   argon      8 ArVIII
18 10 2.10E-02 1.92E+00 8.30E+05 3.50E+06   argon      9 ArIX
18  9 3.50E-02 1.66E+00 6.95E+05 3.60E+06   argon     10 ArX
18  8 4.30E-02 1.67E+00 6.05E+05 3.80E+06   argon     11 ArXI
18  7 7.13E-02 1.40E+00 6.68E+05 2.90E+06   argon     12 ArXII
18  6 9.60E-02 1.31E+00 6.50E+05 3.60E+06   argon     13 ArXIII
18  5 8.50E-02 1.02E+00 5.30E+05 2.80E+06   argon     14 ArXIV
18  4 1.70E-02 2.45E-01 3.55E+05 1.10E+06   argon     15 ArXV
18  3 4.76E-01 2.94E-01 3.01E+07 6.05E+06   argon     16 ArXVI
18  2 2.97E-01 2.77E-01 3.13E+07 6.54E+06   argon     17 ArXVII
20 20 3.28E-04 9.07E-02 3.46E+04 1.64E+04   calcium    1 CaI
20 19 5.84E-02 1.10E-01 3.85E+05 2.45E+05   calcium    2 CaII
20 18 1.12E-01 1.74E-02 4.08E+05 4.27E+05   calcium    3 CaIII
20 17 1.32E-01 1.32E-01 3.82E+05 6.92E+05   calcium    4 CaIV
20 16 1.33E-01 1.14E-01 3.53E+05 8.78E+05   calcium    5 CaV
20 15 1.26E-01 1.62E-01 3.19E+05 7.43E+05   calcium    6 CaVI
20 14 1.39E-01 8.78E-02 3.22E+05 6.99E+05   calcium    7 CaVII
20 13 9.55E-02 2.63E-01 2.47E+05 4.43E+05   calcium    8 CaVIII
20 12 4.02E-02 6.27E-02 2.29E+05 2.81E+05   calcium    9 CaIX
20 11 4.19E-02 6.16E-02 3.73E+06 5.84E+06   calcium   10 CaX
20 10 2.57E-02 2.77E+00 9.26E+05 4.89E+06   calcium   11 CaXI
20  9 4.45E-02 2.23E+00 7.96E+05 4.62E+06   calcium   12 CaXII
20  8 5.48E-02 2.00E+00 6.90E+05 4.52E+06   calcium   13 CaXIII
20  7 7.13E-02 1.82E+00 6.70E+05 3.32E+06   calcium   14 CaXIV
20  6 1.09E-01 1.74E+00 7.00E+05 4.93E+06   calcium   15 CaXV
20  5 1.10E-01 2.43E-01 5.67E+05 4.41E+06   calcium   16 CaXVI
20  4 2.05E-02 1.85E-01 4.21E+05 2.27E+06   calcium   17 CaXVII
20  3 5.49E-01 2.92E-01 3.65E+07 7.25E+06   calcium   18 CaXVIII
20  2 2.68E-01 0.00E+00 3.74E+07 1.00E+05   calcium   19 CaXIX
26 26 1.58E-03 4.56E-01 6.00E+04 8.97E+04   iron       1 FeI
26 25 8.38E-03 3.23E-01 1.94E+05 1.71E+05   iron       2 FeII
26 24 1.54E-02 3.10E-01 3.31E+05 2.73E+05   iron       3 FeIII
26 23 3.75E-02 4.11E-01 4.32E+05 3.49E+05   iron       4 FeIV
26 22 1.17E-01 3.59E-01 6.28E+05 5.29E+05   iron       5 FeV
26 21 2.54E-01 9.75E-02 7.50E+05 4.69E+05   iron       6 FeVI
26 20 2.91E-01 2.29E-01 7.73E+05 6.54E+05   iron       7 FeVII
